ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified
89,Barrymore's,(In alley),124 N. 13th St.,Lincoln,NE,(M),Bars/Clubs,1979,,,,,
155,Barrymore's,(In alley),124 N. 13th St.,Lincoln,NE,(M),Bars/Clubs,1980,,,,,
149,Bud's Tavern,(Disco),106 W. 4th St.,Grand Island,NE,"(*),(S),(D),(YC)",Bars/Clubs,1980,,,,,
72,Casey's Other Place,,1020 'P' St.,Lincoln,NE,"(M),(HIP),(YC),(*)",Bars/Clubs,1976,,,,,
92,Casey's Other Place,,1020 'P' Street,Lincoln,NE,"(M),(HIP),(YC),(*)",Bars/Clubs,1977,,,,,
110,Casey's Other Place,,1020 'P' St,Lincoln,NE,"(M),(HIP),(YC),(*)",Bars/Clubs,1978,,,,,
24,Cave,(basement of Hill Hotel),505 S. 16th St.,Omaha,NE,"(YC),(D),(*)","Bars/Clubs,Hotels",1970,,,,,
31,Cave,(basement of Hill Hotel),505 S. 16th St.,Omaha,NE,"(YC),(D),(*)","Bars/Clubs,Hotels",1971,,,,,
37,Cave Club,(downstairs - 'Under the Hill' hotel),506 S. 16th St.,Omaha,NE,(*),"Bars/Clubs,Hotels",1972,,,,,
45,Cave Club,(downstairs - 'Under the Hill' hotel),506 S. 16th St.,Omaha,NE,"(YC),(HIP),(D),(*)","Bars/Clubs,Hotels",1973,,,,,
53,Cave Club,(downstairs - 'Under the Hill' hotel),506 S. 16th St.,Omaha,NE,"(YC),(HIP),(D),(*)","Bars/Clubs,Hotels",1974,,,,,
63,Cave Club,(downstairs - 'Under the Hill' Hotel . . . Upstairs bar is (M)),506 S. 16th St.,Omaha,NE,"(HIP),(YC),(D),(*),(M)","Bars/Clubs,Hotels",1975,,,,,
80,Cave Club,(downstairs - 'Under the Hill' Hotel . . . Upstairs bar is (M)),506 S. 16th St.,Omaha,NE,"(HIP),(YC),(D),(*)",Bars/Clubs,1976,,,,,
100,Cave Club,('Under the HIll' Hotel -- upstairs bar is (M)),506 S. 16th Street,Omaha,NE,"(YC),(D),(*)","Hotels,Bars/Clubs",1977,,,,,
117,Cave Club,('Under the Hill' Hotel - upstairs bar is (M)(RT)) (Many G),506 S. 16th St.,Omaha,NE,"(G),(D),(WE),(*),(M),(RT)","Bars/Clubs,Hotels",1978,,,,,
138,Cave Club,(Many G) ('Under the Hill' Hotel - upstairs Bar is M-RT),506 S. 16th St.,Omaha,NE,"(G),(D),(M),(RT)","Hotels,Bars/Clubs",1979,,,,,
169,Cave Club,(Many L)('Under the HIll' Hotel)(May be closing)(Upstairs Bar is M - RT),506 S. 16th St. ,Omaha,NE,"(L),(D),(M),(RT)","Bars/Clubs,Hotels",1980,,,,,
38,Cottonwood Room,(downstairs - thru lobby - circular bar only) Radisson-Blackstone Hotel,302 S. 36th St.,Omaha,NE,"(M),(PE)","Bars/Clubs,Hotels",1972,,,,,
46,Cottonwood Room,(downstairs - thru lobby - circular bar only) Radisson-Blackstone Hotel,302 S. 36th St.,Omaha,NE,"(M),(PE)","Bars/Clubs,Hotels",1973,,,,,
3,Diamond Bar,,516 S. 16th St.,Omaha,NE,(*),Bars/Clubs,1965,,,,,
8,Diamond Bar,,516 S. 16th St.,Omaha,NE,(*),Bars/Clubs,1966,,,,,
13,Diamond Bar,,516 S. 16th St.,Omaha,NE,(RT),Bars/Clubs,1968,,,,,
18,Diamond Bar,,516 S. 16th St.,Omaha,NE,(RT),Bars/Clubs,1969,,,,,
