ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
1,Adam's Den,(Disco)(Unisex),4418 Central Ave. N.E.,Albuquerque,NM,"(*),(HIP),(YC),(D)",Bars/Clubs,1980,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
2,Albuquerque Social Club,"(Height's) ($1.00 adm.) (Some L, Latins) (Disco-D-WE)",4021 Central Ave. N.E.,Albuquerque,NM,"(*),(P),(L),(PT),(D),(WE)",Bars/Clubs,1980,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
3,Cricket Club,(L-only) (Sleazy),5511 Central Ave. N.W.,Albuquerque,NM,"(P),(D),(PT)",Bars/Clubs,1980,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
4,Foxe's,"(Some W, YC) (Disco) (Open days)",8521 Central Ave. N.E.,Albuquerque,NM,"(*),(W),(YC),(D),(PT)",Bars/Clubs,1980,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
5,Madame Lovejoy's,(Books- crusiy arcade),4217 Central Ave. N.E.,Albuquerque,NM,,"Book Store,Cruising Areas",1980,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
6,Pleasure Palace,(Books),5205 Menaul N.E.,Albuquerque,NM,,Book Store,1980,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
16,Evangelo's,at Alameda,200 W. San Francisco,Santa Fe,NM,(M),Bars/Clubs,1980,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
17,La Fonda Hotel Bar,(Best bet),100 San Francisco,Santa Fe,NM,(M),"Bars/Clubs,Hotels",1980,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
18,Senate,(Latins),221 Galisteo,Santa Fe,NM,"(M),(RT)",Bars/Clubs,1980,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
21,Cricket Club,(G only),5511 Central N.W.,Albuquerque,NM,"(P),(G),(D),(PT)",Bars/Clubs,1979,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
22,Crusie Inn,,4223 Central Ave. N.E.,Albuquerque,NM,(H),Hotels,1979,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
23,Foxe's,"(Some W, YC)(Disco) (Open days)",8521 Central Ave. N.E.,Albuquerque,NM,"(*),(W),(YC),(D),(PT)",Bars/Clubs,1979,,,,4/26/2020 10:15pm,7/27/2020 1:19pm
