ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
3,Eightballs Lounge,(Disco) (3-1-79: Biz must be off as they have't paid me?),369 Central Ave.,Albany,NY,"(YC),(D)",Baths,1980,,,,2/18/2020 10:27am,7/27/2020 11:34am
2,Club Capital,(Baths),351 Central Ave.,Albany,NY,(P),Baths,1980,,,,2/18/2020 10:27am,7/27/2020 11:35am
1,Central Station,('Mixed bag'- looking up) (Some YC),76 Central Ave.,Albany,NY,"(YC),(*)",Bars/Clubs,1980,,,,2/18/2020 10:27am,7/27/2020 11:35am
4,Gay Community Center,(Snacks & C),332 Hudson Ave.,Albany,NY,,Organizations,1980,,,,2/18/2020 10:39am,7/27/2020 11:35am
5,Le Chancerie,(Disco),439 N. Pearl St.,Albany,NY,(D),Bars/Clubs,1980,,,,2/18/2020 10:39am,7/27/2020 11:35am
7,Playhouse,(Cruisy),519 Central Ave.,Albany,NY,"(D),(*)","Bars/Clubs,Cruising Areas",1980,,,,2/18/2020 10:39am,7/27/2020 11:35am
6,Pent House,(Good days- Some midnight cowboys'),90 Central Ave.,Albany,NY,"(PT),(D),(*)",Bars/Clubs,1980,,,,2/18/2020 10:39am,7/27/2020 11:35am
8,Zelda's,(Disco),425 Central Ave.,Albany,NY,"(YC),(D)",Bars/Clubs,1980,,,,2/18/2020 10:39am,7/27/2020 11:35am
14,C'Est Bon ,,2520 Merrick Rd.,Bellmore,NY,"(OC),(*)",Bars/Clubs,1980,,,Listed as Long Island,2/18/2020 11:37am,7/27/2020 11:35am
15,Pal Joey's ,,2475 Jerusalem Ave.,Bellmore,NY,"(YC),(*)",Bars/Clubs,1980,,,Listed as Long Island,2/18/2020 11:37am,7/27/2020 11:35am
17,Lenny's,"(Some YC, L) (Disco) (WE*)",201 State St.,Binghamton,NY,"(YC),(L),(D),(WE),(*)",Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
16,Cadillac,(Closed- May or may not be reopening?),9 Main St.,Binghamton,NY,,Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
23,Book Art 4 ,(Books),4 E. Chippewa,Buffalo,NY,,Book Store,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
22,Allen,,43 Allen,Buffalo,NY,(R),Restaurant,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
24,Capri Art Theatre,"(Active T-Room, lobby, back rows)",3165 Bailey Ave.,Buffalo,NY,(M),Theatre,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
25,Club Buffalo Baths,,44 Alameda,Amherst,NY,"(P),(*)",Baths,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
26,Cole's Restaurant,,1104 Elmwood Ave.,Buffalo,NY,"(M),(PE),(WE)",Restaurant,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
29,Main Chippewa Book Store,,610 Main St.,Buffalo,NY,,Book Store,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
28,Dominique,,20 Allen St.,Buffalo,NY,"(OC),(D),(*)",Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
27,Copper Kettle ,,2295 Main,Buffalo,NY,(R),Restaurant,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
30,Matachine Society,,66 Oxford St.,Buffalo,NY,,Organizations,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
32,Morgan Turkish Bath,,655 Main St.,Buffalo,NY,"(RT),(M)",Baths,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
33,Mother's Bakery,,33 Virginia Pl.,Buffalo,NY,"(M),(R)",Restaurant,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
34,Mr. Goodbar,(Very M) (Disco) (Best around bar),1110 Elmwood Ave.,Buffalo,NY,"(M),(D),(AYOR)",Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
31,Mean Alice's ,(Disco) (2 bars- go go boys),729 Main St.,Buffalo,NY,"(YC),(D),(R),(*)","Bars/Clubs,Restaurant",1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
35,Murphy's Omega Cafe,,369 Pearl St.,Buffalo,NY,"(R),(M)",Restaurant,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
37,People's Choice,(Disco) (Should be a winner),621 Main St.,Buffalo,NY,(D),Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
36,Open House,(Open 24 hours),516 Delaware,Buffalo,NY,"(M),(R)",Restaurant,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
38,"Rosy, Rum & Rations",,486 Elmwood Ave.,Buffalo,NY,"(R),(PT),(L)","Bars/Clubs,Restaurant",1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
40,Villa Capri ,"(Some W, SM) (New & larger location) nr. Allen",926 Main St.,Buffalo,NY,"(W),(SM),(D),(*)",Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
39,Texas Red Hot,(Also C- AH*),1335 Jefferson,Buffalo,NY,"(R),(C),(AH),(*)",Restaurant,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
43,Genesse Theatre,"('Back room"")",1600 Genesee,Buffalo,NY,Cruisy Area,"Theatre,Cruising Areas",1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
52,Mary's ,(Some L) (Sleazy),112 Lake St.,Elmira,NY,"(L),(RT)",Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
50,Club Emanon,(Disco) L.I.,825 Merrick Rd.,Copiaque,NY,"(YC),(D),(S),(PT),(*)",Bars/Clubs,1980,,,Long Island,2/18/2020 11:37am,7/27/2020 11:35am
51,East,(Disco) (Looks promising),836 Grand Blvd.,Deer Park,NY,"(S),(D)",Bars/Clubs,1980,,,Long Island,2/18/2020 11:37am,7/27/2020 11:35am
53,The David,,511 Railroad Ave.,Elmira,NY,"(YC),(D),(*)",Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
66,New Lining ,(Disco) (Some L) (WE*),175 Cherry Land,Floral Park,NY,"(D),(S),(L),(WE),(*)",Bars/Clubs,1980,,,Long Island,2/18/2020 11:37am,7/27/2020 11:35am
72,Nite Court,,215 N. Aurora,Ithaca,NY,(M),Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
69,Blue Angel ,(Some L) (Disco) at Hancock,213 5th. St.,Ithaca,NY,"(L),(D)",Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
70,Common Ground ,(Disco),134 W. State St.,Ithaca,NY,"(YC),(D),(E),(*)",Bars/Clubs,1980,,,,2/18/2020 11:37am,7/27/2020 11:35am
74,Ming Book Store,,265 Main St.,Johnson City,NY,,Book Store,1980,,,,2/18/2020 11:38am,7/27/2020 11:35am
79,Woodshed,(Cruisy),237 Main St.,Lake Placid,NY,"(M),(R),(*)","Cruising Areas,Bars/Clubs",1980,,,,2/18/2020 11:38am,7/27/2020 11:35am
78,Foxgrove,(Disco) (Best around bar),3 School St.,Lake Placid,NY,"(M),(YC),(D)",Bars/Clubs,1980,,,,2/18/2020 11:38am,7/27/2020 11:35am
81,Charisma,(Disco),235 Lake Shore Rd.,Lake Ronkonkoma,NY,"(S),(D)",Bars/Clubs,1980,,,Long Island,2/18/2020 11:38am,7/27/2020 11:35am
