ID,title,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
2,Flame,,403 Roberts St.,Fargo,ND,1980,"(M),(WE)",Bars/Clubs,,,2/14/2020 5:08pm,2/15/2020 6:42pm
3,Pink Pussycat,,401 N. P Ave.,Fargo,ND,1980,(M),Bars/Clubs,,,2/14/2020 5:08pm,2/15/2020 6:42pm
4,Roundup Bar,,409 N. P Ave.,Fargo,ND,1980,(M),Bars/Clubs,,,2/14/2020 5:08pm,2/15/2020 6:42pm
7,Rayan Hotel Bar,,23 N. 3rd. ,Grand Forks,ND,1980,(M),"Bars/Clubs,Hotels",,,2/14/2020 5:08pm,2/15/2020 6:42pm
8,Clance Parker Hotel Bar,,14 S.E. 1st ,Minot,ND,1980,(M),"Bars/Clubs,Hotels",,,2/14/2020 5:08pm,2/15/2020 6:42pm
11,Adult Book Store & Cinema X ,(Cruisy),417 N.P. Ave.,Fargo,ND,1979,,"Book Store,Theatre,Cruising Areas",,,2/14/2020 5:08pm,2/15/2020 6:42pm
12,Flame,,403 Roberts St.,Fargo,ND,1979,"(M),(W)",Bars/Clubs,,,2/14/2020 5:08pm,2/15/2020 6:42pm
14,Rayan Hotel Bar,,23 N. 3rd. ,Grand Forks,ND,1979,(M),"Bars/Clubs,Hotels",,,2/14/2020 5:08pm,2/15/2020 6:42pm
15,Clance Parker Hotel Bar,,14 S.E. 1st ,Minot,ND,1979,(M),"Bars/Clubs,Hotels",,,2/14/2020 5:08pm,2/15/2020 6:42pm
18,Adult Book Store & Cinema X ,,417 N.P. Ave.,Fargo,ND,1978,,"Book Store,Theatre",,,2/14/2020 5:20pm,2/15/2020 6:42pm
19,Chatterbox,,501 N.P. Ave.,Fargo,ND,1978,(M),Bars/Clubs,,,2/14/2020 5:20pm,2/15/2020 6:42pm
20,Flame,,408 Robert St.,Fargo,ND,1978,(M),Bars/Clubs,,,2/14/2020 5:20pm,2/15/2020 6:42pm
23,Rayan Hotel Bar,,23 N. 3rd. ,Grand Forks,ND,1978,(M),"Bars/Clubs,Hotels",,,2/14/2020 5:20pm,2/15/2020 6:42pm
25,Clance Parker Hotel Bar,,14 S.E. 1st ,Minot,ND,1978,(M),"Bars/Clubs,Hotels",,,2/14/2020 5:24pm,2/15/2020 6:42pm
28,Gaslight Lounge,Graver Hotel,123 Roberts St.,Fargo,ND,1977,"(M),(W)","Bars/Clubs,Hotels",,,2/14/2020 5:24pm,2/15/2020 6:42pm
29,Take Five,(Some G) (Best bet in the Dakotas!),520 2nd Ave. N.,Fargo,ND,1977,"(D),(G),(*)",Bars/Clubs,,,2/15/2020 6:00pm,2/15/2020 6:42pm
30,Rayan Hotel Bar,,23 N. 3rd. ,Grand Forks,ND,1977,(M),"Hotels,Bars/Clubs",,,2/15/2020 6:00pm,2/15/2020 6:42pm
32,Clance Parker Hotel Bar,,14 S.E. 1st ,Minot,ND,1977,(M),"Bars/Clubs,Hotels",,,2/15/2020 6:00pm,2/15/2020 6:42pm
