ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
2,Club Baths of Akron,,1339 E. Market,Akron,OH,(*),Baths,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
3,Hayloft Club,(Some L) ,77 N. Adams,Akron,OH,"(L),(D),(*)",Bars/Clubs,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
4,L & K,,2727 Manchester Rd.,Akron,OH,"(M),(R),(C),(AH)",Restaurant,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
5,Satan's Den,(Use rear door),839 S. Arlington,Akron,OH,"(L),(D)",Bars/Clubs,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
6,Stagecoach Inn,(Disco) (go go boys),259 E. Market St.,Akron,OH,(D),Bars/Clubs,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
19,Boobie's Why Not Club,(Some L) (Disco) (Snacks),1432 W. Tuscararas,Canton,OH,"(*),(S),(E),(L),(D)",Bars/Clubs,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
20,Five-Forty Club,,540 Walnut Ave N.E,Canton,OH,"(YC),(D),(PT)",Bars/Clubs,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
26,Adam's Rib ,(Disco-D-WE-Upstairs),217 Calhoun St. ,Cincinnati,OH,"(L),(D),(WE),(*)",Bars/Clubs,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
27,Badland Territory,"(Super complex-many rooms & bars. Some YC,W,SM, Something for everyone) (Cruisy) (Recently remodeled)",419 Plum St.,Cincinnati,OH,"(*),(YC),(W),(SM),(AH),(WE)","Bars/Clubs,Cruising Areas",1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
28,Golden Lions,(Some L) (Good cocktail hour) ,340 Ludlow,Cincinnati,OH,"(R),(L)","Restaurant,Bars/Clubs",1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
29,M.C.C.,,65 E. Hollister,Cincinnati,OH,,Church,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
30,Steak 'n' eggs ,nr Ludlow,3221 Clifton ,Cincinnati,OH,"(M),(R),(C),(AH)",Restaurant,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
173,Under Construction,(Some 'Hustlers') (Open Sun.),428 Walnut,Cincinnati,OH,,Bars/Clubs,1980,,,,2/25/2020 8:53pm,3/28/2020 6:57pm
31,Y.M.C.A,(4th floor best),1105 Elm St.,Cincinnati,OH,"(M),(H)",Hotels,1980,,,,2/20/2020 9:43pm,3/28/2020 6:57pm
42,Club Steam Baths,(Newly modeled with 'whirlpool'),1448 W. 32nd St. ,Cleveland,OH,,Baths,1980,,,,2/20/2020 9:44pm,3/28/2020 6:57pm
43,Club Cleveland II,(Baths),1293 W. 9th,Cleveland,OH,"(*),(YC),(P)",Bars/Clubs,1980,,,,2/20/2020 9:44pm,3/28/2020 6:57pm
