ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified
71,Baker's,('Greasy Spoon') (Cruisy),229 W. 11th,Tulsa,OK,"(R),(C),(AH)","Crusing Areas,Restaurant",1979,,,,,
26,Baker's,('Greasy spoon') (Cruisy),229 W. 11th,Tulsa,OK,"(R),(C),(AH)","Crusing Areas,Restaurant",1980,,,,,
226,Bamboo,,7204 E. Pine,Tulsa,OK,(M),,1973,,,,,
207,Bamboo,,7204 E. Pine,Tulsa,OK,(M),Bars/Clubs,1974,,,,,
229,Bamboo,,7204 E. Pine,Tulsa,OK,(M),Bars/Clubs,1975,,,,,
170,Bamboo,,7204 E. Pine,Tulsa,OK,(M),Bars/Clubs,1976,,,,,
143,Bamboo,,7204 E. Pine St,Tulsa,OK,"(M),(YC)",Bars/Clubs,1977,,,,,
111,Bamboo,,7204 E. Pine St.,Tulsa,OK,"(M),(YC)",Bars/Clubs,1978,,,,,
72,Bamboo,(Some G) ,7204 E. Pine,Tulsa,OK,"(M),(YC),(G)",Bars/Clubs,1979,,,,,
27,Bamboo,(Some OC),7204 E. Pine,Tulsa,OK,(OC),Bars/Clubs,1980,,,,,
216,Beer House,(some G),3616 N.W. 23rd St.,Oklahoma City,OK,"(G),(*)",,1973,,,,,
112,Big Sur,(Some G) (Looks promising),3014 E. 15th St.,Tulsa,OK,"(D),(PT),(G)",Bars/Clubs,1978,,,,,
73,Big Sur,(Some G) ,3014 E. 15th St.,Tulsa,OK,"(D),(PT),(G)",Bars/Clubs,1979,,,,,
28,Big Sur,(Some L),3014 E. 15th St.,Tulsa,OK,"(D),(PT),(L)",Bars/Clubs,1980,,,,,
304,Black Cat,,819 N. Walker,Oklahoma City,OK,(G),Bars/Clubs,1965,,,,,
230,Body Shop,(book store),1346 E. 11th St.,Tulsa,OK,,Book Store,1975,,,,,
171,Body Shop,(book store),1346 E. 11th St.,Tulsa,OK,,Book Store,1976,,,,,
144,Body Shop,(Book Store & 'peep shows'),1346 E. 11th St.,Tulsa,OK,,Book Store,1977,,,,,
113,Body Shop,(Book Store & 'Peep shows'),1346 E. 11th St.,Tulsa,OK,(*),Book Store,1978,,,,,
74,Body Shop,(Books store & 'peep shows'),1346 E. 11th St.,Tulsa,OK,(*),Book Store,1979,,,,,
29,Body Shop,(Book store & 'peep shows'),1346 E. 11th St.,Tulsa,OK,(*),Bars/Clubs,1980,,,,,
182,Box Office,(Some G),2335 N.W. 12th St.,Oklahoma City,OK,"(P),(R),(D),(G),(*)",Bars/Clubs,1975,,,,,
46,Cache Road Books,(Cruisy 'peep shows'),1206 Cache Rd,Lawton,OK,,"Book Store,Crusing Areas",1979,,,,,
1,Cache Road Books,(Cruisy 'peep show'),1206 Cache Rd.,Lawton,OK,,"Book Store,Crusing Areas",1980,,,,,
75,Casablanca ,('Super bar' & Disco),4812 E. 33rd St. ,Tulsa,OK,"(D),(YC),(*)",Bars/Clubs,1979,,,,,
76,Chalk Board,(French R),1324 S. Main,Tulsa,OK,"(M),(PE),(R)",Restaurant,1979,,,,,
30,Chalk Board,,1324 S. Main,Tulsa,OK,"(M),(PE),(R)",Restaurant,1980,,,,,
158,Circa Club,,2201 N.W. 39th St.,Oklahoma City,OK,"(P),(D),(*)",Bars/Clubs,1976,,,,,
129,Circa Club,,2201 N.W. 39th St.,Oklahoma City,OK,"(P),(D)",Bars/Clubs,1977,,,,,
97,Circa Club,(Cruisy),2201 N.W. 39th St.,,OK,"(P),(D),(W),(PT),(*)","Crusing Areas,Bars/Clubs",1978,,,,,
54,Circa Club,"(Some W, YC) (Cruisy)",2201 N.W. 39th St.,Oklahoma City,OK,"(W),(YC),(D),(PT)","Crusing Areas,Bars/Clubs",1979,,,,,
9,Circa Club,"(Some W, YC)(Cruisy)",2201 N. W. 39th St.,Oklahoma City,OK,"(W),(YC),(D),(PT)",Crusing Areas,1980,,,,,
305,Clique,,6915 N. Classen,Oklahoma City,OK,(P),Bars/Clubs,1965,,,,,
