ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
226,A Woman's Place ,(Book store),706 S.E. Grand ,Portland,OR,(G),Book Store,1976,,,,4/10/2020 2:35pm,7/27/2020 1:14pm
364,Adult Bookstore & Arcade ,,628 E. Burnside ,Portland,OR,,Book Store,1979,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
14,Aero Steam Baths ,,1237 SW 3rd. ,Portland,OR,,Baths,1966,,,,4/9/2020 4:09pm,7/27/2020 1:14pm
1,Aero Vapor Steam Baths,,1237 SW 3rd. ,Portland,OR,,Baths,1965,,,,4/9/2020 4:08pm,7/27/2020 1:14pm
83,Aero Vapor Steam Baths,,1239 S.W. 3rd ,Portland,OR,,Baths,1971,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
104,Aero Vapor Steam Baths,,1239 S.W. 3rd Ave. ,Portland,OR,,Baths,1972,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
27,Aero Vapor Steam Baths ,,1237 SW 3rd ,Portland,OR,,Baths,1968,,,,4/9/2020 4:09pm,7/27/2020 1:14pm
43,Aero Vapor Steam Baths ,,1237 SW 3rd ,Portland,OR,,Baths,1969,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
63,Aero Vapor Steam Baths ,,1237 S.W. 3rd ,Portland,OR,,Baths,1970,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
105,Annex (Derek's),,820 S.W. Oak ,Portland,OR,(*),Bars/Clubs,1972,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
2,Annex Stereo Room ,,820 SW Oak St. ,Portland,OR,(*),Bars/Clubs,1965,,,,4/9/2020 4:08pm,7/27/2020 1:14pm
11,Balboa Club ,,112 S. Empire ,Coos Bay,OR,(M),Bars/Clubs,1966,,,,4/9/2020 4:08pm,7/27/2020 1:14pm
23,Balboa Club ,,112 S. Empire ,Coos Bay,OR,(M),Bars/Clubs,1968,,,,4/9/2020 4:09pm,7/27/2020 1:14pm
39,Balboa Club ,,112 S Empire ,Coos Bay,OR,(M),Bars/Clubs,1969,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
57,Balboa Club ,,112 S. Empire ,Coos Bay,OR,(M),Bars/Clubs,1970,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
78,Balboa Club ,,112 S. Empire ,Coos Bay,OR,(M),Bars/Clubs,1971,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
99,Balboa Club ,,112 S. Empire ,Coos Bay,OR,(M),Bars/Clubs,1972,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
128,Barbary Coast Nite Club ,Hoyt Hotel,614 N.W. Hoyt,Portland,OR,(M),"Bars/Clubs,Hotels",1973,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
28,Beefeater,,1002 SW Broadway ,Portland,OR,"(M),(PE)",Bars/Clubs,1968,,,,4/9/2020 4:09pm,7/27/2020 1:14pm
44,Beefeater ,,1002 SW Broadway ,Portland,OR,"(M),(PE)",Bars/Clubs,1969,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
3,Benson Hotel Bar ,,309 S. Broadway ,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1965,,,,4/9/2020 4:08pm,7/27/2020 1:14pm
15,Benson Hotel Bar ,,309 S. Broadway ,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1966,,,,4/9/2020 4:09pm,7/27/2020 1:14pm
45,Benson Hotel Bar ,,309 S. Broadway ,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1969,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
64,Benson Hotel Bar ,(cocktail hour),309 S. Broadway,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1970,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
84,Benson Hotel Bar ,(cocktail hr.),309 S. Broadway,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1971,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
129,Benson Hotel Bar ,(cocktail hour only),309 S.W. Broadway ,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1973,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
153,Benson Hotel Bar ,(cocktail hour only),309 S.W. Broadway ,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1974,,,,4/10/2020 2:35pm,7/27/2020 1:14pm
190,Benson Hotel Bar ,(Cocktail hr. only),309 S.W. Broadway ,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1975,,,,4/10/2020 2:35pm,7/27/2020 1:14pm
227,Benson Hotel Bar ,(Cocktail hour only) ,309 S.W. Broadway ,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1976,,,,4/10/2020 2:35pm,7/27/2020 1:14pm
29,Benson's Hotel Bar ,,309 S. Broadway,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1968,,,,4/9/2020 4:09pm,7/27/2020 1:14pm
106,Benson's Hotel Bar ,(cocktail hour),309 S.W. Broadway ,Portland,OR,"(M),(PE)","Bars/Clubs,Hotels",1972,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
345,Bob's Adult Book Store ,,1391 Broadway N.E.,Salem,OR,,Book Store,1978,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
404,Bob's Adult Book Store ,,1389 Broadway N.E. ,Salem,OR,,Book Store,1979,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
463,Bob's Adult Book Store ,,1389 Broadway N.E.,Salem,OR,,Book Store,1980,,,,4/17/2020 5:19pm,7/27/2020 1:14pm
85,Bohemian ,,910 S.W. Washington,Portland,OR,"(R),(D),(*)",Restaurant,1971,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
154,Book Bin ,,213 S.W. Taylor ,Portland,OR,,Book Store,1974,,,,4/10/2020 2:35pm,7/27/2020 1:14pm
191,Book Bin ,,213 S.W. Taylor ,Portland,OR,,Book Store,1975,,,,4/10/2020 2:35pm,7/27/2020 1:14pm
4,Buddy's Post ,,926 SW 4th St. ,Portland,OR,"(M),(RT)",Bars/Clubs,1965,,,,4/9/2020 4:08pm,7/27/2020 1:14pm
16,Buddy's Post ,,926 SE 4th St. ,Portland,OR,"(M),(RT)",Bars/Clubs,1966,,,,4/9/2020 4:09pm,7/27/2020 1:14pm
30,Buddy's Post ,,926 SW 4th St. ,Portland,OR,"(M),(RT)",Bars/Clubs,1968,,,,4/9/2020 4:09pm,7/27/2020 1:14pm
46,Buddy's Post ,,926 SW 4th St. ,Portland,OR,"(M),(RT)",Bars/Clubs,1969,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
298,Captain's Cabin ,(Cruisy T-Room downstairs) Tioga Hotel (Coos Bay),275 No. Broadway,Coos Bay,OR,"(M),(OC),Cruisy Area","Bars/Clubs,Hotels",1978,,,,4/14/2020 4:43pm,7/27/2020 1:14pm
349,Captain's Cabin ,(Cruisy T-Room downstairs) Tioga Hotel ,257 N. Broadway ,Coos Bay,OR,"(M),(OC),Cruisy Area","Hotels,Cruising Areas",1979,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
