ID,Title,description,streetaddress,city,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
1,Hotel Sanadora,(Natives) (Some L),15 mi. S. of San Juan,Aguas Buenas,"(D),(WE),(L)",Bars/Clubs,,,1980,,4/27/2020 5:37pm,4/27/2020 6:58pm
4,El Cid,,43 Calle Luna,Ponce,(M),Bars/Clubs,,,1980,,4/27/2020 5:39pm,4/27/2020 6:59pm
6,Abbey,(Some L) (Disco) (Upstairs $3 minimum),251 Calle Cruz at Calle Fortaleza,San Juan,"(D),(*),(YC),(L)",Bars/Clubs,,,1980,,4/27/2020 6:12pm,4/27/2020 6:59pm
7,Arcos Blancos Guest House,,10 Carrion Ct.,Condado,(*),Bars/Clubs,,,1980,,4/27/2020 6:14pm,4/27/2020 6:59pm
8,Atlantic Beach Hotel,(Beach bar & rooftop disco),1 Calle Vendig,San Juan,(*),Bars/Clubs,,,1980,,4/27/2020 6:14pm,4/27/2020 6:59pm
9,Bachelor Club,,112 Avenida Condado,Condado,"(D),(*)",Bars/Clubs,,,1980,,4/27/2020 6:14pm,4/27/2020 6:59pm
10,Blow Hole,('Wild back room' - best late),51 Ave. Barranquitas,San Juan,(*),Bars/Clubs,,,1980,,4/27/2020 6:15pm,4/27/2020 6:59pm
13,Condad Guest House,,6 Condado Ave.,Condado,(H),Hotels,,,1980,,4/27/2020 6:21pm,4/27/2020 6:59pm
15,El Canario Guest House,,1317 Ashford Ave.,Condado,,Bars/Clubs,,,1980,,4/27/2020 6:22pm,4/27/2020 6:59pm
16,Hotel Lindomar,,4 Condado Ave.,Condado,"(M),(H),(OC)",Hotels,,,1980,,4/27/2020 6:22pm,4/27/2020 6:59pm
17,La Bahia Guest House,,320 Calle Sol,San Juan,"(M),(H),(*)",Hotels,,,1980,,4/27/2020 6:23pm,4/27/2020 6:59pm
18,La Vista Guest House,(also rooftop bar & R),151 Calle Tetuan,San Juan,"(R),(H),(*)","Hotels,Bars/Clubs,Restaurant",,,1980,,4/27/2020 6:23pm,4/27/2020 6:59pm
19,Lion of St. Mark's Baths,(Above Lion's Den),205 Calle Luna,San Juan,,Baths,,,1980,,4/27/2020 6:24pm,4/27/2020 6:59pm
20,Lion's Den,($3 min. - nude go go boys - 'Flicks') (adj. Lion's Disco),205 Calle Luna,San Juan,"(YC),(D)",Bars/Clubs,,,1980,,4/27/2020 6:25pm,4/27/2020 6:59pm
21,Little Club ,(Closes 3 am) ,607 Ponce de Leon Ave.,Miramar,(OC),Bars/Clubs,,,1980,,4/27/2020 6:25pm,4/27/2020 6:59pm
22,Lutece Guest House,,1 Atlantic Pl. off McLeary ,Condado,(*),Bars/Clubs,,,1980,,4/27/2020 6:28pm,4/27/2020 6:59pm
23,Main Street,(E in back room) (Opens 12 noon),257 Calle San Jose betw. Tetuan & Fortaleza,San Juan,"(E),(*),(OC)",Bars/Clubs,,,1980,,4/27/2020 6:28pm,4/27/2020 6:59pm
24,Maria's,(Mexican R) (Bar & patio),204 Calle Cristo,San Juan,"(M),(R)",Restaurant,,,1980,,4/27/2020 6:30pm,4/27/2020 6:59pm
25,Michael's Thing Cabaret,,1020 Ashford Ave.,Condado,"(E),(*)",Bars/Clubs,,,1980,,4/27/2020 6:32pm,4/27/2020 6:59pm
26,Penthouse Club,($3. adm.) (Some locals - FFA 'flicks'),1019 Ashford Ave.,Condado,"(*),(D),(FFA)",Bars/Clubs,,,1980,,4/27/2020 6:33pm,4/27/2020 6:59pm
27,Ray's Bar,"(Some B, RT) (Disco)",161 Calle San Jose,San Juan,"(D),(RT),(B)",Bars/Clubs,,,1980,,4/27/2020 6:52pm,4/27/2020 6:59pm
28,Sam's Patio,(Open 'til 1 am),102 Calle San Sebastian,San Juan,"(M),(*),(R),(E)","Bars/Clubs,Restaurant",,,1980,,4/27/2020 6:53pm,4/27/2020 6:59pm
29,San Francisco Inn,(Bar - Some SM),263 Calle San Francisco,San Juan,"(*),(H),(R),(SM)","Restaurant,Hotels",,,1980,,4/27/2020 6:54pm,4/27/2020 6:59pm
31,Small World,(Opens 11 am - best at cocktail hour),250 Calle San Jose,San Juan,(E),Bars/Clubs,,,1980,,4/27/2020 6:55pm,4/27/2020 6:59pm
32,Terrace,(above Condado Guest House),6 Condado Ave.,San Juan,"(R),(*)",Restaurant,,,1980,,4/27/2020 6:55pm,4/27/2020 6:59pm
33,Y.M.C.A.,,905 Ponce de Leon,San Juan,"(M),(H)",Hotels,,,1980,,4/27/2020 6:56pm,4/27/2020 6:59pm
40,Hotel Sanadora,(Some G) (Natives),15 mi. S. of San Juan,Aguas Buenas,"(D),(G),(WE)",Bars/Clubs,,,1979,,4/27/2020 6:59pm,4/27/2020 8:03pm
43,El Cid,,43 Calle Luna,Ponce,(M),Bars/Clubs,,,1979,,4/27/2020 7:00pm,4/27/2020 8:03pm
45,Abbey,(Some G) (Disco) (Upstairs - $3 minimum),251 Calle Cruz at Calle Fortaleza,San Juan,"(YC),(G),(D),(*)",Bars/Clubs,,,1979,,4/27/2020 7:01pm,4/27/2020 8:03pm
46,Arcos Blancos Guest House,,10 Carrion Ct.,Condado,(*),Bars/Clubs,,,1979,,4/27/2020 7:02pm,4/27/2020 8:03pm
47,Bachelor Club,,112 Avenida Condado,Condado,"(D),(*)",Bars/Clubs,,,1979,,4/27/2020 7:02pm,4/27/2020 8:03pm
50,Condado Guest House,,6 Condado Ave.,Condado,(H),Hotels,,,1979,,4/27/2020 7:03pm,4/27/2020 8:03pm
52,Hotel Lindomar,,4 Condado Ave.,Condado,"(M),(H),(OC)","Hotels,Bars/Clubs",,,1979,,4/27/2020 7:04pm,4/27/2020 8:03pm
53,La Bahia Guest House,,320 Calle Sol,San Juan,"(M),(H),(*)",Hotels,,,1979,,4/27/2020 7:04pm,4/27/2020 8:03pm
54,La Vista Guest House,(also rooftop bar & R),151 Calle Tetuan,San Juan,"(H),(*),(R)","Hotels,Restaurant",,,1979,,4/27/2020 7:05pm,4/27/2020 8:03pm
55,Lion of St. Mark's Baths,(Above Lion's Den),205 Calle Luna,San Juan,,Baths,,,1979,,4/27/2020 7:06pm,4/27/2020 8:03pm
56,Lion's Den ,($3. min. - nude go go boys - 'flicks') (adj. Lion's Disco),205 Calle Luna,San Juan,"(YC),(D)",Bars/Clubs,,,1979,,4/27/2020 7:06pm,4/27/2020 8:03pm
57,Little Club,(Closes 3 a.m.),607 Ponce de Leon Ave.,Miramar,(OC),Bars/Clubs,,,1979,,4/27/2020 7:07pm,4/27/2020 8:03pm
58,Lutece Guest House,,1 Atlantic Pl. off McLeary ,Condado,(*),Bars/Clubs,,,1979,,4/27/2020 7:07pm,4/27/2020 8:03pm
59,Main Street Bar,(E in back room) (Opens 12 noon),257 Calle San Jose betw. Tetuan & Fortaleza,San Juan,"(E),(*),(OC)",Bars/Clubs,,,1979,,4/27/2020 7:08pm,4/27/2020 8:03pm
60,Maria's ,(Mexican R) (Bar & Patio),204 Calle Cristo,San Juan,"(M),(R)",Restaurant,,,1979,,4/27/2020 7:09pm,4/27/2020 8:03pm
61,Penthouse Club,($3. adm.) (Some locals - FFA 'flicks'),1019 Ashford Ave.,Condado,"(*),(D),(FFA)",Bars/Clubs,,,1979,,4/27/2020 7:09pm,4/27/2020 8:03pm
62,Ray's Bar,"(Some B, RT) (Disco)",161 Calle San Jose,San Juan,"(B),(RT),(D)",Bars/Clubs,,,1979,,4/27/2020 7:11pm,4/27/2020 8:03pm
63,Sam's Patio,(Open 'til 1 a.m.),102 Calle San Sebastian,San Juan,"(M),(R),(E),(*)",Restaurant,,,1979,,4/27/2020 7:11pm,4/27/2020 8:03pm
64,San Francisco Inn,(Bar - Some SM),263 Calle San Francisco,San Juan,"(H),(R),(*),(SM)","Restaurant,Hotels",,,1979,,4/27/2020 7:12pm,4/27/2020 8:03pm
65,Small World,(Opens 11 a.m. - best at cocktail hour),250 Calle San Jose,San Juan,(E),Bars/Clubs,,,1979,,4/27/2020 7:12pm,4/27/2020 8:03pm
66,Ten Twenty Club,"(Opens 3 p.m.) (Some W, SM, levis)",1020 A Ashford Ave.,Condado,"(W),(*),(SM)",Bars/Clubs,,,1979,,4/27/2020 7:13pm,4/27/2020 8:03pm
67,Tommy's,"(Disco) (Nude go go boys, 'flicks' & wild back room)",254 Calle San Justo nr. Fortaleza,San Juan,"(D),(*)",Bars/Clubs,,,1979,,4/27/2020 7:59pm,4/27/2020 8:03pm
75,Y.M.C.A.,,905 Ponce de Leon,San Juan,"(M),(H)",Hotels,,,1978,,4/27/2020 8:07pm,4/27/2020 8:09pm
81,Hotel Senadora ,(Some G) (Locally popular WE),15 mi. S. of San Juan,Aguas Buenas,"(D),(G)",Bars/Clubs,,,1977,,4/27/2020 8:23pm,4/27/2020 11:33pm
85,El Cid Club,,43 Calle Luna,Ponce,(M),Bars/Clubs,,,1977,,4/27/2020 8:24pm,4/27/2020 11:33pm
