ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified
23,Diamond Belle - Peek-A-Rama,(Books),416 6th St,Rapid City,SD,(M),Book Store,1979,,,,,
7,Diamond Belle - Peek-A-Rama,(Books),416 6th St,Rapid City,SD,(M),Book Store,1980,,,,,
27,Earl's Lounge,"(Pizzas) (Bar, liquor, & party store)",300 N. Main,Sioux Falls,SD,"(*),(M),(R)",Restaurant,1979,,,,,
50,Embers,,2424 W. Main,Rapid City,SD,(M),Bars/Clubs,1974,,,,,
46,Embers,,2424 W. Main,Rapid City,SD,(M),Bars/Clubs,1975,,,,,
31,Get It Together ,(Social club - Tues. night meetings - side door),629 13th Ave,Brookings,SD,,Organizations,1978,,,,,
18,Get It Together ,(Social club - Tues. night meetings - side door),629 13th Ave,Brookings,SD,,Organizations,1979,,,,,
3,Get It Together ,(Social club - Tues. night meetings - side door),629 13th Ave,Brookings,SD,,Organizations,1980,,,,,
51,Happy Hour ,,303 S. Phillips Ave.,Sioux Falls,SD,(M),Bars/Clubs,1974,,,,,
47,Happy Hour ,,303 S. Phillips Ave.,Sioux Falls,SD,(M),Bars/Clubs,1975,,,,,
11,Heritage Book Store,,309 N. Dakota,Sioux Falls,SD,(M),Bars/Clubs,1980,,,,,
43,Landmark,,600 St. Joseph St.,Rapid City,SD,"(RT),(M)",Bars/Clubs,1976,,,,,
39,Landmark,,600 St. Joseph St.,Rapid City,SD,"(RT),(M)",Bars/Clubs,1977,,,,,
33,Landmark,,600 St. Joseph St.,Rapid City,SD,"(RT),(M)",Bars/Clubs,1978,,,,,
24,Landmark,,600 St. Joseph St.,Rapid City,SD,"(M),(RT)",Bars/Clubs,1979,,,,,
8,Landmark,,600 St. Joseph St.,Rapid City,SD,"(M),(RT)",Bars/Clubs,1980,,,,,
12,Mocambo,(Disco),305 N. Main,Sioux Falls,SD,"(M),(YC),(D)",Bars/Clubs,1980,,,,,
44,Roman's Rendezvous,(best bet in area),200 St. Joseph St.,Rapid City,SD,(M),Bars/Clubs,1976,,,,,
40,Roman's Rendezvous,(best bet in area),200 St. Joseph St.,Rapid City,SD,(M),Bars/Clubs,1977,,,,,
34,Roman's Rendezvous,(best bet in area),200 St. Joseph St.,Rapid City,SD,(M),Bars/Clubs,1978,,,,,
25,Sound Studio,(Disco),1438 Mount View Rd,Rapid City,SD,"(M),(D),(YC)",Bars/Clubs,1979,,,,,
9,Sound Studio,(Disco),1438 Mount View Rd,Rapid City,SD,"(M),(D),(YC)",Bars/Clubs,1980,,,,,
48,Station Break Lounge,,519 S. Phillips Ave.,Sioux Falls,SD,(M),Bars/Clubs,1975,,,,,
55,Twin Bar & Lounge,,221 N. Main St.,Sioux Falls,SD,(M),Bars/Clubs,1971,,,,,
53,Twin Bar & Lounge,,221 N. Main St.,Sioux Falls,SD,(M),Bars/Clubs,1972,,,,,
45,V.I.P Lounge,,303 S Phillips Ave,Sioux Falls,SD,(M),Bars/Clubs,1976,,,,,
41,V.I.P Lounge,,303 So. Phillips Ave,Sioux Falls,SD,(M),Bars/Clubs,1977,,,,,
36,V.I.P Lounge,,303 So. Phillips Ave,Sioux Falls,SD,(M),Bars/Clubs,1978,,,,,
