ID,title,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
1,Brewery,,1889 Lincoln Ave.,Ogden,UT,1980,"(M),(HIP),(YC)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
2,Odgen Books,(Cruisy arcade),2212 Washington St.,Ogden,UT,1980,,"Book Store,Cruising Areas",,,2/14/2020 1:21pm,2/14/2020 5:01pm
3,Old Mill,(Disco),1251 Canyon Rd.,Ogden,UT,1980,"(M),(HIP),(YC),(D)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
4,Sambo's,,3670 Washington Blvd.,Ogden,UT,1980,"(M),(R),(C),(AH)",Restaurant,,,2/14/2020 1:21pm,2/14/2020 5:01pm
10,Comeback,(Semi-P) (Disco) (Occ. S) (C-AH) (See ad previous pg.),551 S. 300 West,Salt Lake City,UT,1980,"(P),(D),(PT),(R),(S),(*)","Bars/Clubs,Restaurant",,,2/14/2020 1:21pm,2/14/2020 5:01pm
11,Cosmic Aeroplane,"(Books, etc.)",258 E. 1st S. ,Salt Lake City,UT,1980,,Book Store,,,2/14/2020 1:21pm,2/14/2020 5:01pm
12,Crazy Pete's Rail,(Cruisy afternoons),363 West South Temple,Salt Lake City,UT,1980,"(*),(PT)","Bars/Clubs,Cruising Areas",,,2/14/2020 1:21pm,2/14/2020 5:01pm
14,Jeff's Gym,(Dull baths),727 W. 17th St.,Salt Lake City,UT,1980,(OC),Baths,,,2/14/2020 1:21pm,2/14/2020 5:01pm
15,Magazine Shop,(Books),228 S. Main,Salt Lake City,UT,1980,(M),Book Store,,,2/14/2020 1:21pm,2/14/2020 5:01pm
16,M.C.C.,,2555 Highland Dr.,Salt Lake City,UT,1980,(MCC),Church,,,2/14/2020 1:21pm,2/14/2020 5:01pm
17,Radio City,"(Some W, OC) (Can enter thru parking lot in rear)",147 S. State St.,Salt Lake City,UT,1980,"(W),(*),(OC),(D),(PT)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
18,Studio 8 Disco,(Liquor) (Show Address Book for adm.),8 West 200 South,Salt Lake City,UT,1980,"(P),(YC),(D),(*),(R),(PT)","Bars/Clubs,Restaurant",,,2/14/2020 1:21pm,2/14/2020 5:01pm
19,Sun Tavern,(Disco) (Patio in summer) (Adm. WE),1 South 400 West,Salt Lake City,UT,1980,"(*),(YC),(D),(WE)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
20,Uptown Lounge,"(Guys unwelcome, undesirable gals)",15 S. 400 West,Salt Lake City,UT,1980,"(L),(RT)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
21,Village Idiot,"(Clothes, head shop)",660 S. State St.,Salt Lake City,UT,1980,(M),Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
22,Waking Owl Book Co.,,1260 E. 4th South,Salt Lake City,UT,1980,,Book Store,,,2/14/2020 1:21pm,2/14/2020 5:01pm
29,Adult Book & Cinema,(Cruisy),2212 Washington Blvd.,Ogden,UT,1979,,"Cruising Areas,Theatre,Book Store",,,2/14/2020 1:21pm,2/14/2020 5:01pm
30,Brewery,,1889 Lincoln Ave,Ogden,UT,1979,"(M),(HIP),(YC)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
31,Old Mill,"(Disco)
",1251 Canyon Rd,Ogden,UT,1979,"(M),(HIP),(YC),(D)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
32,Sambo's,,3670 Washington Blvd.,Ogden,UT,1979,"(M),(R),(C),(AH)",Restaurant,,,2/14/2020 1:21pm,2/14/2020 5:01pm
38,Comeback,(Semi-P - show ADDRESS BOOK for adm.) (Disco) (occ. S) (C-AH) ,551 S. 300 West,Salt Lake City,UT,1979,"(*),(P),(YC),(D),(PT),(R),(S),(C),(AH)","Restaurant,Bars/Clubs",,,2/14/2020 1:21pm,2/14/2020 5:01pm
39,Jeff's Gym,"(Another name for the old Club Baths which, when not raided, is mediocre at best)",727 W. 17th St.,Salt Lake City,UT,1979,,Baths,,,2/14/2020 1:21pm,2/14/2020 5:01pm
40,M.C.C.,,870 W. 400 South,Salt Lake City,UT,1979,(MCC),Church,,,2/14/2020 1:21pm,2/14/2020 5:01pm
41,Open Book,(Books) (Downstairs),10252 2nd Ave.,Salt Lake City,UT,1979,(M),Book Store,,,2/14/2020 1:21pm,2/14/2020 5:01pm
42,Radio City,"(Some W, OC) (Can enter thru parking lot in rear)",147 So. State St.,Salt Lake City,UT,1979,"(*),(W),(OC),(D),(PT)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
43,Sun Tavern,(Disco) (Some G) (Patio in Summer) (Adm. WE) ,400 W. South Temple,Salt Lake City,UT,1979,"(*),(D),(G),(WE)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
44,Uptown Lounge,(Guys unwelcome - undesirable gals),15 S. 400 West,Salt Lake City,UT,1979,"(G),(RT)",Bars/Clubs,,,2/14/2020 1:21pm,2/14/2020 5:01pm
45,Village Idiot,"(Books, clothes, etc.)",660 S. State St.,Salt Lake City,UT,1979,,Book Store,,,2/14/2020 1:21pm,2/14/2020 5:01pm
46,Waking Owl Book Co.,,1260 E. 4th South,Salt Lake City,UT,1979,,Book Store,,,2/14/2020 1:21pm,2/14/2020 5:01pm
54,Adult Book & Cinema,(Cruisy),2212 Washington Blvd.,Ogden,UT,1978,,"Bars/Clubs,Cruising Areas",,,2/14/2020 1:22pm,2/14/2020 5:01pm
55,Brewery,,1889 Lincoln Ave,Ogden,UT,1978,"(M),(HIP),(YC)",Bars/Clubs,,,2/14/2020 1:22pm,2/14/2020 5:01pm
56,Old Mill,"(Disco)
",1251 Canyon Rd,Ogden,UT,1978,"(M),(HIP),(YC),(D)",Bars/Clubs,,,2/14/2020 1:22pm,2/14/2020 5:01pm
57,Sambo's,,3670 Washington Blvd.,Ogden,UT,1978,"(M),(R),(C),(AH)",Restaurant,,,2/14/2020 1:22pm,2/14/2020 5:01pm
63,Club Baths,,727 W. 17th St.,Salt Lake City,UT,1978,"(P),(*)",Baths,,,2/14/2020 1:22pm,2/14/2020 5:01pm
64,Comeback,(Semi-P) (Liquor),551 So. 3rd West,Salt Lake City,UT,1978,"(P),(YC),(D),(*)",Bars/Clubs,,,2/14/2020 1:22pm,2/14/2020 5:01pm
65,M.C.C.,,740 So. 7th East,Salt Lake City,UT,1978,(MCC),Church,,,2/14/2020 1:22pm,2/14/2020 5:01pm
66,Radio City,(Can enter thru parking lot in rear),147 So. State St.,Salt Lake City,UT,1978,"(D),(PT),(*)",Bars/Clubs,,,2/14/2020 1:22pm,2/14/2020 5:01pm
67,Sun Tavern,(Disco) (Patio in Summer) (Adm. WE) ,400 W. South Temple,Salt Lake City,UT,1978,"(YC),(D),(*)",Bars/Clubs,,,2/14/2020 1:22pm,2/14/2020 5:01pm
68,Uptown Lounge,(Snacks) (Next to Sun Tavern),15 S. 400 West,Salt Lake City,UT,1978,"(G),(D),(PT),(*)",Bars/Clubs,,,2/14/2020 1:22pm,2/14/2020 5:01pm
78,Club Baths,(Semi P)*,727 W. 17th St.,Salt Lake City,UT,1977,"(P),(*)",Baths,,,2/14/2020 1:22pm,2/14/2020 5:01pm
79,Gay Community Service Center,,11 S. 400 W.,Salt Lake City,UT,1977,,Organizations,,interesting that this doesnt last,2/14/2020 1:22pm,2/14/2020 5:01pm
80,M.C.C. ,,740 S. 7th East,Salt Lake City,UT,1977,(MCC),Church,,,2/14/2020 1:22pm,2/14/2020 5:01pm
81,Radio City,(Can enter thru parking lot in rear),147 S. State St.,Salt Lake City,UT,1977,"(D),(PT),(*)",Bars/Clubs,,,2/14/2020 1:22pm,2/14/2020 5:01pm
82,Rusty Bell,(Semi P) (Some G) (Disco) (Open daily 11 a.m. - 2 a.m.) ,996 S. Redwood Road,Salt Lake City,UT,1977,"(*),(P),(YC),(G),(D),(PT)",Bars/Clubs,,,2/14/2020 1:22pm,2/14/2020 5:01pm
83,Sister's,"(also soup, snacks, etc.) (Next to and part of the same complex that includes ""Sunset Room"" & Sun"" Tavern)",15 S. 400 West,Salt Lake City,UT,1977,"(G),(D),(PT),(*)",Bars/Clubs,,,2/14/2020 1:22pm,2/14/2020 5:01pm
