ID,title,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
1,Andrews Inn,(Ski Resort) (2 bars) (Disco) (Some L),34 Village Square,Bellows Falls,VT,1980,"(H),(*),(R),(L),(D)","Bars/Clubs,Hotels,Restaurant,Business",,,2/16/2020 4:14am,3/30/2020 11:56am
2,Twin Cities News,"(Books) Twin Cities Shopping Plaza, Barre-Montpelier Rd.",Barre-Montpelier Rd.,Berlin,VT,1980,,Book Store,,,2/16/2020 4:14am,3/30/2020 11:56am
4,Acropolis,,60 Pearl St.,Burlington,VT,1980,"(M),(R)",Restaurant,,,2/16/2020 4:14am,3/30/2020 11:56am
11,Back Home Cafe,,21 Center St.,Rutland,VT,1980,"(M),(R)","Restaurant,Bars/Clubs",,,2/16/2020 4:14am,3/30/2020 11:56am
12,Mardi Gras,,40 Center St.,Rutland,VT,1980,(*),Bars/Clubs,,,2/16/2020 4:14am,3/30/2020 11:56am
19,Andrews Inn,(Ski resort) (WE*) (2 bars) (Some G),34 Village Square,Bellows Falls,VT,1979,"(WE),(*),(H),(R),(D),(G)","Bars/Clubs,Business,Hotels,Restaurant",,,2/16/2020 4:14am,3/30/2020 11:56am
21,Nector's ,(Very M) (Upstairs) ,188 Main St.,Burlington,VT,1979,(M),Bars/Clubs,,,2/16/2020 4:14am,3/30/2020 11:56am
22,Taj Mahal,(Downstairs),115 College,Burlington,VT,1979,"(*),(HIP),(M),(YC),(R),(D)","Bars/Clubs,Restaurant",,,2/16/2020 4:14am,3/30/2020 11:56am
25,Book King,"(Books, etc.)",57 Merchants Row,Rutland,VT,1979,,Book Store,,,2/16/2020 4:14am,3/30/2020 11:56am
26,Hotel Cooldige Bar,,17 S. Main St.,White River Junction,VT,1979,(M),"Bars/Clubs,Hotels",,,2/16/2020 4:14am,3/30/2020 11:56am
28,Andrews Inn,(Ski resort) (2 bars) (Some G),34 Village Square,Bellows Falls,VT,1978,"(H),(*),(R),(D),(G)","Hotels,Bars/Clubs,Restaurant",,,2/16/2020 4:14am,3/30/2020 11:56am
30,Office Bar,,103 Church St.,Burlington,VT,1978,"(M),(RT)",Bars/Clubs,,,2/16/2020 4:14am,3/30/2020 11:56am
31,Taj Mahal,(Upstairs),115 College,Burlington,VT,1978,"(HIP),(YC),(D),(M),(R)","Bars/Clubs,Restaurant",,,2/16/2020 4:14am,3/30/2020 11:56am
33,Book King,"(Books, etc.)",57 Merchants Row,Rutland,VT,1978,,Book Store,,,2/16/2020 4:14am,3/30/2020 11:56am
35,Hotel Cooldige Bar,,17 S. Main St.,White River Junction,VT,1978,(M),"Hotels,Bars/Clubs",,,2/16/2020 4:14am,3/30/2020 11:56am
36,Andrews Inn,(Ski resort) (2 bars) (Some G) (Basement bar),34 Village Square,Bellows Falls,VT,1977,"(H),(*),(R),(G)","Bars/Clubs,Restaurant,Hotels",,,2/16/2020 4:14am,3/30/2020 11:56am
37,Millard Fillmore,,4 N. Winooski,Burlington,VT,1977,"(HIP),(YC),(G)",Bars/Clubs,,,2/16/2020 4:14am,3/30/2020 11:56am
38,Office Bar,,103 Church St.,Burlington,VT,1977,"(M),(RT)",Bars/Clubs,,,2/16/2020 4:14am,3/30/2020 11:56am
39,Taj Mahal,(D)* (Upstairs) ,115 College,Burlington,VT,1977,"(D),(*),(M),(R)","Bars/Clubs,Restaurant",,,2/16/2020 4:14am,3/30/2020 11:56am
40,The Sting,(Some G),135 Pearl St.,Burlington,VT,1977,"(M),(YC),(G)",Bars/Clubs,,,2/16/2020 4:14am,3/30/2020 11:56am
45,Book King,(Books),57 Merchants Row,Rutland,VT,1977,,Book Store,,,2/16/2020 4:37am,3/30/2020 11:56am
46,Hotel Cooldige Bar,,17 S. Main St.,White River Junction,VT,1977,(M),"Bars/Clubs,Hotels",,,2/16/2020 4:37am,3/30/2020 11:56am
47,Hi Hat Lounge,(WE*) (Upstairs- horse-shoe bar),188 Main St.,Burlington,VT,1976,"(M),(WE),(*)",Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
48,Office Bar,,103 Church St.,Burlington,VT,1976,"(M),(R)","Bars/Clubs,Restaurant",,,2/16/2020 4:37am,3/30/2020 11:56am
49,Waybury Inn,Main St. nr. Ripton,,East Middlebury,VT,1976,"(M),(R),(YC)","Restaurant,Bars/Clubs",,,2/16/2020 4:37am,3/30/2020 11:56am
50,Alibi,So. Park Street,,Middlebury,VT,1976,"(M),(YC)",Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
52,Book King,(Book Store),57 Merchants Row,Rutland,VT,1976,,Book Store,,,2/16/2020 4:37am,3/30/2020 11:56am
53,Hotel Cooldige Bar,,17 S. Main St.,White River Junction,VT,1976,(M),"Bars/Clubs,Hotels",,,2/16/2020 4:37am,3/30/2020 11:56am
54,Hi Hat Lounge,(Horseshoe bar),188 Main St.,Burlington,VT,1975,"(M),(*)",Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
55,Hi Hat Lounge,(Horseshoe bar),188 Main St.,Burlington,VT,1974,"(M),(*)",Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
56,Hotel Cooldige Bar,,17 S. Main St.,White River Junction,VT,1974,"(M),(YC)","Hotels,Bars/Clubs",,,2/16/2020 4:37am,3/30/2020 11:56am
57,Gay B's,,91 Main St.,Burlington,VT,1973,"(R),(YC),(*)","Restaurant,Bars/Clubs",,,2/16/2020 4:37am,3/30/2020 11:56am
58,Hi Hat Lounge,(horseshoe bar),188 Main St.,Burlington,VT,1973,(*),Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
59,Hotel Cooldige Bar,,17 S. Main St.,White River Junction,VT,1973,"(M),(YC)","Bars/Clubs,Hotels",,,2/16/2020 4:37am,3/30/2020 11:56am
60,Chez Dufais,(upstairs),185 Pearl St.,Burlington,VT,1972,(M),Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
61,Hi Hat Lounge,(horseshoe bar),188 Main St.,Burlington,VT,1972,(*),Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
62,Hotel Breton,(downstairs club),106 Church St.,Burlington,VT,1972,"(M),(RT)","Bars/Clubs,Hotels",,,2/16/2020 4:37am,3/30/2020 11:56am
63,Two Guys Restaurant,,103 Church St.,Burlington,VT,1972,(M),"Bars/Clubs,Restaurant",,,2/16/2020 4:37am,3/30/2020 11:56am
64,Chez Dufais,(upstairs),185 Pearl St.,Burlington,VT,1971,(M),Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
65,Hi Hat Lounge,(horseshoe bar),188 Main St.,Burlington,VT,1971,(*),Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
66,Hotel Breton,(downstairs club),106 Church St.,Burlington,VT,1971,"(M),(RT)","Hotels,Bars/Clubs",,,2/16/2020 4:37am,3/30/2020 11:56am
67,Two Guys Restaurant,,103 Church St.,Burlington,VT,1971,(M),"Restaurant,Bars/Clubs",,,2/16/2020 4:37am,3/30/2020 11:56am
68,Chez Dufais,(upstairs),185 Pearl St.,Burlington,VT,1970,(M),Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
69,Hi Hat Lounge,(horseshoe bar),188 Main St.,Burlington,VT,1970,(*),Bars/Clubs,,,2/16/2020 4:37am,3/30/2020 11:56am
70,Hotel Breton,(downstairs club),106 Church St.,Burlington,VT,1970,"(M),(RT)","Bars/Clubs,Hotels",,,2/16/2020 4:54am,3/30/2020 11:56am
71,Two Guys Restaurant,,103 Church St.,Burlington,VT,1970,(M),Bars/Clubs,,,2/16/2020 4:54am,3/30/2020 11:56am
72,Orchid Room,(upstairs at Conrad's),185 Pearl St.,Burlington,VT,1969,(M),Bars/Clubs,,,2/16/2020 4:54am,3/30/2020 11:56am
73,Orchid Room,(upstairs at Conrad's),185 Pearl St.,Burlington,VT,1968,(M),Bars/Clubs,,,2/16/2020 4:54am,3/30/2020 11:56am
74,Orchid Room,(upstairs at Conrad's),185 Pearl St.,Burlington,VT,1966,,Bars/Clubs,,,2/16/2020 4:54am,3/30/2020 11:56am
75,Orchid Room,(upstairs at Conrad's),185 Pearl St.,Burlington,VT,1965,,Bars/Clubs,,,2/16/2020 4:57am,3/30/2020 11:56am
