ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified
1,Atlas Baths ,,118 1/2 Occidental ,Seattle,WA,,Baths,1965,,,3/20/2020 6:15pm,5/7/2020 7:46am
3,Dave's Baths,,2402 1st Ave N,Seattle,WA,,Baths,1965,,,3/20/2020 6:15pm,5/7/2020 7:46am
5,Golden Horseshoe,,207 2nd Ave S,Seattle,WA,(D),Bars/Clubs,1965,,,3/20/2020 6:15pm,5/7/2020 7:46am
7,Luckytavern ,,158 Washington ,Seattle,WA,,Bars/Clubs,1965,,,3/20/2020 6:15pm,5/7/2020 7:46am
8,Madison ,,922 3rd Ave,Seattle,WA,"(G),(D),(*)",Bars/Clubs,1965,,,3/20/2020 6:15pm,5/7/2020 7:46am
9,Mocambo ,(only liquor bar listed),203 Yessler,Seattle,WA,(*),Bars/Clubs,1965,,,3/20/2020 6:15pm,5/7/2020 7:46am
10,Pike Street Tavern,,824 Pike St. ,Seattle,WA,,Bars/Clubs,1965,,,3/20/2020 6:15pm,5/7/2020 7:46am
11,Six-Fourteen,,614 1st St. ,Seattle,WA,"(D),(*)",Bars/Clubs,1965,,,3/20/2020 6:15pm,5/7/2020 7:46am
13,Casbah,,919 W. Spague ,Spokane,WA,(*),Bars/Clubs,1965,,,3/20/2020 6:15pm,5/7/2020 7:46am
14,Atlas Baths ,,118 1/2 Occidental ,Seattle,WA,,Baths,1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
16,Caper ,"('new dance'--after hours Fri & Sat; semi-private; bring your own booze. 2nd fl, Morrison Hotel)",517 3rd Ave,Seattle,WA,(*),"Bars/Clubs,Hotels",1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
17,Dave's Baths ,,2402 1st Ave,Seattle,WA,,Baths,1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
19,Golden Horseshoe,,207 2nd Ave S,Seattle,WA,"(D),(*)",Bars/Clubs,1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
20,Mocambo,(liquor),203 Yesler Way ,Seattle,WA,(*),Bars/Clubs,1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
21,Pike Street Tavern ,,824 Pike St. ,Seattle,WA,,Bars/Clubs,1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
22,Six Eleven Club ,,611 2nd Ave,Seattle,WA,(*),Bars/Clubs,1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
24,Stage Door ,,158 Washington ,Seattle,WA,,Bars/Clubs,1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
26,Casbah ,,919 W. Sprague ,Spokane,WA,(*),Bars/Clubs,1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
27,Murphy's Cafe ,,938 Pacific Ave ,Tacoma,WA,,Bars/Clubs,1966,,,3/20/2020 6:15pm,5/7/2020 7:46am
28,Atlas Bath ,,118 1/2 Occidental ,Seattle,WA,,Baths,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
29,Busy Bee ,(liquor),417 2nd Ave ,Seattle,WA,,Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
30,Caper ,"(D- semi-private BYOB Fri & Sat nites, 2nd floor Morrison Hotel)",517 3rd Ave,Seattle,WA,(*),"Bars/Clubs,Hotels",1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
31,Clark's Clock,(After hours),1001 Olive Way,Seattle,WA,"(C),(M),(R)",Restaurant,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
32,Dave's Baths ,,2402 1st Ave ,Seattle,WA,,Baths,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
34,Golden Horseshoe,,207 2nd Ave S,Seattle,WA,"(D),(*)",Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
35,Mocambo,(liquor),203 Yesler,Seattle,WA,,Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
36,Pike St. Tavern ,,824 Pike St. ,Seattle,WA,,Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
37,Silver Star ,,173 S. Washington,Seattle,WA,"(M),(RT)",Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
38,Six Eleven Club ,,611 2nd Ave,Seattle,WA,,Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
40,Stage Door ,,158 Washington,Seattle,WA,,Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
41,Submarine Room,(liquor- basement of Smith Tower),506 2nd Ave,Seattle,WA,"(G),(D)",Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
42,Casbah ,,919 W. Sprague,Spokane,WA,(*),Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
43,Saddle Tavern ,,927 1st Ave,Spokane,WA,(M),Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
44,Murphy's Cafe ,,938 Pacific Ave,Tacoma,WA,,Bars/Clubs,1968,,,3/20/2020 6:15pm,5/7/2020 7:46am
45,Atlas Baths ,,118 1/2 Occidental ,Seattle,WA,,Baths,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
47,Caper ,"(semi-private, BYOB, Fri-Sat nites after bars close, 2nd floor) Morrison Hotel ",517 3rd Ave. ,Seattle,WA,"(*),(D),(BYOB)","Bars/Clubs,Hotels",1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
48,Centurion Book Store,,903 Pine St. ,Seattle,WA,,Book Store,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
49,Clark's Clock ,(after hours),1001 Olive Way ,Seattle,WA,"(M),(R)",Restaurant,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
50,Dave's Baths ,,2402 1st Ave,Seattle,WA,(*),Baths,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
52,Golden Horseshoe,,207 2nd Ave So.,Seattle,WA,"(YC),(D),(*)",Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
53,Mocambo ,(Liquor),203 Yessler ,Seattle,WA,,Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
54,Nine-Twenty-Two Club,,922 3rd St. ,Seattle,WA,(SM),Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
55,Pike St. Tavern,,824 Pike St. ,Seattle,WA,(*),Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
56,Silver Star ,,173 S. Washington,Seattle,WA,"(RT),(M)",Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
57,Six-Eleven Club,,611 2nd Ave,Seattle,WA,,Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
58,Six-Fourteen Club,,614 1st St. ,Seattle,WA,"(YC),(D),(*)",Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
60,Stage Door ,,158 Washington,Seattle,WA,,Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
61,Submarine Room ,(Liquor-basement Smith Towers),506 2nd Ave,Seattle,WA,"(G),(D)",Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
62,Casbah ,,919 Sprague ,Spokane,WA,(*),Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
63,Saddle Tarvern ,,927 1st Ave ,Spokane,WA,(M),Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
64,Murphy's Cafe ,,938 Pacific,Tacoma,WA,,Bars/Clubs,1969,,,3/20/2020 6:15pm,5/7/2020 7:46am
65,Atlas Baths ,,118 1/2 Occidental ,Seattle,WA,,Baths,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
67,Caper ,"(semi-private- BYOB, Fri.- Sat. nites after hours, 2nd floor) Morrison Hotel ",517 1/2 3rd Ave. ,Seattle,WA,(BYOB),"Bars/Clubs,Hotels",1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
68,Dave's Baths ,,2402 1st Ave.,Seattle,WA,(*),Baths,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
69,Denny's ,(after hours) ,307 N. Aurora,Seattle,WA,(C),Restaurant,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
71,Golden Horseshoe,,207 2nd Ave,Seattle,WA,"(YC),(D),(*)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
72,Mocambo ,(only liquor bar),203 Yessler ,Seattle,WA,"(R),(C)",Restaurant,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
73,Nine-Twenty-Two Club ,,922 3rd St. ,Seattle,WA,"(SM),(*)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
74,Pike Street Tavern ,,824 Pike St. ,Seattle,WA,(*),Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
76,Silver Slipper ,,210 S. Jackson,Seattle,WA,(G),Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
77,Silver Star ,,173 S. Washington,Seattle,WA,"(M),(RT)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
78,Six-Eleven Club ,,611 2nd Ave ,Seattle,WA,,Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
79,Six-Fourteen Club ,,614 1st St. ,Seattle,WA,"(YC),(D),(*)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
81,Stage Door ,,158 Washington ,Seattle,WA,"(RT),(S)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
82,Submarine Room ,(basement Smith Towers),506 2nd Ave,Seattle,WA,"(G),(D)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
83,Casbah,,919 W. Sprague ,Spokane,WA,(*),Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
84,Saddle Tavern ,,927 1st Ave,Spokane,WA,(M),Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
85,Atlas Baths ,(fourth floor) ,1318 2nd Ave,Seattle,WA,,Baths,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
86,Caper ,"(Fri & Sat nights- after hrs.- semi private- 2nd floor, Morrison Hotel)",517 1/2 3rd Ave,Seattle,WA,"(BYOB),(D),(*)","Bars/Clubs,Hotels",1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
88,Club-One-O-Seven ,(after hours) ,107 Occidental So.,Seattle,WA,"(D),(S),(YC),(*)",Bars/Clubs,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
90,Dave's Baths,,2402 1st Ave. ,Seattle,WA,(*),Baths,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
