ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
1,Arabian Hut,(Downstairs) (Grandview Pike),Rte. 3,Beckley,WV,"(P),(M)",Bars/Clubs,,,1980,,4/10/2020 2:48am,7/27/2020 1:17pm
2,Adam & Eve Adult Ent. Center,,806 Kanawha Blvd. E.,Charlestown,WV,,Business,,,1980,,4/10/2020 2:48am,7/27/2020 1:17pm
3,Adult World Twin Cinema,,1008 Quarrier St.,Charlestown,WV,(M),Theatre,,,1980,,4/10/2020 2:49am,7/27/2020 1:17pm
4,Empire ,"(Some M, RT) (Downstairs)",1022 Quarrier St.,Charlestown,WV,"(M),(RT)",Bars/Clubs,,,1980,,4/10/2020 2:49am,7/27/2020 1:17pm
5,Grand Palace,(Disco) (Occ. S) (Some L),617 Brooks St.,Charlestown,WV,"(*),(YC),(D),(P),(S),(L)",Bars/Clubs,,,1980,,4/10/2020 2:50am,7/27/2020 1:17pm
6,Queen Bee,(Plans baths upstairs) (Some L) (Occ. S) (Disco),168 Laidley,Charlestown,WV,"(*),(P),(YC),(L),(R),(S),(D)",Bars/Clubs,,,1980,,4/10/2020 2:51am,7/27/2020 1:17pm
9,Driftwood Lounge,(Opens 4 pm) (Out of staters welcome),1121 7th Ave.,Huntington,WV,"(*),(P),(YC),(D)",Bars/Clubs,,,1980,,4/10/2020 2:53am,7/27/2020 1:17pm
10,South Seas,(Some L),105 4th Ave. at 1st St.,Huntington,WV,"(L),(D),(*),(YC),(P)",Bars/Clubs,,,1980,,4/10/2020 2:58am,7/27/2020 1:17pm
12,Le Rendezvous,(Disco) (Lunches),121 Pleasant St.,Morgantown,WV,"(*),(D)",Bars/Clubs,,,1980,,4/10/2020 2:59am,7/27/2020 1:17pm
14,Strawberry Hut,(8 pm to 12 midnight) (was closed - may be re-opening) (Cl. Sun. & Mon.),600 Market St.,Parkersburg,WV,"(P),(YC)",Bars/Clubs,,,1980,,4/10/2020 3:00am,7/27/2020 1:17pm
15,Swingers Book Shop,,727 7th t.,Parkersburg,WV,(M),Bars/Clubs,,,1980,,4/10/2020 3:00am,7/27/2020 1:17pm
18,16th Street News,,16th & Market Sts.,Wheeling,WV,,Book Store,,,1980,,4/10/2020 11:54am,7/27/2020 1:17pm
19,Question Mark,(Disco),1413 Market St.,Wheeling,WV,"(P),(YC),(D)",Bars/Clubs,,,1980,,4/10/2020 11:55am,7/27/2020 1:17pm
22,Arabian Hut,(Downstairs),Rte. 3,Beckley,WV,(P),Bars/Clubs,,,1979,,4/10/2020 11:58am,7/27/2020 1:17pm
23,Sam's Place,,712 Bland,Bluefield,WV,(M),Bars/Clubs,,,1979,,4/12/2020 12:30am,7/27/2020 1:17pm
24,Adult World Twin Cinema,,1008 Quarrier St. ,Charlestown,WV,,Theatre,,,1979,,4/12/2020 12:31am,7/27/2020 1:17pm
25,Empire,"(Downstairs) (Some M, RT)",1022 Quarrier,Charlestown,WV,"(M),(RT)",Bars/Clubs,,,1979,,4/12/2020 12:32am,7/27/2020 1:17pm
26,Greek Downstairs Club,(Disco) (Some G),617 Brooks St.,Charlestown,WV,"(P),(*),(D),(G),(S)",Bars/Clubs,,,1979,,4/12/2020 12:32am,7/27/2020 1:17pm
27,Up Club,(Some G) (Disco) (Sun. S) ,300 Carolina St.,Charlestown,WV,"(P),(R),(G),(D),(S),(*)","Restaurant,Bars/Clubs",,,1979,,4/12/2020 12:33am,7/27/2020 1:17pm
29,Driftwood Lounge,(Opens 4 p.m.) (Out of staters welcome),1121 7th Ave.,Huntington,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1979,,4/12/2020 12:34am,7/27/2020 1:17pm
30,South Seas ,(Some G) ,4th Ave. at 1st St.,Huntington,WV,"(P),(YC),(G),(D),(*)",Bars/Clubs,,,1979,,4/12/2020 12:35am,7/27/2020 1:17pm
32,Playboy Theatre,,806 7th St.,Parkersburg,WV,,Theatre,,,1979,,4/12/2020 12:36am,7/27/2020 1:17pm
33,Strawberry Hut,(8 p.m. to 12 midnight) (Cl. Sun. & Mon.),600 Market St.,Parkersburg,WV,"(P),(YC)",Bars/Clubs,,,1979,,4/12/2020 12:37am,7/27/2020 1:17pm
34,Swingers Book Shop,,727 7th St.,Parkersburg,WV,(M),Book Store,,,1979,,4/12/2020 12:38am,7/27/2020 1:17pm
38,16th Street News,,16th & Market Sts.,Wheeling,WV,,Book Store,,,1979,,4/12/2020 1:07am,7/27/2020 1:17pm
39,Question Mark,(Disco),1413 Market,Wheeling,WV,"(P),(*),(YC),(D)",Bars/Clubs,,,1979,,4/12/2020 1:07am,7/27/2020 1:17pm
42,Sam's Place,,712 Bland,Bluefield,WV,(M),Bars/Clubs,,,1978,,4/12/2020 1:27am,7/27/2020 1:17pm
43,Downstairs Club,(Disco) (Some G),617 Brooks St.,Charlestown,WV,"(*),(P),(D),(G),(S)",Bars/Clubs,,,1978,,4/12/2020 1:28am,7/27/2020 1:17pm
44,Mountain Lodge Motel,,5222 Kawanha Blvd. E.,Charlestown,WV,"(M),(H),(*)",Hotels,,,1978,,4/12/2020 1:29am,7/27/2020 1:17pm
45,Tap Room,(Some RT) (Downstairs at Quarrier Diner),1022 Quarrier,Charlestown,WV,"(M),(RT)",Bars/Clubs,,,1978,,4/12/2020 1:29am,7/27/2020 1:17pm
47,Elixir,(Some G) (Disco),742 W. Pike St.,Clarksburg,WV,"(M),(YC),(G),(D),(*)",Bars/Clubs,,,1978,,4/12/2020 1:30am,7/27/2020 1:17pm
48,Elk Ridge Ranch & Camp,(Summers),"Box 284-C, R.J., Harpers Ferry, W.V 25425",Harpers Ferry,WV,"(P),(H)",Hotels,,,1978,,4/12/2020 1:31am,7/27/2020 1:17pm
49,Driftwood Lounge,(Out of state guests welcome - opens 4 p.m.),1121 7th Ave.,Huntington,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1978,,4/12/2020 1:33am,7/27/2020 1:17pm
52,Dick's 400,,400 Juliana St. ,Parkersburg,WV,"(M),(R),(C)",Restaurant,,,1978,,4/12/2020 1:38am,7/27/2020 1:17pm
53,Strawberry Hut,(8 p.m to 12 midnight - closed Sun. & Mon.),600 Market St.,Parkersburg,WV,"(P),(YC),(*)",Bars/Clubs,,,1978,,4/12/2020 1:40am,7/27/2020 1:17pm
54,Playboy Book Shop ,(Books & 'Peep Shows'),657 7th St.,Parkersburg,WV,,Book Store,,,1978,,4/12/2020 1:41am,7/27/2020 1:17pm
