ID,title,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,Verified?,notes,dateadded,lastmodified
1063,Holiday Inn Bar,,300 W. F St.,Casper,WY,1980,(M),"Hotels,Bars/Clubs",,,,2/14/2020 11:29am,3/28/2020 12:11pm
1064,Wonderbar,(Summers),254 S. Center St.,Casper,WY,1980,(M),Bars/Clubs,,,,2/14/2020 11:29am,3/28/2020 12:11pm
1067,Hitching Post Inn,(Bar only) (Best bet*) ,1600 W. Lincoln Way,Cheyenne,WY,1980,"(M),(*),(E)",Bars/Clubs,,,,2/14/2020 11:31am,3/28/2020 12:11pm
1068,Holdings' Little America Lodge,(Jct. of I-25 & I-80),2200 W. Lincoln Way,Cheyenne,WY,1980,(M),Bars/Clubs,,,,2/14/2020 11:31am,3/28/2020 12:11pm
1069,O.P. Taylor's Liquor Locker,(Some L) (E- WE),2018 Carey Ave.,Cheyenne,WY,1980,"(M),(L),(PT),(E),(WE)",Bars/Clubs,,,,2/14/2020 11:31am,3/28/2020 12:11pm
1075,Buckhorn,('Best bet'),114 Ivinson,Laramie,WY,1980,"(M),(W)",Bars/Clubs,,,,2/14/2020 11:31am,3/28/2020 12:11pm
1076,Outlaw Bar,,1630 Elk St.,Rock Springs,WY,1980,"(M),(W)",Bars/Clubs,,,,2/14/2020 11:31am,3/28/2020 12:11pm
1077,Holiday Inn Bar,,300 W. F St.,Casper,WY,1979,(M),"Hotels,Bars/Clubs",,,,2/14/2020 11:31am,3/28/2020 12:11pm
1078,Wonderbar,(Summers),254 S. Center St.,Casper,WY,1979,(M),Bars/Clubs,,,,2/14/2020 11:31am,3/28/2020 12:11pm
1081,Hitching Post Inn,(Bar only) (Best bet*) ,1600 W. Lincoln Way,Cheyenne,WY,1979,"(M),(*),(E)",Bars/Clubs,,,,2/14/2020 11:38am,3/28/2020 12:11pm
1082,Holding's Little America Lodge,(Jct. of I-25 & I-80),2200 W. Lincoln Way,Cheyenne,WY,1979,(M),Bars/Clubs,,,,2/14/2020 11:38am,3/28/2020 12:11pm
1083,O.P. Taylor's Liquor Locker,(Some G) (E- WE),2018 Carey Ave.,Cheyenne,WY,1979,"(M),(PT),(E),(WE),(G)",Bars/Clubs,,,,2/14/2020 11:38am,3/28/2020 12:11pm
1089,Buckhorn,('Best bet'),114 Ivinson,Laramie,WY,1979,"(M),(W),(YC)",Bars/Clubs,,,,2/14/2020 11:38am,3/28/2020 12:11pm
