"ID2","title","description","streetaddress","type","amenityfeatures","city","state","Year","unclear_address","unclear.type.or.question","notes","Last.Modified","full.address","lon","lat","geoAddress"
2,"All-Star Joint","(Should be a winner)","2850 29th St.","Bars/Clubs","","Boulder","CO",1981,NA,"","","3/17/2022 3:10pm","2850 29th St., Boulder, CO",-105.2556175,40.0283416,"2850 29th st, boulder, co 80301, usa"
3,"The News Stand","(Books & cruisy arcade)","1720 15th St.","Book Store,Cruising Areas","","Boulder","CO",1981,NA,"","","3/17/2022 3:10pm","1720 15th St., Boulder, CO",-105.274682,40.0152071,"1720 15th st, boulder, co 80302, usa"
7,"Exit Lounge","(Cocktail hour & Sun. brunch*)","2028 Sheldon Ave.","Restaurant,Bars/Clubs","(*)","Colorado Springs","CO",1981,NA,"","","3/22/2022 7:57am","2028 Sheldon Ave., Colorado Springs, CO",-104.8579498,38.8420807,"2028 sheldon ave, colorado springs, co 80904, usa"
8,"First Amendment Adult Book Store","(Cruisy)","216 W. Colorado","Cruising Areas,Book Store","(M)","Colorado Springs","CO",1981,NA,"","","3/17/2022 3:10pm","216 W. Colorado, Colorado Springs, CO",-104.8297428,38.8327791,"216 w colorado ave, colorado springs, co 80903, usa"
9,"Hide & Seek Complex","(2 bars)(Disco)","512 W. Colorado","Restaurant,Bars/Clubs","(D),(R),(*),(PT),(YC)","Colorado Springs","CO",1981,NA,"","","3/17/2022 3:10pm","512 W. Colorado, Colorado Springs, CO",-104.8349166,38.8329172,"512 w colorado ave, colorado springs, co 80905, usa"
10,"Monarch Magazines","(Books)","232 N. Tejon","Book Store","(*)","Colorado Springs","CO",1981,NA,"","","3/17/2022 3:10pm","232 N. Tejon, Colorado Springs, CO",-104.8236236,38.8378615,"232 n tejon st, colorado springs, co 80903, usa"
11,"New Box Car, Ltd.","(Disco)","5939 N. Nevada","Bars/Clubs","(*),(D)","Colorado Springs","CO",1981,NA,"","","3/17/2022 3:10pm","5939 N. Nevada, Colorado Springs, CO",-104.814287,38.917954,"5939 n nevada ave, colorado springs, co 80918, usa"
12,"Now Women","(Adj. to Hide & Seek)","512 W. Colorado","Bars/Clubs","(L)","Colorado Springs","CO",1981,NA,"","","3/17/2022 3:10pm","512 W. Colorado, Colorado Springs, CO",-104.8349166,38.8329172,"512 w colorado ave, colorado springs, co 80905, usa"
13,"R edcliff Lodge","","3512 W. Pines Peak","Hotel","(H)","Colorado Springs","CO",1981,NA,"","","3/17/2022 3:10pm","3512 W. Pines Peak, Colorado Springs, CO",-104.8813894,38.8566166,"3512 w pikes peak ave, colorado springs, co 80904, usa"
16,"Act III","(Male movies)","3480 W. Colfax","Erotic Shop","","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","3480 W. Colfax, Denver, CO",-105.0331139,39.7401612,"3480 w colfax ave, denver, co 80204, usa"
17,"Alfie 's","(Disco)(Humpy jocks)(Cruisy)(AH-Fri-Sat-Sun) betw. 32nd & 33rd Sts.","3240 Larimer","Bars/Clubs,Cruising Areas","(*),(YC),(D),(AH)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","3240 Larimer, Denver, CO",-104.9771499,39.7645894,"3240 larimer st, denver, co 80205, usa"
