"title","description","streetaddress","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"After Dark","(Many L) (Disco) (WE *)","117 1/2 N. 21st St","Birmingham","AL","(L),(D),(WE),(*)","Bars/Clubs",1982,NA,"","117 1/2 N. 21st St, Birmingham, AL",-86.8305107,33.5012547,"1 2nd st n #21st, birmingham, al 35204, usa","Geocoded"
"Bell Watling's","(Disco)","607 N. 21st St","Birmingham","AL","(YC),(*)","Bars/Clubs",1982,NA,"","607 N. 21st St, Birmingham, AL",-86.8726899,33.4867952,"607 21st st sw, birmingham, al 35211, usa","Geocoded"
"Birmingham Adult Books & Cinema","(AYOR-'Fuzz')","7610 1st Ave. N.","Birmingham","AL","(M),(AYOR)","Book Store,Theatre",1982,NA,"","7610 1st Ave. N., Birmingham, AL",-86.7298691,33.5608012,"7610 1st ave n, birmingham, al 35206, usa","Geocoded"
"Crawford's","(Also lunch & Sun. brunch) (Looks promising)","230 N. 21st St.","Birmingham","AL","(R)","Restaurant",1982,NA,"","230 N. 21st St., Birmingham, AL",-86.8725723,33.491255,"230 21st st sw, birmingham, al 35211, usa","Geocoded"
"Gizmo","(WE-AH *) (Cruisy)","909 S. 22nd St.","Birmingham","AL","(WE),(AH),(*),(D)","Bars/Clubs,Cruising Areas",1982,NA,"","909 S. 22nd St., Birmingham, AL",-86.871374,33.48036,"909 22nd st sw, birmingham, al 35211, usa","Geocoded"
"Mama's Kitchen","(at highland)","1107 S. 20th St","Birmingham","AL","(M),(R),(C),(AH)","Restaurant",1982,NA,"","1107 S. 20th St, Birmingham, AL",-86.869648,33.478548,"1107 20th st sw, birmingham, al 35205, usa","Geocoded"
"Rams Head","(Some YC, L) (disco) (2 bars)","1600 1st Ave N.","Birmingham","AL","(*),(YC),(L),(D)","Bars/Clubs",1982,NA,"","1600 1st Ave N., Birmingham, AL",-86.811282,33.512143,"1600 1st ave n, birmingham, al 35203, usa","Geocoded"
"Pit Grill","(Late)","400 E. Tennessee","Florence","AL","(M),(R),(C)","Restaurant",1982,NA,"","400 E. Tennessee, Florence, AL",-87.6716362,34.8016424,"400 e tennessee st, florence, al 35630, usa","Geocoded"
"Hideaway","(Disco) (Some L)","2011 Cox Ave.","Huntsville","AL","(YC),(D),(L)","Bars/Clubs",1982,NA,"","2011 Cox Ave., Huntsville, AL",-86.6007523,34.7382361,"2011 cox ave nw, huntsville, al 35816, usa","Geocoded"
"Crews Pub","(Cruisy)","301 St. Francis","Mobile","AL","(*),(PT),(P)","Bars/Clubs,Cruising Areas",1982,NA,"","301 St. Francis, Mobile, AL",-88.0454665,30.6917997,"301 st francis st, mobile, al 36602, usa","Geocoded"
"David's","","1304 Spring Hill Ave.","Mobile","AL","(M),(OC)","Bars/Clubs",1982,NA,"","1304 Spring Hill Ave., Mobile, AL",-88.0655054,30.6928444,"1304 springhill ave, mobile, al 36604, usa","Geocoded"
"Fireside","","54 S. Conception","Mobile","AL","(D)","Bars/Clubs",1982,NA,"","54 S. Conception, Mobile, AL",-88.0426607,30.6903954,"54 s conception st, mobile, al 36602, usa","Geocoded"
"French Quarter","(Disco)","215 Conti St.","Mobile","AL","(YC),(D),(*)","Bars/Clubs",1982,NA,"","215 Conti St., Mobile, AL",-88.0433046,30.690341,"215 conti st, mobile, al 36602, usa","Geocoded"
"Society Lounge","(Disco) (Many L, B)","53 Conception","Mobile","AL","(D),(S),(L),(B)","Bars/Clubs",1982,NA,"","53 Conception, Mobile, AL",-88.0423188,30.6905321,"53 s conception st, mobile, al 36602, usa","Geocoded"
"Dexter Pub","(Disco) (from 10pm & cruise bar around corner at 14 Lawrence St. from 6pm) (Game Room) (Can be open 24 hours)","207 Dexter Ave.","Montgomery","AL","(D),(*)","Bars/Clubs",1982,NA,"","207 Dexter Ave., Montgomery, AL",-86.305945,32.3777713,"207 dexter ave, montgomery, al 36104, usa","Geocoded"
"HoJon's","(Liquor)","215 N. Court St.","Montgomery","AL","(S),(D),(E),(*)","Bars/Clubs",1982,NA,"","215 N. Court St., Montgomery, AL",-86.3091889,32.3803807,"215 n court st, montgomery, al 36104, usa","Geocoded"
"Omelet Shop","(AYOR)","1017 Columbus Pkwy.","Opelika","AL","(AYOR),(M),(R),(C),(AH)","Cruising Areas,Restaurant",1982,NA,"","1017 Columbus Pkwy., Opelika, AL",-85.3516353,32.6430381,"1017 columbus pkwy, opelika, al 36804, usa","Geocoded"
"Chucker's","","2121 6th St.","Tuscaloosa","AL","(YC),(D),(*)","Bars/Clubs",1982,NA,"","2121 6th St., Tuscaloosa, AL",-87.5641622,33.209905,"2121 6th st, tuscaloosa, al 35401, usa","Geocoded"
