"ID","title","amenityfeatures","description","streetaddress","type","city","state","Year","unclearaddress","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
10,"Alabama Adult Books","","","901 5th Ave. N.","Book Store,Erotic Shop","Birmingham","AL",1987,NA,"","","1/28/2022 10:43pm","901 5th Ave. N., Birmingham, AL",-86.8232546,"33.5108847","901 5th ave n, birmingham, al 35203, usa","Geocoded"
12,"Basics","(P),(L),(AH),(WE)","(Some L)(AH-WE*)(Cl. Mon-Tue)","912 N. 19th St.","Bars/Clubs","Birmingham","AL",1987,NA,"","","1/28/2022 2:41pm","912 N. 19th St., Birmingham, AL",-86.813443,"33.52257","912 19th st n, birmingham, al 35203, usa","Geocoded"
13,"Bill's Club","(*),(L),(D),(S)","(Many L)","208 N. 23rd St.","Bars/Clubs","Birmingham","AL",1987,NA,"","","1/28/2022 2:41pm","208 N. 23rd St., Birmingham, AL",-86.8025428,"33.5176803","208 23rd st n, birmingham, al 35203, usa","Geocoded"
14,"Birmingham Adult Books","","","7610 1st Ave. N.","Book Store,Erotic Shop","Birmingham","AL",1987,NA,"","","1/28/2022 10:43pm","7610 1st Ave. N., Birmingham, AL",-86.7298765,"33.5607905","7610 1st ave n, birmingham, al 35206, usa","Geocoded"
15,"Bootsie's Bohemia","","(Deli & Coffee House)","2921 Highland","Restaurant","Birmingham","AL",1987,NA,"","","1/28/2022 2:41pm","2921 Highland, Birmingham, AL",-86.7810836,"33.5060596","2921 highland ave, birmingham, al 35205, usa","Geocoded"
16,"Casbah","(*),(D),(M),(S)","(Disco)","117 1/2 21st St. N.","Bars/Clubs","Birmingham","AL",1987,NA,"","","1/28/2022 2:43pm","117 1/2 21st St. N., Birmingham, AL",-86.9487751,"33.4034806","1 21st st n #117, bessemer, al 35020, usa","Geocoded"
17,"Downunder","(D)","(Cruise bar)","2105 2nd Ave. N.","Bars/Clubs","Birmingham","AL",1987,NA,"","","1/28/2022 2:45pm","2105 2nd Ave. N., Birmingham, AL",-86.8044032,"33.5159924","2105 2nd ave n, birmingham, al 35203, usa","Geocoded"
19,"Gizmo","(D),(WE),(AH)","(WE-AH*)","909 S. 22nd St.","Bars/Clubs","Birmingham","AL",1987,NA,"","","1/28/2022 2:46pm","909 S. 22nd St., Birmingham, AL",-86.8713719,"33.48036","909 22nd st sw, birmingham, al 35211, usa","Geocoded"
20,"Lodestar Books","(L)","(Some L)","2020 11th Ave. S.","Book Store","Birmingham","AL",1987,NA,"","","1/28/2022 2:47pm","2020 11th Ave. S., Birmingham, AL",-86.7950963,"33.500939","2020 11th ave s, birmingham, al 35205, usa","Geocoded"
21,"M.C.C.","(MCC)","","2024 8th Ct. S.","Religious Institution","Birmingham","AL",1987,NA,"","","1/28/2022 2:47pm","2024 8th Ct. S., Birmingham, AL",-86.7983847,"33.5040809","2024 8th ct s, birmingham, al 35205, usa","Geocoded"
23,"Neon's","","(Cards & gifts)","2835 Highland Ave.","Business","Birmingham","AL",1987,NA,"","","1/28/2022 2:48pm","2835 Highland Ave., Birmingham, AL",-86.7819782,"33.5058099","2835 highland ave, birmingham, al 35205, usa","Geocoded"
24,"Pleasure Books","","","7606 1st Ave. N.","Book Store","Birmingham","AL",1987,NA,"","","1/28/2022 2:48pm","7606 1st Ave. N., Birmingham, AL",-86.7301122,"33.5608404","7606 1st ave n, birmingham, al 35206, usa","Geocoded"
25,"Quest","(C&W),(SM),(*)","(Macho, SM )(C&W )(Cruisy) at 5th Ave. S.","416 24th St. S.","Bars/Clubs,Cruising Areas","Birmingham","AL",1987,NA,"","","7/13/2022 8:35am","416 24th St. S., Birmingham, AL",-86.7962584,"33.5108515","416 24th st s, birmingham, al 35233, usa","Geocoded"
26,"Steak'n'Egg","(M),(R),(C),(AH)","","1717 10th Ave. S.","Restaurant","Birmingham","AL",1987,NA,"","","1/28/2022 2:49pm","1717 10th Ave. S., Birmingham, AL",-86.8003532,"33.5001606","1717 10th ave s, birmingham, al 35205, usa","Geocoded"
27,"The Downtown Bookstore","","","8th Ave.","Book Store","Birmingham","AL",1987,NA,"","","1/28/2022 2:50pm","8th Ave., Birmingham, AL",-86.9242347,"33.504732","8th ave, birmingham, al 35224, usa","Geocoded"
28,"The Rage","(P),(D),(*)","(Disco)(Quiet bar)","620 29th St. S.","Bars/Clubs","Birmingham","AL",1987,NA,"","","1/28/2022 2:50pm","620 29th St. S., Birmingham, AL",-86.7881814,"33.5122879","620 29th st s, birmingham, al 35233, usa","Geocoded"
44,"Fat's Showroom & Warehouse","(P),(M),(YC),(WE),(S)","(Some M , YC)(WE*)(S-WE)","315 S. 2nd St.","Bars/Clubs","Gasden","• Jacksonville State U.—Bibb Graves H all &",1987,NA,"","","1/28/2022 9:38pm","315 S. 2nd St., Gasden, • Jacksonville State U.—Bibb Graves H all &",-85.7653429,"33.8229393","bibb graves hall, trustee st, jacksonville, al 36265, usa","Geocoded"
45,"Atlantic","(L),(WE)","(WE-only)","2572 Sparkman Dr.","Bars/Clubs","Huntsville","AL",1987,NA,"","","1/28/2022 9:38pm","2572 Sparkman Dr., Huntsville, AL",-86.5975022,"34.763722","2572 sparkman dr nw, huntsville, al 35810, usa","Geocoded"
46,"Avenue 54","(S)","","1001 N.W. Memorial Pkwy","Bars/Clubs","Huntsville","AL",1987,NA,"","","1/31/2022 1:11pm","1001 N.W. Memorial Pkwy, Huntsville, AL",-86.6026737,"34.7405076","1001 memorial pkwy nw, huntsville, al 35801, usa","Geocoded"
47,"Books As Seeds","","(Bookstore)","202 Andrew Jackson Way","Book Store","Huntsville","AL",1987,NA,"","","1/28/2022 9:38pm","202 Andrew Jackson Way, Huntsville, AL",-86.5766443,"34.7374688","202 andrew jackson way ne, huntsville, al 35801, usa","Geocoded"
54,"Club Park Avenue","(*),(YC),(D),(P)","(Video downstairs, Disco-D-upstairs)(Patio)","7 S. Joachim","Bars/Clubs","Mobile","AL",1987,NA,"","","3/17/2022 2:15pm","7 S. Joachim, Mobile, AL",-88.042733,"30.6882644","7 s joachim st, mobile, al 36602, usa","Geocoded"
