"title","streetaddress","description","city","state","amenityfeatures","Year","type","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Lagarde Park","","","Anniston","AL","Cruisy Area",1990,"Cruising Areas","checked","",", AL",-85.823936,33.692729,"unclear_coded_by_hand","Found"
"Noble St. betw. 8th & 16th","","","Anniston","AL","Cruisy Area",1990,"Cruising Areas","checked","",", AL",-85.829655,33.658482,"unclear_coded_by_hand","Found"
"Haley Center Library & Sanford Park nr. Langton Hall (Auburn U)","","","Auburn","AL","Cruisy Area",1990,"Cruising Areas","checked","",", AL",-85.486793,32.603395,"unclear_coded_by_hand","Found"
"Autaugaville Rec. Park","","","Autaugaville","AL","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked","",", AL",-86.654702,32.434025,"unclear_coded_by_hand","General Coordinates Used"
"AA Gay/ Lesbian","516 27th St. S.","933-8964/326-8600 meetings change weekly, call for info","Birmingham","AL","",1990,"Info Lines & Services",NA,"(205) area code","516 27th St. S., Birmingham, AL",-86.7916422,33.5119773,"516 27th st s, birmingham, al 35233, usa","Geocoded"
"Club 21","117 1/2 21st St. N.","8pm to 4am Wed-Sun N.322-0469","Birmingham","AL","(MX),(S),(D),(B)",1990,"Bars",NA,"(205) area code","117 1/2 21st St. N., Birmingham, AL",-86.9487751,33.4034806,"1 21st st n #117, bessemer, al 35203, usa","Geocoded"
"Mabel's Beauty Shop & Chain Saw Repair","318 14th St. S.","24hrs, patio 254-9567-9","Birmingham","AL","(*),(D),(CW)",1990,"Bars",NA,"(205) area code","318 14th St. S., Birmingham, AL",-86.8107608,33.5053745,"318 14th st s, birmingham, al 35233, usa","Geocoded"
"Quest","416 24th St. S.","251-4313 open 24hrs, patio","Birmingham","AL","(D),(CW)",1990,"Bars",NA,"(205) area code","416 24th St. S., Birmingham, AL",-86.7962584,33.5108515,"416 24th st s, birmingham, al 35233, usa","Geocoded"
"Rage, The","620 29th St. S.","323-7243","Birmingham","AL","(MX),(MW),(D),(YC),(PC)",1990,"Bars",NA,"(205) area code","620 29th St. S., Birmingham, AL",-86.7881814,33.5122879,"620 29th st s, birmingham, al 35233, usa","Geocoded"
"Cafe Le Netta","2323 1st Ave. N.","324-2333 cocktails, lunch & dinner only, open daily","Birmingham","AL","(MX),(E)",1990,"Restaurants & Cafes",NA,"(205) area code","2323 1st Ave. N., Birmingham, AL",-86.800512,33.516705,"2323 1st ave n, birmingham, al 35203, usa","Geocoded"
"Steak'n Egg Kitchen","1717 10th Ave. S.","933-9822","Birmingham","AL","(MX),(MW),(AH)",1990,"Restaurants & Cafes",NA,"(205) area code","1717 10th Ave. S., Birmingham, AL",-86.8003532,33.5001606,"1717 10th ave s, birmingham, al 35205, usa","Geocoded"
"Lodestar Books","2020 11th Ave. S.","939-3356 gay/lesbian titles","Birmingham","AL","",1990,"Book Stores/Retail Shops",NA,"(205) area code","2020 11th Ave. S., Birmingham, AL",-86.7950963,33.500939,"2020 11th ave s, birmingham, al 35205, usa","Geocoded"
"MCC","2630 6th Ave. S.","326-8529 worship 11am Sun","Birmingham","AL","(MCC)",1990,"Religious Organizations",NA,"(205) area code","2630 6th Ave. S., Birmingham, AL",-86.7913675,33.5117079,"2630 6th ave s, birmingham, al 35233, usa","Geocoded"
"Alabama Forum","Box 55913, Birm. 35255","326-8600","Birmingham","AL","",1990,"Publications",NA,"(205) area code","Box 55913, Birm. 35255, Birmingham, AL",-86.8000045,33.4999983,"birmingham, al 35255, usa","Geocoded"
"Alabama Adult Books","901 5th Ave. N.","322-7323","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"(205) area code","901 5th Ave. N., Birmingham, AL",-86.8232546,33.5108847,"901 5th ave n, birmingham, al 35203, usa","Geocoded"
"Birmingham Adult Books","7610 1st Ave. N.","836-1580 open 24hrs","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"(205) area code","7610 1st Ave. N., Birmingham, AL",-86.7298765,33.5607905,"7610 1st ave n, birmingham, al 35206, usa","Geocoded"
"Downtown Bookstore, The","2731 8th Ave. N.","","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"(205) area code","2731 8th Ave. N., Birmingham, AL",-86.7995431,33.5264678,"2731 reverend abraham woods jr boulevard, birmingham, al 35203, usa","Geocoded"
"Jupiter Theater","2500 7th Ave. S.","large screen movies","Birmingham","AL","",1990,"Erotica/Adult Groups",NA,"(205) area code","2500 7th Ave. S., Birmingham, AL",-86.7929381,33.5093961,"2500 7th ave s, birmingham, al 35233, usa","Geocoded"
