"title","description","streetaddress","city","state","amenityfeatures","unclear_address","Year","type","notes","full.address","lon","lat","geoAddress"
"Royal Oaks B&B","334/368-8722 full brkfst, kids ok","5415 Hwy 21 N","Atmore","AL","(GS),(SW)",NA,2002,"Accommodations","","5415 Hwy 21 N, Atmore, AL",-87.4810911,31.0988282,"5415 al-21, atmore, al 36502, usa"
"Black Bear Camp","Waverly 334/887-5152 hot tub, kitchen","10565 US Hwy 280 W","Auburn","AL","(MO),(SW),(N),(WC),(GO)",NA,2002,"Accommodations","","10565 US Hwy 280 W, Auburn, AL",-85.5301568,32.7015922,"10565 u.s. hwy 280 w, waverly, al 36879, usa"
"The Tutwiler","(at 21st St N) 205/322-2100 also restaurant & lounge","2021 Park Pl N","Birmingham","AL","(GF),(WC)",NA,2002,"Accommodations","","2021 Park Pl N, Birmingham, AL",-86.8080115,33.5201081,"2021 park pl, birmingham, al 35203, usa"
"Kings Knight","(btwn 26th & 27th) 205/326-3637 24 hrs, cruise/show bar, CW Tue, 2 patios","2627 7th Ave S","Birmingham","AL","(M),(D),(CW),(S),(V),(WC)",NA,2002,"Bars","","2627 7th Ave S, Birmingham, AL",-86.7904083,33.5101924,"2627 7th ave s, birmingham, al 35233, usa"
"Misconceptions Tavern","(btwn 37th & 38th) 205/592-3800 noon-3am, patio","3719 3rd Ave S","Birmingham","AL","(MW),(V),(WC)",NA,2002,"Bars","","3719 3rd Ave S, Birmingham, AL",-86.7783524,33.5212351,"3719 3rd ave s, birmingham, al 35222, usa"
"The Tool Box","(at 51st) 205/595-5120 2pm-close, till 2am Sat, home bar of 'Steel City Centurions' (L)","5120 5th Ave S","Birmingham","AL","(M),(NH),(D),(CW),(WC)",NA,2002,"Bars","","5120 5th Ave S, Birmingham, AL",-86.7567022,33.5324438,"5120 5th ave s, birmingham, al 35212, usa"
"22nd Street Jazz Cafe","(at 7th Ave S) 205/252-0407 5pm-close, clsd Sun-Tue","710 22nd St S","Birmingham","AL","(GF),(D),(MR),(F),(E)",NA,2002,"Nightclubs","","710 22nd St S, Birmingham, AL",-86.7967864,33.5061805,"710 22nd st s, birmingham, al 35233, usa"
"Bill's Club","(btwn 2nd & 3rd) 205/254-8634 6pm-close, clsd Mon-Wed, strippers","208 N 23rd St","Birmingham","AL","(M),(S),($),(WC)",NA,2002,"Nightclubs","","208 N 23rd St, Birmingham, AL",-86.8103567,33.5185892,"birmingham, al, usa"
"Club 21","(btwn 1st  2nd Ave N) 205/322-0469 10pm-close Th-Sat","117-1/2 21st St N","Birmingham","AL","(*),(GF),(D),(MR-AF),(S)",NA,2002,"Nightclubs","","117-1/2 21st St N, Birmingham, AL",-86.9499727,33.4040991,"117 21st st n, bessemer, al 35020, usa"
"The Club Latroy","(btwn 3rd & 4th Aves S) 205/322-8338 11pm-close Fri-Sat, noon-9pm Sun, no cover Sun, also restaurant","316 20th St S","Birmingham","AL","(MW),(D),(MR),(S),(19+),(WC),($)",NA,2002,"Nightclubs","","316 20th St S, Birmingham, AL",-86.80238,33.5092764,"316 20th st s, birmingham, al 35233, usa"
"The Quest Club","(at 5th Ave S) 205/251-4313 24hrs, 19+ Wed-Sun (nights only), patio","416 24th St S","Birmingham","AL","(M),(D),(S),(PC),(WC)",NA,2002,"Nightclubs","","416 24th St S, Birmingham, AL",-86.7962584,33.5108515,"416 24th st s, birmingham, al 35233, usa"
"The Station","(at 21st) 205/254-3750, 888/453-3299 10pm-6am Fri-Sat, patio","2025 Morris Ave","Birmingham","AL","(*),(GF),(D),(WC),($)",NA,2002,"Nightclubs","","2025 Morris Ave, Birmingham, AL",-86.8040176,33.5143285,"2025 morris ave, birmingham, al 35203, usa"
"Anthony's","(at 20th) 205/324-1215 dinner, clsd Mon, cont'l/Italian, full bar","2131 7th Ave S","Birmingham","AL","(WC)",NA,2002,"Restaurants","","2131 7th Ave S, Birmingham, AL",-86.797088,33.5068572,"2131 7th ave s, birmingham, al 35233, usa"
"Bottega Cafe & Restaurant","(btwn 22nd & 23rd) 205/939-1000 lunch & dinner, clsd Sun, full bar","220 Highland Ave","Birmingham","AL","(WC)",NA,2002,"Restaurants","","220 Highland Ave, Birmingham, AL",-86.6217467,33.621493,"220 highland ave, trussville, al 35173, usa"
"Crestwood Grill","205/595-1995 lunch & dinner, full bar","5500 Crestwood Blvd","Birmingham","AL","(WC)",NA,2002,"Restaurants","","5500 Crestwood Blvd, Birmingham, AL",-86.7481284,33.5288694,"5500 crestwood blvd, birmingham, al 35212, usa"
"Highlands Bar & Grill","(at 20th St) 205/939-1400 6pm-10pm, bar from 4pm, clsd Sun-Mon","2011 11th Ave S","Birmingham","AL","(WC)",NA,2002,"Restaurants","","2011 11th Ave S, Birmingham, AL",-86.7954871,33.5005864,"2011 11th ave s, birmingham, al 35205, usa"
