"ID","Title","description","streetaddress","state","amenityfeatures","Type","city","unclearaddress","Year","uncleartype","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
1,"St. Elmo's","","36 Brewery Gulch Ave.","AZ","(M),(HIP),(YC)","Bars/Clubs","Bisbee",NA,1980,"","","4/20/2020 12:46am","7/27/2020 1:16pm","36 Brewery Gulch Ave., Bisbee, AZ","-109.9133553","31.4485845","36 brewery gulch, bisbee, az 85603, usa","Geocoded"
7,"Band Box","","4516 N. 19th Ave. ","AZ","(M),(S)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:46am","7/27/2020 1:17pm","4516 N. 19th Ave. , Phoenix, AZ","-112.1005076","33.5029875","4516 n 19th ave, phoenix, az 85015, usa","Geocoded"
14,"Diamond Lil's ","(D.L's) ","3024 N. 24th St. ","AZ","(*),(S)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:46am","7/27/2020 1:17pm","3024 N. 24th St. , Phoenix, AZ","-112.0306137","33.4826826","3024 n 24th st, phoenix, az 85016, usa","Geocoded"
17,"Fullmoon","(Disco) ","3108 E. McDowell Rd.","AZ","(L),(D)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:46am","7/27/2020 1:17pm","3108 E. McDowell Rd., Phoenix, AZ","-112.0154798","33.4660821","3108 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
19,"Incognito Lounge","(Some L) ","2424 E. Thomas Rd.","AZ","(L),(D)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:46am","7/27/2020 1:17pm","2424 E. Thomas Rd., Phoenix, AZ","-112.028937","33.4805802","2424 e thomas rd, phoenix, az 85016, usa","Geocoded"
20,"Le Casablanca","","4331 N. 16th St. ","AZ","(S),(D),(*)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:46am","7/27/2020 1:17pm","4331 N. 16th St. , Phoenix, AZ","-112.047249","33.4994441","4331 n 16th st, phoenix, az 85016, usa","Geocoded"
18,"His Co. Disco","(2 bars-PT-Game room) (Disco) (Enter thru parking lot in rear)","3839 N. 16th St.","AZ","(*),(PT),(YC),(D)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:46am","7/27/2020 1:17pm","3839 N. 16th St., Phoenix, AZ","-112.0471713","33.49219","3839 n 16th st, phoenix, az 85016, usa","Geocoded"
21,"Mr. Fatfingers","(WE*) (Mixed bag-Some OC-slow dancing)","5749 N. 7th St.","AZ","(WE),(*),(OC)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","5749 N. 7th St., Phoenix, AZ","-112.0646603","33.5217412","5749 n 7th st, phoenix, az 85014, usa","Geocoded"
27,"Sportsmen Lounge","(Disco) (C-AH-WE*)","4622 N. 7th St.","AZ","(D),(PT),(C),(AH),(WE),(*)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","4622 N. 7th St., Phoenix, AZ","-112.0653068","33.5044783","4622 n 7th st, phoenix, az 85014, usa","Geocoded"
26,"Ramrod","(Sun. beer bust)","395 N. Black Canyon Rd. ","AZ","(SM),(W),(PT)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","395 N. Black Canyon Rd. , Phoenix, AZ","-112.1077602","33.4524633","395 n black canyon hwy, phoenix, az 85009, usa","Geocoded"
29,"Talk of the Town","(Disco) ","3701 N. 16th St. ","AZ","(L),(D),(*)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","3701 N. 16th St. , Phoenix, AZ","-112.0473122","33.4905365","3701 n 16th st, phoenix, az 85016, usa","Geocoded"
