"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","376 Asylum ","Hartford","CT","(M),(*)","Bars/Clubs",1965,NA,"376 Asylum , Hartford, CT",-72.6801336,41.7678288,"376 asylum st, hartford, ct 06103, usa","Geocoded",NA,NA
"","90 Main St. ","Hartford","CT","(*)","Bars/Clubs",1965,NA,"90 Main St. , Hartford, CT",-72.6753112,41.7565709,"90 main st, hartford, ct 06106, usa","Geocoded",NA,NA
"","1132 Chapel ","New Haven","CT","","Restaurant",1965,NA,"1132 Chapel , New Haven, CT",-72.9319417,41.3083277,"1132 chapel st, new haven, ct 06511, usa","Geocoded",NA,NA
"","157 Bank St. ","New London","CT","","Bars/Clubs",1965,NA,"157 Bank St. , New London, CT",-72.0958423,41.3524759,"157 bank st, new london, ct 06320, usa","Geocoded",NA,NA
"","79 Bank St. ","New London","CT","(*)","Bars/Clubs",1965,NA,"79 Bank St. , New London, CT",-72.0947047,41.3531069,"79 bank st, new london, ct 06320, usa","Geocoded",NA,NA
"","1277 N. Main St. ","Bridgeport","CT","","Bars/Clubs",1966,NA,"1277 N. Main St. , Bridgeport, CT",-73.1808077,41.1920675,"1277 e main st, bridgeport, ct 06608, usa","Geocoded",NA,NA
"","376 Asylum ","Hartford","CT","(M),(*)","Bars/Clubs",1966,NA,"376 Asylum , Hartford, CT",-72.6801336,41.7678288,"376 asylum st, hartford, ct 06103, usa","Geocoded",NA,NA
"","90 Main St. ","Hartford","CT","(*)","Bars/Clubs",1966,NA,"90 Main St. , Hartford, CT",-72.6753112,41.7565709,"90 main st, hartford, ct 06106, usa","Geocoded",NA,NA
"","1490 Congress St. ","Hartford","CT","","Bars/Clubs",1966,NA,"1490 Congress St. , Hartford, CT",-72.6760615,41.7537889,"congress st, hartford, ct, usa","Geocoded",NA,NA
"","1132 Chapel ","New Haven","CT","","Restaurant",1966,NA,"1132 Chapel , New Haven, CT",-72.9319417,41.3083277,"1132 chapel st, new haven, ct 06511, usa","Geocoded",NA,NA
"","157 Bank St. ","New London","CT","","Bars/Clubs",1966,NA,"157 Bank St. , New London, CT",-72.0958423,41.3524759,"157 bank st, new london, ct 06320, usa","Geocoded",NA,NA
"","79 Bank St. ","New London","CT","(*)","Bars/Clubs",1966,NA,"79 Bank St. , New London, CT",-72.0947047,41.3531069,"79 bank st, new london, ct 06320, usa","Geocoded",NA,NA
"","1277 N. Main St. ","Bridgeport","CT","","Bars/Clubs",1968,NA,"1277 N. Main St. , Bridgeport, CT",-73.1808077,41.1920675,"1277 e main st, bridgeport, ct 06608, usa","Geocoded",NA,NA
"","376 Asylum ","Hartford","CT","(M)","Bars/Clubs",1968,NA,"376 Asylum , Hartford, CT",-72.6801336,41.7678288,"376 asylum st, hartford, ct 06103, usa","Geocoded",NA,NA
"","90 Main St. ","Hartford","CT","","Bars/Clubs",1968,NA,"90 Main St. , Hartford, CT",-72.6753112,41.7565709,"90 main st, hartford, ct 06106, usa","Geocoded",NA,NA
"","1490 Congress St. ","Hartford","CT","","Bars/Clubs",1968,NA,"1490 Congress St. , Hartford, CT",-72.6760615,41.7537889,"congress st, hartford, ct, usa","Geocoded",NA,NA
"","1132 Chapel ","New Haven","CT","","Restaurant",1968,NA,"1132 Chapel , New Haven, CT",-72.9319417,41.3083277,"1132 chapel st, new haven, ct 06511, usa","Geocoded",NA,NA
"","157 Bank St. ","New London","CT","","Bars/Clubs",1968,NA,"157 Bank St. , New London, CT",-72.0958423,41.3524759,"157 bank st, new london, ct 06320, usa","Geocoded",NA,NA
"","79 Bank St. ","New London","CT","(*)","Bars/Clubs",1968,NA,"79 Bank St. , New London, CT",-72.0947047,41.3531069,"79 bank st, new london, ct 06320, usa","Geocoded",NA,NA
"","1277 N. Main St. ","Bridgeport","CT","","Bars/Clubs",1969,NA,"1277 N. Main St. , Bridgeport, CT",-73.1808077,41.1920675,"1277 e main st, bridgeport, ct 06608, usa","Geocoded",NA,NA
"","376 Asylum ","Hartford","CT","(M)","Bars/Clubs",1969,NA,"376 Asylum , Hartford, CT",-72.6801336,41.7678288,"376 asylum st, hartford, ct 06103, usa","Geocoded",NA,NA
"","90 Main St. ","Hartford","CT","","Bars/Clubs",1969,NA,"90 Main St. , Hartford, CT",-72.6753112,41.7565709,"90 main st, hartford, ct 06106, usa","Geocoded",NA,NA
"","1490 Congress St. ","Hartford","CT","","Bars/Clubs",1969,NA,"1490 Congress St. , Hartford, CT",-72.6760615,41.7537889,"congress st, hartford, ct, usa","Geocoded",NA,NA
"","1132 Chapel ","New Haven","CT","","Restaurant",1969,NA,"1132 Chapel , New Haven, CT",-72.9319417,41.3083277,"1132 chapel st, new haven, ct 06511, usa","Geocoded",NA,NA
"","157 Bank St. ","New London","CT","","Bars/Clubs",1969,NA,"157 Bank St. , New London, CT",-72.0958423,41.3524759,"157 bank st, new london, ct 06320, usa","Geocoded",NA,NA
