"title","description","streetaddress","lon","lat","city","state","amenityfeatures","type","Year","notes","status","unclear_address","full.address","geoAddress"
"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"Washington","District of Columbia","Cruisy Area,(AYOR)","Cruising Areas",1972,"","Verified Location",NA,NA,NA
"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1973,"","Verified Location",NA,NA,NA
"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1974,"","Verified Location",NA,NA,NA
"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1975,"","Verified Location",NA,NA,NA
"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1976,"","Verified Location",NA,NA,NA
"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1977,"","Verified Location",NA,NA,NA
"'P' St. 'Beach' ","(Georgetown)","",-77.049748,38.90945,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1974,"","Verified Location",NA,NA,NA
"'P' St. 'Beach' in Georgetown","","",-77.049748,38.90945,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1975,"","Verified Location",NA,NA,NA
"'P' St. ""Beach""","(Georgetown)","",-77.049748,38.90945,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1972,"","Verified Location",NA,NA,NA
"'P' St. Beach","(Georgetown)","",-77.049748,38.90945,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1976,"","Verified Location",NA,NA,NA
"'P' Street Beach (Georgetown)","","",-77.049748,38.90945,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1978,"","Verified Location",NA,NA,NA
"'P' Street Beach (Georgetown)","","",-77.049748,38.90945,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1979,"","Verified Location",NA,NA,NA
"'P' Street Beach (Georgetown)","","",-77.049748,38.90945,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1980,"","Verified Location",NA,NA,NA
"""P"" Street Beach (Georgetown)","","",-77.049748,38.90945,"Washington","District of Columbia","Cruisy Area,(AYOR)","Cruising Areas",1977,"Pin placed in middle of block","Verified Location",NA,NA,NA
"""The Block"" ","from 30th to 31st, betw. 'O' & Dumbarton (Georgetown)","",-77.061198,38.90797,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1979,"","Verified Location",NA,NA,NA
"""The Block"" ","from 30th to 31st, betw. 'O' & Dumbarton (Georgetown)","",-77.061198,38.90797,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1980,"Pin placed in middle of block","Verified Location",NA,NA,NA
"69th Precinct","(Baths & health club) (Looks promising)","7001 Blair Rd. NW",-77.0182723,38.9747863,"Washington","District of Columbia","Cruisy Area","Baths",1979,NA,"Google Verified Location",NA,NA,NA
"Bachelors Mill","(Some L)","500 8th St. SE",-76.9947048,38.8825789,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1980,NA,"Google Verified Location",NA,NA,NA
"Barbary Coast","","2200 Wisconsin Ave. N.W.",-77.0709494,38.9191704,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1978,NA,"Google Verified Location",NA,NA,NA
"Barn","(after hours) (above Louie's)","305 9th St. NW",-77.0236663,38.8923768,"Washington","District of Columbia","","Bars/Clubs,Restaurant",1973,NA,"Google Verified Location",NA,NA,NA
