"ID","title","description","streetaddress","city","state","amenityfeatures","type","Year","unclearaddress","unclear.type","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
81,"Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1965,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
82,"Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1966,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
83,"Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1968,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
85,"Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1969,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
79,"Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1970,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
77,"Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1971,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
75,"Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1972,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
72,"Alpine Room","(also called 'Golden Greeks')","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
64,"Alpine Room","(The 'Golden Greeks' has set the pace in Wilmington for years)","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1974,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
55,"Alpine Room","(The 'Golden Greeks' has set the pace in Wilmington for years)","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1975,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
45,"Alpine Room","(The Golden Greeks - long time favorite)","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1976,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
23,"Alpine Room","(Cruisy) ('The Golden Greeks')","835 King St.","Wilmington","DE","(*)","Crusing Areas",1978,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
13,"Alpine Room","(Cruisy) ('The Golden Greek's')","835 King St.","Wilmington","DE","(*)","Crusing Areas,Bars/Clubs",1979,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
5,"Alpine Room","(Will be moving)","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1980,NA,NA,NA,NA,NA,"835 King St., Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
35,"Alpine Room ","('The Golden Greeks', A Delaware 'Institution')","835 King Street","Wilmington","DE","(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA,"835 King Street, Wilmington, DE","-75.5481196","39.7439006","835 n king st, wilmington, de 19801, usa","Geocoded"
24,"Arc Club","(Disco)(AH*)(If obtain liquor license, will close earlier)","5101 Gov. Printz Blvd.","Wilmington","DE","(P),(YC),(D),(AH),(*),(BYOB)","Bars/Clubs",1978,NA,NA,NA,NA,NA,"5101 Gov. Printz Blvd., Wilmington, DE","-75.4933193","39.7574516","5101 governor printz blvd, wilmington, de 19809, usa","Geocoded"
14,"Dance Land","(Semi-P)(Disco)(Some G)(AH 11pm -6am. WE only)","915 Shipley","Wilmington","DE","(P),(D),(YC),(AH),(WE),(BYOB),(G)","Bars/Clubs",1979,NA,NA,NA,NA,NA,"915 Shipley, Wilmington, DE","-75.5179115","39.7812519","915 shipley rd, wilmington, de 19803, usa","Geocoded"
65,"Dog House","","1200 Dupont","Wilmington","DE","(M),(R)","Restaurant",1974,NA,NA,NA,NA,NA,"1200 Dupont, Wilmington, DE","-75.5872301","39.7670517","1200 n dupont rd, wilmington, de 19807, usa","Geocoded"
56,"Dog House","","1200 DuPont Hwy.","Wilmington","DE","(M),(R)","Restaurant",1975,NA,NA,NA,NA,NA,"1200 DuPont Hwy., Wilmington, DE","-75.582428","39.6883927","1200 n dupont hwy, wilmington manor, de 19720, usa","Geocoded"
46,"Dog House","","1200 DuPont Hwy","Wilmington","DE","(M),(R)","Restaurant",1976,NA,NA,NA,NA,NA,"1200 DuPont Hwy, Wilmington, DE","-75.582428","39.6883927","1200 n dupont hwy, wilmington manor, de 19720, usa","Geocoded"
47,"Gas Lamp","(Some G)","915 Shipley St.","Wilmington","DE","(P),(YC),(G),(D),(*)","Bars/Clubs",1976,NA,NA,NA,NA,NA,"915 Shipley St., Wilmington, DE","-75.548917","39.74543","915 n shipley st, wilmington, de 19801, usa","Geocoded"
36,"Michaelangelo's","","207 W. 8th","Wilmington","DE","(D),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA,"207 W. 8th, Wilmington, DE","-75.5507324","39.7440107","207 w 8th st, wilmington, de 19801, usa","Geocoded"
25,"Michaelangelo's","","207 W. 8th","Wilmington","DE","(D)","Bars/Clubs",1978,NA,NA,NA,NA,NA,"207 W. 8th, Wilmington, DE","-75.5507324","39.7440107","207 w 8th st, wilmington, de 19801, usa","Geocoded"
86,"Playboy","","109 E. 7th St.","Wilmington","DE","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA,"109 E. 7th St., Wilmington, DE","-75.548891","39.7422892","109 e 7th st, wilmington, de 19801, usa","Geocoded"
80,"Playboy","","109 E. 7th St.","Wilmington","DE","(M)","Bars/Clubs",1970,NA,NA,NA,NA,NA,"109 E. 7th St., Wilmington, DE","-75.548891","39.7422892","109 e 7th st, wilmington, de 19801, usa","Geocoded"
66,"Presto","(bar only - late)","816 Shipley","Wilmington","DE","(M),(R)","Restaurant,Bars/Clubs",1974,NA,NA,NA,NA,NA,"816 Shipley, Wilmington, DE","-75.5169275","39.7773887","816 shipley rd, wilmington, de 19803, usa","Geocoded"
57,"Presto","(bar only -late)","816 Shipley","Wilmington","DE","(M),(R)","Restaurant",1975,NA,NA,NA,NA,NA,"816 Shipley, Wilmington, DE","-75.5169275","39.7773887","816 shipley rd, wilmington, de 19803, usa","Geocoded"
48,"Presto","(bar only -late)","816 Shipley St.","Wilmington","DE","(M),(R)","Bars/Clubs",1976,NA,NA,NA,NA,NA,"816 Shipley St., Wilmington, DE","-75.5494906","39.7437663","816 n shipley st, wilmington, de 19801, usa","Geocoded"
