"title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","Year","notes","full.address","geoAddress","unclear_address"
"Chicken Lips","Found","(Disco) (Basement) (Guam Hilton Hotel San Vitores Rd.",NA,13.505367,144.786076,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(B) - Blacks frequent","Bars/Clubs,Hotels",1979,NA,"NA, GU","unclear_coded_by_hand",NA
"Chicken Lips","Found","(Disco) (Some B) (Basement) Guam Hilton Hotel San Vitores Rd.",NA,13.505367,144.786076,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(D) - Dancing,(B) - Blacks frequent","Bars/Clubs,Hotels",1980,NA,"NA, GU","unclear_coded_by_hand",NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1974,NA,"NA, GU","unclear_coded_by_hand",NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1975,NA,"NA, GU","unclear_coded_by_hand",NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1978,NA,"NA, GU","unclear_coded_by_hand",NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1976,NA,"NA, GU","unclear_coded_by_hand",NA
"Continental Travelodge Lounge","General Coordinates Used","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels",1977,NA,"NA, GU","unclear_coded_by_hand",NA
"DJ's","General Coordinates Used","(Disco) Hotel Row Pale San Vitores Rd.",NA,13.506121,144.797529,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular","Bars/Clubs,Hotels",1979,NA,"NA, GU","unclear_coded_by_hand",NA
"Guam Hilton Hotel Lounge","General Coordinates Used","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels",1976,NA,"NA, GU","unclear_coded_by_hand",NA
"Guam Hilton Hotel Lounge","General Coordinates Used","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels",1975,NA,"NA, GU","unclear_coded_by_hand",NA
"Guam Hilton Hotel Lounge","General Coordinates Used","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels",1974,NA,"NA, GU","unclear_coded_by_hand",NA
"Hilton Hotel Beach","Found","",NA,13.505977,144.786502,"Tumon Bay","GU","Cruisy Area","Cruising Areas,Hotels",1980,NA,"NA, GU","unclear_coded_by_hand",NA
"Mi Elena Club","General Coordinates Used","(Inquire locally) (Agana)",NA,13.476282,144.750223,"Agana","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs",1980,NA,"NA, GU","unclear_coded_by_hand",NA
"Salon del Mar Lounge","General Coordinates Used","('Helpful bartender') Hotel o Kura",NA,13.508288,144.804017,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(OC) - Older/More Mature Crowd,(*) - Very popular","Bars/Clubs,Hotels",1978,NA,"NA, GU","unclear_coded_by_hand",NA
"Salon del Mar Lounge","General Coordinates Used","('Helpful bartender - ask for Angel') (Cl. 12 midnight) Hotel Okura Pale San Vitores Rd.",NA,13.508288,144.804017,"Tumon Bay","GU","(*) - Very popular,(M) - Mixed Crowds - Some Straights,""(H) - Hotel, motel, or other overnight accomodations"",(E) - Entertainment,(OC) - Older/More Mature Crowd","Bars/Clubs,Hotels",1980,NA,"NA, GU","unclear_coded_by_hand",NA
"Salon del Mar Lounge","General Coordinates Used","('Helpful bartender - ask for Angel') (Cl. 12 midnight) Hotel Okura Pale San Vitores Rd.",NA,13.508288,144.804017,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(*) - Very popular,""(H) - Hotel, motel, or other overnight accomodations"",(E) - Entertainment,(OC) - Older/More Mature Crowd","Bars/Clubs,Hotels",1979,NA,"NA, GU","unclear_coded_by_hand",NA
"Salon del Mar Lounge","General Coordinates Used","('Helpful bartender') Hotel o Kura",NA,13.508288,144.804017,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(OC) - Older/More Mature Crowd,(*) - Very popular","Bars/Clubs,Hotels",1977,NA,"NA, GU","unclear_coded_by_hand",NA
"Star Cafe & Bar","General Coordinates Used","Downtown, opp. Agana Loop",NA,13.476282,144.750223,"Agana","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs",1975,NA,"NA, GU","unclear_coded_by_hand",NA
"Star Cafe & Bar","General Coordinates Used","Downtown, opp. Agana Loop",NA,13.476282,144.750223,"Agana","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs",1974,NA,"NA, GU","unclear_coded_by_hand",NA
"Teraque 'BA' Beach","Found","",NA,13.62504,144.895774,"Tumon Bay","GU","Cruisy Area","Cruising Areas",1976,NA,"NA, GU","unclear_coded_by_hand",NA
"Teraque 'BA' Beach","Found","",NA,13.62504,144.895774,"Tumon Bay","GU","Cruisy Area","Cruising Areas",1975,NA,"NA, GU","unclear_coded_by_hand",NA
