"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(strip shows)","1112 Maunakea","Honolulu","HI","(M)","Bars/Clubs",1965,NA,"1112 Maunakea, Honolulu, HI",-157.8628067,21.3124877,"1112 maunakea st, honolulu, hi 96817, usa","Geocoded",NA,NA
"(off limits) ","152 N. Hotel St. ","Honolulu","HI","(S)","Bars/Clubs",1965,NA,"152 N. Hotel St. , Honolulu, HI",-157.8632356,21.3131178,"152 n hotel st, honolulu, hi 96817, usa","Geocoded",NA,NA
"","52 Oneawa","Kailua","HI","(M),(R)","Restaurant",1965,NA,"52 Oneawa, Kailua, HI",-157.7442985,21.3957657,"52 oneawa st, kailua, hi 96734, usa","Geocoded",NA,NA
"","46-014 Kamehameha Hwy","Kaneohe","HI","(*)","Bars/Clubs",1965,NA,"46-014 Kamehameha Hwy, Kaneohe, HI",-157.8019206,21.4195136,"46 kamehameha hwy, kaneohe, hi 96744, usa","Geocoded",NA,NA
"","1900 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1965,NA,"1900 Kalakaua Ave. , Waikiki, HI",-157.8338724,21.2877203,"1900 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"","2478 Kalakaua Ave. ","Waikiki","HI","","Bars/Clubs",1965,NA,"2478 Kalakaua Ave. , Waikiki, HI",-157.8242948,21.2744683,"2478 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"","311 Lewers","Waikiki","HI","(M),(*)","Bars/Clubs",1965,NA,"311 Lewers, Waikiki, HI",-157.8293369,21.2802495,"311 lewers st, honolulu, hi 96815, usa","Geocoded",NA,NA
"(strip shows)","1736 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1965,NA,"1736 Kalakaua Ave. , Waikiki, HI",-157.8358542,21.2915169,"1736 kalakaua ave, honolulu, hi 96826, usa","Geocoded",NA,NA
"","2448 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1965,NA,"2448 Kalakaua Ave. , Waikiki, HI",-157.8244304,21.2753066,"2448 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"(off limits)","124 Kapahulu Ave. ","Waikiki","HI","(*)","Bars/Clubs",1965,NA,"124 Kapahulu Ave. , Waikiki, HI",-157.8220254,21.2719023,"124 kapahulu ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"","2709 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1965,NA,"2709 Kalakaua Ave. , Waikiki, HI",-157.8224446,21.2679075,"2709 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"","2070 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1965,NA,"2070 Kalakaua Ave. , Waikiki, HI",-157.8312934,21.2833111,"2070 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"(off limits)","434 Kapahulu ","Waikiki","HI","","Bars/Clubs",1965,NA,"434 Kapahulu , Waikiki, HI",-157.8156922,21.2749945,"434 kapahulu ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"(strip shows)","1112 Maunakea","Honolulu","HI","(M)","Bars/Clubs",1966,NA,"1112 Maunakea, Honolulu, HI",-157.8628067,21.3124877,"1112 maunakea st, honolulu, hi 96817, usa","Geocoded",NA,NA
"(off limits) (see also Waikiki)","152 N. Hotel St. ","Honolulu","HI","(S)","Bars/Clubs",1966,NA,"152 N. Hotel St. , Honolulu, HI",-157.8632356,21.3131178,"152 n hotel st, honolulu, hi 96817, usa","Geocoded",NA,NA
"","52 Oneawa","Kailua","HI","(R)","Restaurant",1966,NA,"52 Oneawa, Kailua, HI",-157.7442985,21.3957657,"52 oneawa st, kailua, hi 96734, usa","Geocoded",NA,NA
"(new bar behing The Clouds & Little Dipper)","nr. 124 Kapahulu","Waikiki","HI","","Bars/Clubs",1966,NA,"nr. 124 Kapahulu, Waikiki, HI",-157.8220254,21.2719023,"124 kapahulu ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"","1900 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1966,NA,"1900 Kalakaua Ave. , Waikiki, HI",-157.8338724,21.2877203,"1900 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"","2478 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1966,NA,"2478 Kalakaua Ave. , Waikiki, HI",-157.8242948,21.2744683,"2478 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"","311 Lewers","Waikiki","HI","(M),(*)","Bars/Clubs",1966,NA,"311 Lewers, Waikiki, HI",-157.8293369,21.2802495,"311 lewers st, honolulu, hi 96815, usa","Geocoded",NA,NA
"","2448 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1966,NA,"2448 Kalakaua Ave. , Waikiki, HI",-157.8244304,21.2753066,"2448 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"","2709 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1966,NA,"2709 Kalakaua Ave. , Waikiki, HI",-157.8224446,21.2679075,"2709 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"(off limits)","434 Kapahulu ","Waikiki","HI","","Bars/Clubs",1966,NA,"434 Kapahulu , Waikiki, HI",-157.8156922,21.2749945,"434 kapahulu ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"(strip shows)","1112 Maunakea","Honolulu","HI","(M)","Bars/Clubs",1968,NA,"1112 Maunakea, Honolulu, HI",-157.8628067,21.3124877,"1112 maunakea st, honolulu, hi 96817, usa","Geocoded",NA,NA
"(off limits) ","152 N. Hotel St. ","Honolulu","HI","(S)","Bars/Clubs",1968,NA,"152 N. Hotel St. , Honolulu, HI",-157.8632356,21.3131178,"152 n hotel st, honolulu, hi 96817, usa","Geocoded",NA,NA
"","52 Oneawa","Kailua","HI","(R)","Restaurant",1968,NA,"52 Oneawa, Kailua, HI",-157.7442985,21.3957657,"52 oneawa st, kailua, hi 96734, usa","Geocoded",NA,NA
"","124 Kapahulu","Waikiki","HI","(*)","Bars/Clubs",1968,NA,"124 Kapahulu, Waikiki, HI",-157.8220254,21.2719023,"124 kapahulu ave, honolulu, hi 96815, usa","Geocoded",NA,NA
"","1900 Kalakaua Ave. ","Waikiki","HI","(M)","Bars/Clubs",1968,NA,"1900 Kalakaua Ave. , Waikiki, HI",-157.8338724,21.2877203,"1900 kalakaua ave, honolulu, hi 96815, usa","Geocoded",NA,NA
