"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Atom Club","","230 W. Lewis","Pocatello","ID","(M),(YC),(*)","Bars/Clubs",1976,NA,"230 W. Lewis, Pocatello, ID",-112.4494001,42.8617144,"230 w lewis st, pocatello, id 83204, usa","Geocoded",NA
"Atom Club","","230 W. Lewis","Pocatello","ID","(M),(YC),(*)","Bars/Clubs",1977,NA,"230 W. Lewis, Pocatello, ID",-112.4494001,42.8617144,"230 w lewis st, pocatello, id 83204, usa","Geocoded",NA
"Bernie's Lounge","(nr. center)","100 So. Main ","Pocatello","ID","(*)","Bars/Clubs",1978,NA,"100 So. Main , Pocatello, ID",-112.4506275,42.8621121,"100 s main st, pocatello, id 83204, usa","Geocoded",NA
"Bernie's Lounge","nr. Center","100 S. Main","Pocatello","ID","","Bars/Clubs",1979,NA,"100 S. Main, Pocatello, ID",-112.4506275,42.8621121,"100 s main st, pocatello, id 83204, usa","Geocoded",NA
"Bernie's Lounge","nr. Center","100 S. Main ","Pocatello","ID","","Bars/Clubs",1980,NA,"100 S. Main , Pocatello, ID",-112.4506275,42.8621121,"100 s main st, pocatello, id 83204, usa","Geocoded",NA
"Book People","(Books & info) ","512 S. Main","Moscow","ID","(*)","Book Store",1980,NA,"512 S. Main, Moscow, ID",-117.0010682,46.7306249,"512 s main st, moscow, id 83843, usa","Geocoded",NA
"Cheap Chic","(Clothing)","222 N. 9th","Boise","ID","","Business",1980,NA,"222 N. 9th, Boise, ID",-116.2031439,43.6175313,"222 n 9th st, boise, id 83702, usa","Geocoded",NA
"Headquarters Books","('Toys', 'flicks' & cruisy arcade)","414 Main","Lewiston","ID","(*)","Book Store,Crusing Areas",1979,NA,"414 Main, Lewiston, ID",-117.001189,46.4004089,"lewiston, id 83501, usa","Geocoded",NA
"Headquarters Books","('Toys', 'flicks' & cruisy arcade)","414 Main","Lewiston","ID","(*)","Book Store,Crusing Areas",1980,NA,"414 Main, Lewiston, ID",-117.001189,46.4004089,"lewiston, id 83501, usa","Geocoded",NA
"Office","","251 E. Center","Pocatello","ID","","Bars/Clubs",1973,NA,"251 E. Center, Pocatello, ID",-112.4466388,42.864336,"251 e center st, pocatello, id 83201, usa","Geocoded",NA
