"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","800 N Dearborn ","Chicago","IL","","",1968,NA,"800 N Dearborn , Chicago, IL",-87.6301121,41.8968057,"800 n dearborn st, chicago, il 60610, usa","Geocoded",NA,NA
"(Was closed - may be reopening summer '69)","2865 N. Clark St","Chicago","IL","","",1970,NA,"2865 N. Clark St, Chicago, IL",-87.6460955,41.934492,"2865 n clark st, chicago, il 60657, usa","Geocoded",NA,NA
"","501 N. Clark St.","Chicago","IL","(SM),(*)","",1974,NA,"501 N. Clark St., Chicago, IL",-87.6308058,41.8910009,"501 n clark st, chicago, il 60654, usa","Geocoded",NA,NA
"","T-Room","","IL","","",1979,NA,"T-Room, , IL",-89.7133839,39.7561946,"3301 robbins rd, springfield, il 62704, usa","Geocoded",NA,NA
"","706 State Line Av","Calumet City","IL","(G),(*)","Bars/Clubs",1965,NA,"706 State Line Av, Calumet City, IL",-87.5254563,41.6151834,"706 state line ave, hammond, il 46320, usa","Geocoded",NA,NA
"","606 State Line Av","Calumet City","IL","(*)","Bars/Clubs",1965,NA,"606 State Line Av, Calumet City, IL",-87.5254537,41.6181672,"606 state line ave, calumet city, il 60409, usa","Geocoded",NA,NA
"","307 State St","Calumet City","IL","(G)","Bars/Clubs",1965,NA,"307 State St, Calumet City, IL",-87.52902,41.622721,"307 state st, calumet city, il 60409, usa","Geocoded",NA,NA
"Ambassador West Hotel","1300 N State Pkwy","Chicago","IL","(M),(PE)","Bars/Clubs",1965,NA,"1300 N State Pkwy, Chicago, IL",-87.6290089,41.9059886,"1300 n state pkwy, chicago, il 60610, usa","Geocoded",NA,NA
"","2865 N Clark St","Chicago","IL","(S),(*)","Bars/Clubs",1965,NA,"2865 N Clark St, Chicago, IL",-87.6460955,41.934492,"2865 n clark st, chicago, il 60657, usa","Geocoded",NA,NA
"","2810 N Clark St","Chicago","IL","(*)","Bars/Clubs",1965,NA,"2810 N Clark St, Chicago, IL",-87.645425,41.933118,"2810 n clark st, chicago, il 60657, usa","Geocoded",NA,NA
"","2829 N Clark St","Chicago","IL","(*),(S)","Bars/Clubs",1965,NA,"2829 N Clark St, Chicago, IL",-87.6453915,41.933626,"2829 n clark st, chicago, il 60657, usa","Geocoded",NA,NA
"","2835 N Broadway","Chicago","IL","(S)","Bars/Clubs",1965,NA,"2835 N Broadway, Chicago, IL",-87.6443982,41.9338209,"2835 n broadway, chicago, il 60614, usa","Geocoded",NA,NA
"","530 N Rush St","Chicago","IL","(S)","Bars/Clubs",1965,NA,"530 N Rush St, Chicago, IL",-87.6254245,41.8917681,"530 n rush st, chicago, il 60611, usa","Geocoded",NA,NA
"","1138 N Clark","Chicago","IL","(S),(M),(*)","Bars/Clubs",1965,NA,"1138 N Clark, Chicago, IL",-87.6314097,41.9030395,"1138 n clark st, chicago, il 60610, usa","Geocoded",NA,NA
"","800 N Dearbom","Chicago","IL","","Bars/Clubs",1965,NA,"800 N Dearbom, Chicago, IL",-87.6301121,41.8968057,"800 n dearborn st, chicago, il 60610, usa","Geocoded",NA,NA
"","1840 N Wells St","Chicago","IL","","Bars/Clubs",1965,NA,"1840 N Wells St, Chicago, IL",-87.6348708,41.9154511,"1840 n wells st, chicago, il 60614, usa","Geocoded",NA,NA
