"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","1316 E. 3rd St.","Bloomington","IN","(M),(HIP),(YC)","Bars/Clubs",1980,NA,"1316 E. 3rd St., Bloomington, IN","-86.5168064",39.1640878,"1316 e 3rd st, bloomington, in 47401, usa","Geocoded",NA,NA
"(Some M, L, YC) (Disco) (Best ever in Bloomington)","214 Kirkwood","Bloomington","IN","(M),(L),(YC),(D),(*)","Bars/Clubs",1980,NA,"214 Kirkwood, Bloomington, IN","-86.5356883",39.1668611,"214 w kirkwood ave, bloomington, in 47404, usa","Geocoded",NA,NA
"","201 S. Fulton Ave","Evansville","IN","","Book Store",1980,NA,"201 S. Fulton Ave, Evansville, IN","-87.581077",37.975675,"201 s fulton ave, evansville, in 47708, usa","Geocoded",NA,NA
"(Book Store)","930 Broadway","Ft. Wayne","IN","","Book Store",1980,NA,"930 Broadway, Ft. Wayne, IN","-85.148301",41.0760096,"930 broadway, fort wayne, in 46802, usa","Geocoded",NA,NA
"('Hustlers')","536 Main St.","Ft. Wayne","IN","(M),(RT)","Bars/Clubs",1980,NA,"536 Main St., Ft. Wayne, IN","-85.14743",41.079291,"536 w main st, fort wayne, in 46802, usa","Geocoded",NA,NA
"","224 W. Main St.","Ft. Wayne","IN","(*)","Book Store",1980,NA,"224 W. Main St., Ft. Wayne, IN","-85.1423905",41.0802351,"224 w main st, fort wayne, in 46802, usa","Geocoded",NA,NA
"('Tops' in area) (Disco) (Showbar)","226 W. Main St.","Ft. Wayne","IN","(HIP),(YC),(D),(R)","Restaurant",1980,NA,"226 W. Main St., Ft. Wayne, IN","-85.142439",41.080228,"226 w main st, fort wayne, in 46802, usa","Geocoded",NA,NA
"From Harrison to Ewing","","Ft. Wayne","IN","Cruisy Area","Cruising Areas",1980,NA,", Ft. Wayne, IN","-85.1393513",41.079273,"fort wayne, in, usa","Geocoded",NA,NA
"(days)","","Ft. Wayne","IN","Cruisy Area","Cruising Areas",1980,NA,", Ft. Wayne, IN","-85.1393513",41.079273,"fort wayne, in, usa","Geocoded",NA,NA
"","","Gary","IN","Cruisy Area","Cruising Areas",1980,NA,", Gary, IN","-87.3371523",41.6020403,"gary, in, usa","Geocoded",NA,NA
"(Scruffy)","532 Fayette St.","Hammond","IN","(AYOR)","Baths",1980,NA,"532 Fayette St., Hammond, IN","-87.516259",41.616293,"532 fayette st, hammond, in 46320, usa","Geocoded",NA,NA
"(Baths)","303 N. Senate Ave.","Indianapolis","IN","(*)","Baths",1980,NA,"303 N. Senate Ave., Indianapolis, IN","-86.1629079",39.7717089,"303 n senate ave, indianapolis, in 46204, usa","Geocoded",NA,NA
"","341 N. Capitol","Indianapolis","IN","","Baths",1980,NA,"341 N. Capitol, Indianapolis, IN","-86.1606445",39.7716165,"341 n capitol ave, indianapolis, in 46204, usa","Geocoded",NA,NA
"","4901 38th St.","Indianapolis","IN","(M),(R),(C),(AH)","Restaurant",1980,NA,"4901 38th St., Indianapolis, IN","-86.2424578",39.8238525,"4901 38th st, indianapolis, in 46254, usa","Geocoded",NA,NA
"","5444 E. Washington","Indianapolis","IN","(M)","Book Store",1980,NA,"5444 E. Washington, Indianapolis, IN","-86.0742823",39.7711198,"5444 e washington st, indianapolis, in 46219, usa","Geocoded",NA,NA
"(Wed.-Sat only) (Some L)","252 N. Capitol","Indianapolis","IN","(M),(S),(L),(*)","Bars/Clubs",1980,NA,"252 N. Capitol, Indianapolis, IN","-86.1616351",39.7707774,"252 n capitol ave, indianapolis, in 46204, usa","Geocoded",NA,NA
"(Many L) (Disco) (Game room) ","1808 N. Central","Indianapolis","IN","(L),(D),(PT),(*)","Bars/Clubs",1980,NA,"1808 N. Central, Indianapolis, IN","-86.149896",39.791268,"1808 central ave, indianapolis, in 46202, usa","Geocoded",NA,NA
"(R & Bar) (Cruisy) (Open 11am-3am) ","2301 N. Meridian","Indianapolis","IN","(R),(D),(*)","Restaurant,Bars/Clubs,Cruising Areas",1980,NA,"2301 N. Meridian, Indianapolis, IN","-86.1566753",39.7993415,"2301 n meridian st, indianapolis, in 46208, usa","Geocoded",NA,NA
