"ID","title","description","streetaddress","city","state","Year","amenityfeatures","type","unclearaddress","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
5,"Pete's Pub","(Some L) (Sundays *)","2550 W. 47th St.","Kansas City","KS",1980,"(D),(L),(*)","Bars/Clubs",NA,NA,"2/15/2020 6:42pm","2/16/2020 4:13am","2550 W. 47th St., Kansas City, KS","-94.6160448","39.0443045","2550 w 47th ave, kansas city, ks 66103, usa","Geocoded"
12,"The Office","(Some M, L, B, RT)","140 S. 5th St.","Salina","KS",1980,"(M),(L),(B),(RT),(PT)","Bars/Clubs",NA,NA,"2/15/2020 6:42pm","2/16/2020 4:13am","140 S. 5th St., Salina, KS","-97.608279","38.838843","140 s 5th st, salina, ks 67401, usa","Geocoded"
13,"Cre's","(Some L)","2436 S.E. Virigina","Topeka","KS",1980,"(P),(D),(PT),(L),(*)","Bars/Clubs",NA,NA,"2/15/2020 6:42pm","2/16/2020 4:13am","2436 S.E. Virigina, Topeka, KS","-95.6643992","39.0230258","2436 se virginia ave, topeka, ks 66605, usa","Geocoded"
15,"Lambda ","(Disco)","1435 N. Tyler","Topeka","KS",1980,"(P),(D),(*)","Bars/Clubs",NA,NA,"2/15/2020 6:43pm","2/16/2020 4:13am","1435 N. Tyler, Topeka, KS","-95.6848523","39.0400543","1435 sw tyler st, topeka, ks 66612, usa","Geocoded"
21,"Bus Station","(Disco) (Some L) (Liquor) (WE*)","1117 E. Pawnee","Wichita","KS",1980,"(P),(D),(L),(WE),(*)","Bars/Clubs",NA,NA,"2/15/2020 6:43pm","2/16/2020 4:13am","1117 E. Pawnee, Wichita, KS","-97.3243447","37.6499002","1117 e pawnee st, wichita, ks 67211, usa","Geocoded"
22,"Club Bunnie's","(Disco) (Some L) (Show Address Book for Adm.) (Liquor)","604 S. Topeka","Wichita","KS",1980,"(*),(P),(YC),(D),(L)","Bars/Clubs",NA,NA,"2/15/2020 6:43pm","2/16/2020 4:13am","604 S. Topeka, Wichita, KS","-97.3339553","37.6795139","604 topeka, wichita, ks 67202, usa","Geocoded"
23,"Danny's Cattleman's Association, Ltd.","(Liquor or BYOB) (Forget it!)","1534 Ida","Wichita","KS",1980,"(BYOB),(PT),(W)","Bars/Clubs",NA,NA,"2/15/2020 6:43pm","2/16/2020 4:13am","1534 Ida, Wichita, KS","-97.3250277","37.6649887","1534 s ida st, wichita, ks 67211, usa","Geocoded"
24,"R & R Club","nr. Broadway","100 W. 31st St","Wichita","KS",1980,"(P),(D),(PT),(BYOB),(*)","Bars/Clubs",NA,NA,"2/15/2020 6:43pm","2/16/2020 4:13am","100 W. 31st St, Wichita, KS","-97.3375869","37.637104","100 w 31st st s, wichita, ks 67217, usa","Geocoded"
32,"Other Way ","(Closed Monday) (WE*)","2410 E. 4th ","Hutchinson","KS",1979,"(P),(D),(WE),(*)","Bars/Clubs",NA,NA,"2/15/2020 6:43pm","2/16/2020 4:13am","2410 E. 4th , Hutchinson, KS","-97.8867293","38.0580254","2410 e 4th ave, hutchinson, ks 67501, usa","Geocoded"
34,"Pete's Pub","(Some G) (Sundays *)","2550 W. 47th St.","Kansas City","KS",1979,"(D),(G),(*)","Bars/Clubs",NA,NA,"2/15/2020 6:43pm","2/16/2020 4:13am","2550 W. 47th St., Kansas City, KS","-94.6160448","39.0443045","2550 w 47th ave, kansas city, ks 66103, usa","Geocoded"
