"ID","Title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","uncleartype","Year","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
1,"East Side","(Disco) (N. Belfast Ave.)","4 mi. E. on Hwy. 3 ","Augusta","ME","(YC),(D),(WE),(*)","Bars/Clubs",NA,NA,1980,NA,"4/20/2020 1:11pm","7/27/2020 11:34am","4 mi. E. on Hwy. 3 , Augusta, ME","-69.7613446","44.3333716","me-3, augusta, me, usa","Geocoded"
3,"Miller's","","427 Main St.","Bangor","ME","(M),(R)","Restaurant",NA,NA,1980,NA,"4/20/2020 1:12pm","7/27/2020 11:34am","427 Main St., Bangor, ME","-68.7767937","44.7916953","427 main st, bangor, me 04401, usa","Geocoded"
4,"Peter's Candlelight","(Some RT)","158 Main St.","Bangor","ME","(RT),(M)","Bars/Clubs",NA,NA,1980,NA,"4/20/2020 1:13pm","7/27/2020 11:34am","158 Main St., Bangor, ME","-68.7723463","44.7988663","158 main st, bangor, me 04401, usa","Geocoded"
9,"Moonlight Reader II","(Books, ect.)","22 Alfred St.","Biddeford","ME","","Book Store",NA,NA,1980,NA,"4/20/2020 1:14pm","7/27/2020 11:34am","22 Alfred St., Biddeford, ME","-70.4540205","43.4922958","22 alfred st, biddeford, me 04005, usa","Geocoded"
10,"Chuckwagon","","Cooks Corners","Brunswick","ME","(M),(R)","Restaurant",NA,NA,1980,NA,"4/20/2020 1:15pm","7/27/2020 11:34am","Cooks Corners, Brunswick, ME","-69.9153266","43.9078578","cooks corner, brunswick, me 04011, usa","Geocoded"
13,"Sports' Man Athletic Club","(Some L) (Liquor) (Show address book for adm.)","18 Canal St. nr. Main","Lewiston","ME","(YC),(D),(L),(P),(PT),(*)","Bars/Clubs",NA,NA,1980,NA,"4/20/2020 1:16pm","7/27/2020 11:34am","18 Canal St. nr. Main, Lewiston, ME","-70.2185063","44.0983312","18 canal st, lewiston, me 04240, usa","Geocoded"
15,"Anabel's ","(Nights) (Cruisy)","US Hwy. 1 ","Ogunquit","ME","(R),(YC),(D),(*)","Restaurant,Cruising Areas",NA,NA,1980,NA,"4/20/2020 1:17pm","7/27/2020 11:34am","US Hwy. 1 , Ogunquit, ME","-70.6005463","43.2472892","us-1, ogunquit, me, usa","Geocoded"
16,"Clipper Ship Guest House ","","46 Main St.","Ogunquit","ME","(H)","Hotels",NA,NA,1980,NA,"4/20/2020 1:18pm","7/27/2020 11:34am","46 Main St., Ogunquit, ME","-70.6019264","43.2408797","46 main st, ogunquit, me 03907, usa","Geocoded"
18,"Linden Lodge ","","24 Shore Rd.","Ogunquit","ME","(H)","Hotels",NA,NA,1980,NA,"4/20/2020 1:19pm","7/27/2020 11:34am","24 Shore Rd., Ogunquit, ME","-70.5992566","43.2484088","24 shore rd, ogunquit, me 03907, usa","Geocoded"
19,"Ogunquit After Dark","P, AH, BYOB just beyond Playhouse on US 1 N.","","Ogunquit","ME","(P),(AH),(BYOB)","Bars/Clubs",NA,NA,1980,NA,"4/20/2020 1:19pm","7/27/2020 11:34am",", Ogunquit, ME","-70.5986223","43.2468352","ogunquit, me, usa","Geocoded"
