"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","63 Maryland","Annapolis","MD","(M)","Bars/Clubs",1980,NA,"63 Maryland, Annapolis, MD",-76.4897218,38.9796937,"63 maryland ave, annapolis, md 21401, usa","Geocoded",NA,NA
"(Baths) (Health Club) (Burned, but should b re-opening)","1114 Cathedral","Baltimore","MD","(*),(P)","Baths",1980,NA,"1114 Cathedral, Baltimore, MD",-76.6183009,39.3020316,"1114 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"","1105 Cathedral","Baltimore","MD","(P),(*)","Baths",1980,NA,"1105 Cathedral, Baltimore, MD",-76.617758,39.302556,"1105 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"(Also C-AH)","1103 E. Pratt","Baltimore","MD","(*),(L),(R),(D),(PT),(C),(AH)","Bars/Clubs,Restaurant",1980,NA,"1103 E. Pratt, Baltimore, MD",-76.6005399,39.2883197,"1103 e pratt st, baltimore, md 21202, usa","Geocoded",NA,NA
"(Adjoins Hippo- opens 4pm) at Charles","1 W. Eager","Baltimore","MD","(YC),(D),(PT),(*)","Bars/Clubs",1980,NA,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"(Some L)","2218 Boston St.","Baltimore","MD","(M),(YC),(L),(D)","Bars/Clubs",1980,NA,"2218 Boston St., Baltimore, MD",-76.5850064,39.283682,"2218 boston st, baltimore, md 21231, usa","Geocoded",NA,NA
"& Shipmates Disco Room","1735 Maryland","Baltimore","MD","(SM),(*),(W),(R)","Bars/Clubs,Restaurant",1980,NA,"1735 Maryland, Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Disco) (Unisex)at Charles","1 W. Eager","Baltimore","MD","(*),(HIP),(YC),(D),(PT)","Bars/Clubs",1980,NA,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"","870 Park Ave.","Baltimore","MD","(*)","Bars/Clubs",1980,NA,"870 Park Ave., Baltimore, MD",-76.6189891,39.3015442,"870 park ave, baltimore, md 21201, usa","Geocoded",NA,NA
"","774 Washington","Baltimore","MD","","Bars/Clubs",1980,NA,"774 Washington, Baltimore, MD",-76.6121893,39.2903848,"baltimore, md, usa","Geocoded",NA,NA
"(Disco)","1101 Cathedral","Baltimore","MD","(*),(YC),(D)","Bars/Clubs",1980,NA,"1101 Cathedral, Baltimore, MD",-76.6178248,39.302445,"1101 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"","2308 Boston St. ","Baltimore","MD","(L),(PT),(D)","Bars/Clubs",1980,NA,"2308 Boston St. , Baltimore, MD",-76.5842286,39.2832008,"2308 boston st, baltimore, md 21224, usa","Geocoded",NA,NA
"","2233 St. Paul St.","Baltimore","MD","M.C.C.","Church",1980,NA,"2233 St. Paul St., Baltimore, MD",-76.6149136,39.3152395,"2233 st paul st, baltimore, md 21218, usa","Geocoded",NA,NA
"('Hustlers')","704 N Howard","Baltimore","MD","(B),(RT)","Bars/Clubs",1980,NA,"704 N Howard, Baltimore, MD",-76.6201738,39.2976088,"704 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
