"ID","Title","description","streetaddress","city","amenityfeatures","type","Year","unclearaddress","uncleartype","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
3,"Art I Cinema","","204 Tremont","Boston","","Theatre",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","204 Tremont, Boston, ","-71.064584","42.3519074","204 tremont st, boston, ma 02116, usa","Geocoded"
4,"Beacon Tours","(Travel)","160 Commonwealth","Boston","","Business",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","160 Commonwealth, Boston, ","-71.0786934","42.3513461","160 commonwealth avenue, boston, ma 02116, usa","Geocoded"
5,"Buddie's","(Opening soon-should be winner) (Disco) (Cruise bar-PT)","733 Boylston St.","Boston","(D),(E),(PT)","Cruising Areas,Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","733 Boylston St., Boston, ","-71.080478","42.3495134","733 boylston st, boston, ma 02116, usa","Geocoded"
6,"Carnival","(In the 'Combat Zone'","39 Boylston St.","Boston","(RT),(AYOR)","Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","39 Boylston St., Boston, ","-71.0629474","42.3526985","39 boylston st, boston, ma 02111, usa","Geocoded"
7,"Chaps","","25 Huntington Ave.","Boston","","Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","25 Huntington Ave., Boston, ","-71.0782134","42.3486982","25 huntington ave, boston, ma 02116, usa","Geocoded"
8,"Citadel","(E-upstairs)","22 Avery St.","Boston","(S),(D),(E)","Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","22 Avery St., Boston, ","-71.063366","42.3532589","22 avery st, boston, ma 02111, usa","Geocoded"
11,"Club 76","(Many L) (Disco)","76 Batterymarch","Boston","(R),(E),(L),(M),(D)","Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","76 Batterymarch, Boston, ","-71.0529434","42.3569118","76 batterymarch st, boston, ma 02110, usa","Geocoded"
12,"Dart's","(Disco) (R-lunch) (Cruisy) (Macho) ('Jocks')","27 Dartmouth St.","Boston","(*),(YC),(D),(PT),(R)","Cruising Areas,Restaurant,Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","27 Dartmouth St., Boston, ","-71.0739753","42.3438308","27 dartmouth st, boston, ma 02116, usa","Geocoded"
14,"Eagle","(Some W, SM) (Adj. Disco) (Biz must be lousy as they refuse to pay me for last years books)","88 Queensberry St.","Boston","(W),(SM),(D)","Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","88 Queensberry St., Boston, ","-71.0990453","42.3421504","88 queensberry st, boston, ma 02215, usa","Geocoded"
15,"Esplanade Paperbacks Books","","107 Charles St.","Boston","(*)","Book Store",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","107 Charles St., Boston, ","-71.0706111","42.3592312","107 charles st, boston, ma 02114, usa","Geocoded"
16,"Harry's Place","","45 Essex St.","Boston","(D)","Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","45 Essex St., Boston, ","-71.0615757","42.3523343","41-45 essex st, boston, ma 02111, usa","Geocoded"
17,"Herbie's Ramrod Room","","1254 Boylston St.","Boston","(SM),(W),(*)","Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","1254 Boylston St., Boston, ","-71.0957999","42.3448775","1254 boylston st, boston, ma 02215, usa","Geocoded"
18,"Jacques'","(Disco)","87 Broadway","Boston","(RT),(D)","Bars/Clubs",1980,NA,"","","3/28/2020 9:31pm","3/29/2020 12:49am","87 Broadway, Boston, ","-71.0552557","42.3413716","87 w broadway, boston, ma 02127, usa","Geocoded"
41,"Jupiter in Aries","(Gym, sauna, games &  men's massage) (10 am to 12 midnight) ","283 Dartmouth","Boston","","Business",1980,NA,"","","3/28/2020 9:34pm","3/29/2020 12:49am","283 Dartmouth, Boston, ","-71.077634","42.351298","283 dartmouth st, boston, ma 02116, usa","Geocoded"
42,"Ken's","","549 Boylston St.","Boston","(M),(R),(C),(AH)","Restaurant",1980,NA,"","","3/28/2020 10:05pm","3/29/2020 12:49am","549 Boylston St., Boston, ","-71.0759814","42.3507523","549 boylston st, boston, ma 02116, usa","Geocoded"
43,"La Trattoria","(Italian R)","288 Cambridge St.","Boston","(M),(R)","Restaurant",1980,NA,"","","3/28/2020 10:05pm","3/29/2020 12:49am","288 Cambridge St., Boston, ","-71.06818","42.3610023","288 cambridge st, boston, ma 02114, usa","Geocoded"
44,"M.C.C.","Old West Church","131 Cambridge St.","Boston","M.C.C.","Church",1980,NA,"","","3/28/2020 10:05pm","3/29/2020 12:49am","131 Cambridge St., Boston, ","-71.0642158","42.3616946","131 cambridge st, boston, ma 02114, usa","Geocoded"
45,"Napoleon Club","(D upstairs WE)","52 Piedmont","Boston","(*),(OC),(E),(D),(WE)","Bars/Clubs",1980,NA,"","","3/28/2020 10:05pm","3/29/2020 12:49am","52 Piedmont, Boston, ","-71.0692183","42.3496593","52 piedmont st, boston, ma 02116, usa","Geocoded"
46,"119 Merrimac","(Disco) (Thurs. nights*)","119 Merrimac","Boston","(D),(*)","Bars/Clubs",1980,NA,"","","3/28/2020 10:05pm","3/29/2020 12:49am","119 Merrimac, Boston, ","-71.0621239","42.3638308","119 merrimac st, boston, ma 02114, usa","Geocoded"
47,"Over Harry's","","45 Essex","Boston","(S)","Bars/Clubs",1980,NA,"","","3/28/2020 10:05pm","3/29/2020 12:49am","45 Essex, Boston, ","-71.0615757","42.3523343","41-45 essex st, boston, ma 02111, usa","Geocoded"
48,"Paperback Booksmith","(Books)","753 Boylston","Boston","(M),(*)","Book Store",1980,NA,"","","3/28/2020 10:05pm","3/29/2020 12:49am","753 Boylston, Boston, ","-71.0810044","42.3493355","753 boylston st, boston, ma 02199, usa","Geocoded"
49,"Playland","('Hustlers') ('Combat Zone')","21 Essex","Boston","(RT),(*)","Bars/Clubs",1980,NA,"","","3/28/2020 10:05pm","3/29/2020 12:49am","21 Essex, Boston, ","-71.069729","42.3792517","21 essex st, charlestown, ma 02129, usa","Geocoded"
