"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","115 W. Washington ","Ann Arbor","MI","(R),(M)","Restaurant",1965,NA,"115 W. Washington , Ann Arbor, MI",-83.749358,42.2803209,"115 w washington st, ann arbor, mi 48104, usa","Geocoded",NA,NA
"","210 W. Washington ","Ann Arbor","MI","","Bars/Clubs",1965,NA,"210 W. Washington , Ann Arbor, MI",-83.7504276,42.2805475,"210 w washington st, ann arbor, mi 48104, usa","Geocoded",NA,NA
"","97 W. Michigan ","Battle Creek ","MI","(M)","Bars/Clubs",1965,NA,"97 W. Michigan , Battle Creek , MI",-85.1850356,42.3217683,"97 w michigan ave, battle creek, mi 49017, usa","Geocoded",NA,NA
"","50 S. 20th St. ","Battle Creek ","MI","(*)","Bars/Clubs",1965,NA,"50 S. 20th St. , Battle Creek , MI",-85.2197648,42.3009562,"50 s 20th st, battle creek, mi 49015, usa","Geocoded",NA,NA
"","2549 Grand Riv","Detroit","MI","(*),(D)","Bars/Clubs",1965,NA,"2549 Grand Riv, Detroit, MI",-83.0626904,42.3376546,"2549 grand river ave, detroit, mi 48201, usa","Geocoded",NA,NA
"","6545 Woodward ","Detroit","MI","(R)","Restaurant",1965,NA,"6545 Woodward , Detroit, MI",-83.0733316,42.3696695,"6545 woodward ave, detroit, mi 48202, usa","Geocoded",NA,NA
"","323 E. Larned ","Detroit","MI","(RT)","Bars/Clubs",1965,NA,"323 E. Larned , Detroit, MI",-83.0423343,42.3308526,"323 larned st, detroit, mi 48226, usa","Geocoded",NA,NA
"","5474 Cass ","Detroit","MI","(PE),(*)","Bars/Clubs",1965,NA,"5474 Cass , Detroit, MI",-83.0689881,42.3604937,"5474 cass ave, detroit, mi 48202, usa","Geocoded",NA,NA
"","3127 Cass ","Detroit","MI","(M),(S),(*)","Bars/Clubs",1965,NA,"3127 Cass , Detroit, MI",-83.0598049,42.3433278,"3127 cass ave, detroit, mi 48201, usa","Geocoded",NA,NA
"","731 Bates ","Detroit","MI","(RT)","Bars/Clubs",1965,NA,"731 Bates , Detroit, MI",-83.0446001,42.3322575,"731 bates st, detroit, mi 48226, usa","Geocoded",NA,NA
"","18318 Van Dyke","Detroit","MI","(S)","Bars/Clubs",1965,NA,"18318 Van Dyke, Detroit, MI",-83.0237384,42.4284166,"18318 van dyke ave, detroit, mi 48234, usa","Geocoded",NA,NA
"","655 Beau Bien ","Detroit","MI","(G)","Bars/Clubs",1965,NA,"655 Beau Bien , Detroit, MI",-83.0415287,42.3330212,"655 beaubien st, detroit, mi 48226, usa","Geocoded",NA,NA
"","9310 Greenfield","Detroit","MI","","Bars/Clubs",1965,NA,"9310 Greenfield, Detroit, MI",-83.1969255,42.3636956,"9310 greenfield rd, detroit, mi 48228, usa","Geocoded",NA,NA
"","1011 Farmer ","Detroit","MI","(*),(SM),(RT)","Bars/Clubs",1965,NA,"1011 Farmer , Detroit, MI",-83.0451498,42.3321094,"1011 farmer st, detroit, mi 48226, usa","Geocoded",NA,NA
"","6424 Woodward","Detroit","MI","(*)","Bars/Clubs",1965,NA,"6424 Woodward, Detroit, MI",-83.0721831,42.3689125,"6424 woodward ave, detroit, mi 48202, usa","Geocoded",NA,NA
"","516 N. Saginaw","Flint","MI","(*)","Bars/Clubs",1965,NA,"516 N. Saginaw, Flint, MI",-83.6933341,43.0205459,"516 n saginaw st, flint, mi 48502, usa","Geocoded",NA,NA
"","517 Brush ","Flint","MI","","Bars/Clubs",1965,NA,"517 Brush , Flint, MI",-83.6896667,43.0158012,"517 brush alley, flint, mi 48502, usa","Geocoded",NA,NA
"","336 E. Michigan ","Kalamazoo","MI","(M),(PE)","Bars/Clubs,Hotels",1965,NA,"336 E. Michigan , Kalamazoo, MI",-85.5792544,42.2924911,"336 e michigan ave, kalamazoo, mi 49007, usa","Geocoded",NA,NA
