"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(Cruisy-WE)","Hwy. 10 E","Detroit Lakes","MN","(M),(R),(E),(WE)","Cruising Areas,Restaurant,Bars/Clubs",1980,"","Hwy. 10 E, Detroit Lakes, MN",-95.8231186,46.8093797,"us hwy 10, detroit lakes, mn 56501, usa","Geocoded",NA,NA
"","231 E. Superior","Duluth","MN","(M)","Hotels,Bars/Clubs",1980,"","231 E. Superior, Duluth, MN",-92.0950194,46.7897626,"231 e superior st, duluth, mn 55802, usa","Geocoded",NA,NA
"(Closes 12 midnight)","18 N. 1st Ave. E.","Duluth","MN","","Baths",1980,"","18 N. 1st Ave. E., Duluth, MN",-92.0973096,46.7885323,"18 n 1st ave e, duluth, mn 55802, usa","Geocoded",NA,NA
"","412 W. Superior","Duluth","MN","(M),(RT)","Bars/Clubs",1980,"","412 W. Superior, Duluth, MN",-92.1035256,46.7826887,"412 w superior st, duluth, mn 55802, usa","Geocoded",NA,NA
"","900 Hennepin Ave.","Minneapolis","MN","","Theatre",1980,"","900 Hennepin Ave., Minneapolis, MN",-93.2774221,44.9765348,"900 hennepin ave, minneapolis, mn 55403, usa","Geocoded",NA,NA
"","429 Hennepin Ave.","Minneapolis","MN","(*)","Book Store",1980,"","429 Hennepin Ave., Minneapolis, MN",-93.2714908,44.9798928,"429 hennepin ave, minneapolis, mn 55403, usa","Geocoded",NA,NA
"(Baths)","3 N. 7th Hennepin","Minneapolis","MN","(OC)","Baths",1980,"","3 N. 7th Hennepin, Minneapolis, MN",-93.275496,44.978453,"3 n 7th st, minneapolis, mn 55403, usa","Geocoded",NA,NA
"(Some OC)","422 Hennepin Ave.","Minneapolis","MN","(OC),(*)","Bars/Clubs",1980,"","422 Hennepin Ave., Minneapolis, MN",-93.2725204,44.9800829,"422 hennepin ave, minneapolis, mn 55401, usa","Geocoded",NA,NA
"(Should be a winner)","113 1st St. N. ","Minneapolis","MN","","Baths",1980,"","113 1st St. N. , Minneapolis, MN",-93.2685683,44.9849015,"113 n 1st st, minneapolis, mn 55401, usa","Geocoded",NA,NA
"(Catholic Church)","1701 Univeristy","Minneapolis","MN","","Church",1980,"","1701 Univeristy, Minneapolis, MN",-93.2281611,44.9845683,"1701 elm st se, minneapolis, mn 55414, usa","Geocoded",NA,NA
"(Social organ.)","4419 Nicollet","Minneapolis","MN","","Organizations",1980,"","4419 Nicollet, Minneapolis, MN",-93.277716,44.9226156,"4419 nicollet ave, minneapolis, mn 55419, usa","Geocoded",NA,NA
