"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","9922 E. Truman Rd.","Kansas City","MO","","Baths",1975,NA,"9922 E. Truman Rd., Kansas City, MO",-94.4604248,39.0954293,"9922 e truman rd, independence, mo 64052, usa","Geocoded",NA,NA
"","9922 E. Truman Rd.","Kansas City","MO","","Baths",1973,NA,"9922 E. Truman Rd., Kansas City, MO",-94.4604248,39.0954293,"9922 e truman rd, independence, mo 64052, usa","Geocoded",NA,NA
"","9922 E. Truman Rd.","Kansas City","MO","","Baths",1974,NA,"9922 E. Truman Rd., Kansas City, MO",-94.4604248,39.0954293,"9922 e truman rd, independence, mo 64052, usa","Geocoded",NA,NA
"(best afternoons - closes early)","9922 Truman Road","Kansas City","MO","","Baths",1977,NA,"9922 Truman Road, Kansas City, MO",-94.4604248,39.0954293,"9922 e truman rd, independence, mo 64052, usa","Geocoded",NA,NA
"","9922 E. Truman Rd.","Kansas City","MO","","Baths",1971,NA,"9922 E. Truman Rd., Kansas City, MO",-94.4604248,39.0954293,"9922 e truman rd, independence, mo 64052, usa","Geocoded",NA,NA
"(Closes early) ","9922 Truman Rd.","Kansas City","MO","","Baths",1978,NA,"9922 Truman Rd., Kansas City, MO",-94.4604248,39.0954293,"9922 e truman rd, independence, mo 64052, usa","Geocoded",NA,NA
"","9922 E. Truman Rd.","Kansas City","MO","","Baths",1972,NA,"9922 E. Truman Rd., Kansas City, MO",-94.4604248,39.0954293,"9922 e truman rd, independence, mo 64052, usa","Geocoded",NA,NA
"","3522 Olive St","St. Louis","MO","(C),(RT)","Bars/Clubs",1965,NA,"3522 Olive St, St. Louis, MO",-90.230712,38.637261,"3522 olive st, st. louis, mo 63103, usa","Geocoded",NA,NA
"(Books)","3849 Main St.","Kansas City","MO","","Book Store",1979,NA,"3849 Main St., Kansas City, MO",-94.585927,39.056696,"3849 main st, kansas city, mo 64111, usa","Geocoded",NA,NA
"(Books)","3849 Main St.","Kansas City","MO","","Book Store",1980,NA,"3849 Main St., Kansas City, MO",-94.585927,39.056696,"3849 main st, kansas city, mo 64111, usa","Geocoded",NA,NA
"","3314 Troost","Kansas City","MO","Cruisy Area","Cruising Areas",1980,NA,"3314 Troost, Kansas City, MO",-94.5717335,39.0664694,"3314 troost ave, kansas city, mo 64109, usa","Geocoded",NA,NA
"","3314 Troost","Kansas City","MO","Cruisy Area","Cruising Areas",1979,NA,"3314 Troost, Kansas City, MO",-94.5717335,39.0664694,"3314 troost ave, kansas city, mo 64109, usa","Geocoded",NA,NA
"","701 W. 12th St.","Kansas City","MO","(G),(D),(*)","Bars/Clubs",1971,NA,"701 W. 12th St., Kansas City, MO",-94.5929399,39.1002432,"701 w 12th st, kansas city, mo 64105, usa","Geocoded",NA,NA
"","701 W. 12th St.","Kansas City","MO","(G),(D),(*)","Bars/Clubs",1970,NA,"701 W. 12th St., Kansas City, MO",-94.5929399,39.1002432,"701 w 12th st, kansas city, mo 64105, usa","Geocoded",NA,NA
"","3314 Gillham Plaza","Kansas City","MO","(D),(*)","Bars/Clubs",1973,NA,"3314 Gillham Plaza, Kansas City, MO",-94.579783,39.0665141,"3314 gillham plaza, kansas city, mo 64109, usa","Geocoded",NA,NA
"","3314 Gilham Plaza","Kansas City","MO","(D),(*)","Bars/Clubs",1971,NA,"3314 Gilham Plaza, Kansas City, MO",-94.579783,39.0665141,"3314 gillham plaza, kansas city, mo 64109, usa","Geocoded",NA,NA
"","3314 Gilham Plaza","Kansas City","MO","(*)","Bars/Clubs",1970,NA,"3314 Gilham Plaza, Kansas City, MO",-94.579783,39.0665141,"3314 gillham plaza, kansas city, mo 64109, usa","Geocoded",NA,NA
"","3314 Gilham Plaza","Kansas City","MO","(*)","Bars/Clubs",1969,NA,"3314 Gilham Plaza, Kansas City, MO",-94.579783,39.0665141,"3314 gillham plaza, kansas city, mo 64109, usa","Geocoded",NA,NA
"","3314 Gilham Plaza","Kansas City","MO","(*)","Bars/Clubs",1968,NA,"3314 Gilham Plaza, Kansas City, MO",-94.579783,39.0665141,"3314 gillham plaza, kansas city, mo 64109, usa","Geocoded",NA,NA
"","3314 Gillham Plaza","Kansas City","MO","(*)","Bars/Clubs",1966,NA,"3314 Gillham Plaza, Kansas City, MO",-94.579783,39.0665141,"3314 gillham plaza, kansas city, mo 64109, usa","Geocoded",NA,NA
"","3314 Gillham Plaza","Kansas City","MO","(*)","Bars/Clubs",1965,NA,"3314 Gillham Plaza, Kansas City, MO",-94.579783,39.0665141,"3314 gillham plaza, kansas city, mo 64109, usa","Geocoded",NA,NA
"","3314 Gilham Plaza","Kansas City","MO","(YC),(D),(*)","Bars/Clubs",1972,NA,"3314 Gilham Plaza, Kansas City, MO",-94.579783,39.0665141,"3314 gillham plaza, kansas city, mo 64109, usa","Geocoded",NA,NA
"(after hours)","3805 Broadway ","Kansas City","MO","(R),(C)","Restaurant",1974,NA,"3805 Broadway , Kansas City, MO",-94.590386,39.058341,"3805 broadway blvd, kansas city, mo 64111, usa","Geocoded",NA,NA
