"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Adult Shop","","3rd & Central","Great Falls","MT","Cruisy Areas","Crusing Areas,Business",1978,NA,"3rd & Central, Great Falls, MT",-95.712891,37.09024,"122 south 3rd street, independence, ks 67301, usa","Geocoded",NA
"Bronx Lounge","(cruisy)","42 W. Broadway","Butte","MT","(M),Cruisy Areas","Bars/Clubs",1979,NA,"42 W. Broadway, Butte, MT",-112.5370763,46.0133806,"42 w broadway st, butte, mt 59701, usa","Geocoded",NA
"Cockpit","","131 Moore","Billings","MT","(M),(YC)","Bars/Clubs",1977,NA,"131 Moore, Billings, MT",-108.5415319,45.7669464,"131 moore ln, billings, mt 59101, usa","Geocoded",NA
"Cockpit","","131 Moore","Billings","MT","(M),(YC)","Bars/Clubs",1978,NA,"131 Moore, Billings, MT",-108.5415319,45.7669464,"131 moore ln, billings, mt 59101, usa","Geocoded",NA
"Cockpit","","131 Moore","Billings","MT","(M),(YC)","Bars/Clubs",1979,NA,"131 Moore, Billings, MT",-108.5415319,45.7669464,"131 moore ln, billings, mt 59101, usa","Geocoded",NA
"Crown Room","","425 N. Last Chance Gulch","Helena","MT","(M)","Bars/Clubs",1975,NA,"425 N. Last Chance Gulch, Helena, MT",-112.0369746,46.5912468,"425 n last chance gulch, helena, mt 59601, usa","Geocoded",NA
"Crown Room","","425 N. Last Chance Gulch","Helena","MT","(M)","Bars/Clubs",1976,NA,"425 N. Last Chance Gulch, Helena, MT",-112.0369746,46.5912468,"425 n last chance gulch, helena, mt 59601, usa","Geocoded",NA
"Crown Room","","425 N. Last Chance Gulch","Helena","MT","(M)","Bars/Clubs",1977,NA,"425 N. Last Chance Gulch, Helena, MT",-112.0369746,46.5912468,"425 n last chance gulch, helena, mt 59601, usa","Geocoded",NA
"Crystal Lounge","Northern Hotel (Downstairs Basement Bar)","Broadway & 1st Ave N.","Billings","MT","","Hotels,Bars/Clubs",1977,NA,"Broadway & 1st Ave N., Billings, MT",-95.982443,36.1510606,"720 s kenosha ave, tulsa, ok 74120, usa","Geocoded",NA
"Flamingo","","600 N. Higgins ","Missoula","MT","(M)","Bars/Clubs",1974,NA,"600 N. Higgins , Missoula, MT",-113.9921749,46.8743158,"600 n higgins ave, missoula, mt 59802, usa","Geocoded",NA
"Flamingo","","600 N. Higgins","Missoula","MT","(M)","Bars/Clubs",1975,NA,"600 N. Higgins, Missoula, MT",-113.9921749,46.8743158,"600 n higgins ave, missoula, mt 59802, usa","Geocoded",NA
"Flamingo","","600 N. Higgins","Missoula","MT","(M)","Bars/Clubs",1976,NA,"600 N. Higgins, Missoula, MT",-113.9921749,46.8743158,"600 n higgins ave, missoula, mt 59802, usa","Geocoded",NA
"Flamingo","","600 N. Higgins","Missoula","MT","(M)","Bars/Clubs",1977,NA,"600 N. Higgins, Missoula, MT",-113.9921749,46.8743158,"600 n higgins ave, missoula, mt 59802, usa","Geocoded",NA
"Flamingo","","600 N. Higgins","Missoula","MT","(M)","Bars/Clubs",1979,NA,"600 N. Higgins, Missoula, MT",-113.9921749,46.8743158,"600 n higgins ave, missoula, mt 59802, usa","Geocoded",NA
"Flamingo ","","600 N. Higgins","Missoula","MT","(M)","Bars/Clubs",1978,NA,"600 N. Higgins, Missoula, MT",-113.9921749,46.8743158,"600 n higgins ave, missoula, mt 59802, usa","Geocoded",NA
"Forum Club","","204 1st Avenue South","Great Falls","MT","(P),(D),(S),(G),(*),(PT)","Bars/Clubs",1977,NA,"204 1st Avenue South, Great Falls, MT",-111.3038742,47.5039029,"204 1st ave s, great falls, mt 59401, usa","Geocoded",NA
"Golden Galleon Lounge","Rainbow Hotel ","20 3rd Ave No. ","Great Falls","MT","(M),(OC)","Bars/Clubs,Hotels",1978,NA,"20 3rd Ave No. , Great Falls, MT",-111.305701,47.5086309,"20 3rd ave n, great falls, mt 59401, usa","Geocoded",NA
"Harrington's","","On Broadway near Bus Depot","Butte","MT","(M),(YC)","Bars/Clubs",1977,NA,"On Broadway near Bus Depot, Butte, MT",-112.53901,46.0135203,"broadway / montana, butte, mt 59701, usa","Geocoded",NA
"Harvey's Steam Baths","","203 Central Ave","Great Falls","MT","","Baths",1968,NA,"203 Central Ave, Great Falls, MT",-111.3040749,47.5055328,"203 central ave, great falls, mt 59401, usa","Geocoded",NA
"Harvey's Steam Baths","","203 Central Ave","Great Falls","MT","","Baths",1969,NA,"203 Central Ave, Great Falls, MT",-111.3040749,47.5055328,"203 central ave, great falls, mt 59401, usa","Geocoded",NA
"Harvey's Steam Baths","(best weekends)","203 Central Ave","Great Falls","MT","","Baths",1970,NA,"203 Central Ave, Great Falls, MT",-111.3040749,47.5055328,"203 central ave, great falls, mt 59401, usa","Geocoded",NA
"Harvey's Steam Baths","(best weekends)","203 Central Ave.","Great Falls","MT","","Baths",1971,NA,"203 Central Ave., Great Falls, MT",-111.3040749,47.5055328,"203 central ave, great falls, mt 59401, usa","Geocoded",NA
"Import Depot","","Old Milwaukee Rd, R.R. Depot","","MT","(R),(M),(YC),(D)","Restaurant,Bars/Clubs",1979,NA,"Old Milwaukee Rd, R.R. Depot, , MT",-114.4750146,47.0028193,"712 rosehill ln, alberton, mt 59820, usa","Geocoded",NA
"Jack's Sauna Baths","","18 N. 27","Billings","MT","","Baths",1974,NA,"18 N. 27, Billings, MT",-108.5038439,45.7819721,"18 n 27th st, billings, mt 59101, usa","Geocoded",NA
"Jack's Sauna Baths","(good weekends*)","18 N. 27","Billings","MT","(*)","Baths",1975,NA,"18 N. 27, Billings, MT",-108.5038439,45.7819721,"18 n 27th st, billings, mt 59101, usa","Geocoded",NA
"Jack's Sauna Baths","(WE*)","18 N. 27th","Billings","MT","(WE),(*)","Baths",1976,NA,"18 N. 27th, Billings, MT",-108.5038439,45.7819721,"18 n 27th st, billings, mt 59101, usa","Geocoded",NA
"Marquis Club","(Some W, YC, G) (Disco)","204 1st Ave","Great Falls","MT","(W),(YC),(G),(*),(D),(S)","Bars/Clubs",1979,NA,"204 1st Ave, Great Falls, MT",-111.3041458,47.5064242,"204 1st ave n, great falls, mt 59401, usa","Geocoded",NA
"Midway Nite Club","","209 N. 14th","Billings","MT","(M)","Bars/Clubs",1968,NA,"209 N. 14th, Billings, MT",-108.4894808,45.7918716,"209 n 14th st, billings, mt 59101, usa","Geocoded",NA
"Midway Nite Club","","209 N. 14th","Billings","MT","(M)","Bars/Clubs",1969,NA,"209 N. 14th, Billings, MT",-108.4894808,45.7918716,"209 n 14th st, billings, mt 59101, usa","Geocoded",NA
"Midway Nite Club","","209 N. 14th","Billings","MT","(M)","Bars/Clubs",1970,NA,"209 N. 14th, Billings, MT",-108.4894808,45.7918716,"209 n 14th st, billings, mt 59101, usa","Geocoded",NA
"Midway Nite Club","","209 N. 14th","Billings","MT","(M)","Bars/Clubs",1971,NA,"209 N. 14th, Billings, MT",-108.4894808,45.7918716,"209 n 14th st, billings, mt 59101, usa","Geocoded",NA
"Ocean Bar","","71 E. Park Plaza","Butte","MT","","Bars/Clubs",1966,NA,"71 E. Park Plaza, Butte, MT",-112.5340398,46.0132278,"71 e park st, butte, mt 59701, usa","Geocoded",NA
"Ocean Bar","","71 E. Park Plaza","Butte","MT","(M)","Bars/Clubs",1968,NA,"71 E. Park Plaza, Butte, MT",-112.5340398,46.0132278,"71 e park st, butte, mt 59701, usa","Geocoded",NA
"Ocean Bar","","71 E. Park Plaza","Butte","MT","(M)","Bars/Clubs",1969,NA,"71 E. Park Plaza, Butte, MT",-112.5340398,46.0132278,"71 e park st, butte, mt 59701, usa","Geocoded",NA
"Ocean Bar","","71 E. Park Plaza","Butte","MT","(M)","Bars/Clubs",1970,NA,"71 E. Park Plaza, Butte, MT",-112.5340398,46.0132278,"71 e park st, butte, mt 59701, usa","Geocoded",NA
"Park Hotel Bar","","100 Central","Great Falls","MT","(M)","Hotels,Bars/Clubs",1965,NA,"100 Central, Great Falls, MT",-111.3056364,47.5049743,"100 central ave, great falls, mt 59401, usa","Geocoded",NA
"Park Hotel Bar","","100 Central","Great Falls","MT","(M)","Bars/Clubs,Hotels",1966,NA,"100 Central, Great Falls, MT",-111.3056364,47.5049743,"100 central ave, great falls, mt 59401, usa","Geocoded",NA
"Park Hotel Bar","","100 Central Ave","Great Falls","MT","(M)","Hotels,Bars/Clubs",1968,NA,"100 Central Ave, Great Falls, MT",-111.3056364,47.5049743,"100 central ave, great falls, mt 59401, usa","Geocoded",NA
"Park Hotel Bar","","100 Central","Great Falls","MT","(M)","Hotels,Bars/Clubs",1969,NA,"100 Central, Great Falls, MT",-111.3056364,47.5049743,"100 central ave, great falls, mt 59401, usa","Geocoded",NA
"Park Hotel Bar","","100 Central Ave","Great Falls","MT","(M)","Hotels,Bars/Clubs",1970,NA,"100 Central Ave, Great Falls, MT",-111.3056364,47.5049743,"100 central ave, great falls, mt 59401, usa","Geocoded",NA
"Park Hotel Bar","","100 Central Ave","Great Falls","MT","(M)","Bars/Clubs,Hotels",1971,NA,"100 Central Ave, Great Falls, MT",-111.3056364,47.5049743,"100 central ave, great falls, mt 59401, usa","Geocoded",NA
"Ranch House","","32 E. Broadway","Butte","MT","(M)","Bars/Clubs",1965,NA,"32 E. Broadway, Butte, MT",-112.5345917,46.0135764,"32 e broadway st, butte, mt 59701, usa","Geocoded",NA
"Royal Room","","123 N. Last Chance Gulch","Helena","MT","(M)","Bars/Clubs",1970,NA,"123 N. Last Chance Gulch, Helena, MT",-112.0390463,46.5877561,"123 n last chance gulch, helena, mt 59601, usa","Geocoded",NA
"Royal Room","","425 N. Last Chance Gulch","Helena","MT","(M)","Bars/Clubs",1971,NA,"425 N. Last Chance Gulch, Helena, MT",-112.0369746,46.5912468,"425 n last chance gulch, helena, mt 59601, usa","Geocoded",NA
"Royal Room","","425 N. Last Chance Gulch","Helena","MT","(M)","Bars/Clubs",1972,NA,"425 N. Last Chance Gulch, Helena, MT",-112.0369746,46.5912468,"425 n last chance gulch, helena, mt 59601, usa","Geocoded",NA
"Royal Room","","425 N. Last Chance Gulch","Helena","MT","(M)","Bars/Clubs",1973,NA,"425 N. Last Chance Gulch, Helena, MT",-112.0369746,46.5912468,"425 n last chance gulch, helena, mt 59601, usa","Geocoded",NA
"Royal Room ","","425 N. Last Chance Gulch","Helena","MT","(M)","Bars/Clubs",1974,NA,"425 N. Last Chance Gulch, Helena, MT",-112.0369746,46.5912468,"425 n last chance gulch, helena, mt 59601, usa","Geocoded",NA
"Sambo's ","","3rd & Central","Great Falls","MT","(M),(R),(C),(AH)","Restaurant",1978,NA,"3rd & Central, Great Falls, MT",-95.712891,37.09024,"122 south 3rd street, independence, ks 67301, usa","Geocoded",NA
"Scotch 'n' Soda  ","","319 1st Ave. N.","Great Falls","MT","(*),(M)","",1980,NA,"319 1st Ave. N., Great Falls, MT",-111.3012566,47.5065592,"319 1st ave n, great falls, mt 59401, usa","Geocoded",NA
"Silk 'n' Saddle","","20 N. 3rd","Great Falls","MT","(M),(R)","Restaurant",1974,NA,"20 N. 3rd, Great Falls, MT",-111.2729171,47.5084639,"3rd ave n & 20th st n, great falls, mt 59401, usa","Geocoded",NA
"Silk 'n' Saddle ","","20 N. 3rd","Great Falls","MT","(M),(R)","Restaurant",1973,NA,"20 N. 3rd, Great Falls, MT",-111.2729171,47.5084639,"3rd ave n & 20th st n, great falls, mt 59401, usa","Geocoded",NA
"Silk n' Saddle","","20 N. 3rd","Great Falls","MT","(R),(M)","Restaurant",1972,NA,"20 N. 3rd, Great Falls, MT",-111.2729171,47.5084639,"3rd ave n & 20th st n, great falls, mt 59401, usa","Geocoded",NA
"Sportsman's Club","(Some W, YC, G)","2014 1st Ave So. ","Great Falls","MT","(P),(*),(D),(S),(W),(YC),(G)","Bars/Clubs",1978,NA,"2014 1st Ave So. , Great Falls, MT",-111.272087,47.503731,"2014 1st ave s, great falls, mt 59401, usa","Geocoded",NA
"Stockman's","","2811 Montana ","Billings","MT","(M)","Bars/Clubs",1965,NA,"2811 Montana , Billings, MT",-108.5055588,45.7811546,"2811 montana ave, billings, mt 59101, usa","Geocoded",NA
"Top Hat","","134 Front St. ","Missoula","MT","(M),(*)","Bars/Clubs",1978,NA,"134 Front St. , Missoula, MT",-113.9960609,46.8706744,"134 w front st, missoula, mt 59802, usa","Geocoded",NA
