"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Barrymore's","(In alley)","124 N. 13th St.","Lincoln","NE","(M)","Bars/Clubs",1979,NA,"124 N. 13th St., Lincoln, NE",-96.7022006,40.8142299,"124 n 13th st, lincoln, ne 68508, usa","Geocoded",NA
"Barrymore's","(In alley)","124 N. 13th St.","Lincoln","NE","(M)","Bars/Clubs",1980,NA,"124 N. 13th St., Lincoln, NE",-96.7022006,40.8142299,"124 n 13th st, lincoln, ne 68508, usa","Geocoded",NA
"Bud's Tavern","(Disco)","106 W. 4th St.","Grand Island","NE","(*),(S),(D),(YC)","Bars/Clubs",1980,NA,"106 W. 4th St., Grand Island, NE",-98.3422555,40.9284455,"106 w 4th st, grand island, ne 68801, usa","Geocoded",NA
"Casey's Other Place","","1020 'P' St.","Lincoln","NE","(M),(HIP),(YC),(*)","Bars/Clubs",1976,NA,"1020 'P' St., Lincoln, NE",-96.706581,40.814757,"1020 p st, lincoln, ne 68508, usa","Geocoded",NA
"Casey's Other Place","","1020 'P' Street","Lincoln","NE","(M),(HIP),(YC),(*)","Bars/Clubs",1977,NA,"1020 'P' Street, Lincoln, NE",-96.706581,40.814757,"1020 p st, lincoln, ne 68508, usa","Geocoded",NA
"Casey's Other Place","","1020 'P' St","Lincoln","NE","(M),(HIP),(YC),(*)","Bars/Clubs",1978,NA,"1020 'P' St, Lincoln, NE",-96.706581,40.814757,"1020 p st, lincoln, ne 68508, usa","Geocoded",NA
"Cave","(basement of Hill Hotel)","505 S. 16th St.","Omaha","NE","(YC),(D),(*)","Bars/Clubs,Hotels",1970,NA,"505 S. 16th St., Omaha, NE",-95.9368843,41.2550803,"505 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave","(basement of Hill Hotel)","505 S. 16th St.","Omaha","NE","(YC),(D),(*)","Bars/Clubs,Hotels",1971,NA,"505 S. 16th St., Omaha, NE",-95.9368843,41.2550803,"505 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave Club","(downstairs - 'Under the Hill' hotel)","506 S. 16th St.","Omaha","NE","(*)","Bars/Clubs,Hotels",1972,NA,"506 S. 16th St., Omaha, NE",-95.9372041,41.25517,"506 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave Club","(downstairs - 'Under the Hill' hotel)","506 S. 16th St.","Omaha","NE","(YC),(HIP),(D),(*)","Bars/Clubs,Hotels",1973,NA,"506 S. 16th St., Omaha, NE",-95.9372041,41.25517,"506 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave Club","(downstairs - 'Under the Hill' hotel)","506 S. 16th St.","Omaha","NE","(YC),(HIP),(D),(*)","Bars/Clubs,Hotels",1974,NA,"506 S. 16th St., Omaha, NE",-95.9372041,41.25517,"506 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave Club","(downstairs - 'Under the Hill' Hotel . . . Upstairs bar is (M))","506 S. 16th St.","Omaha","NE","(HIP),(YC),(D),(*),(M)","Bars/Clubs,Hotels",1975,NA,"506 S. 16th St., Omaha, NE",-95.9372041,41.25517,"506 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave Club","(downstairs - 'Under the Hill' Hotel . . . Upstairs bar is (M))","506 S. 16th St.","Omaha","NE","(HIP),(YC),(D),(*)","Bars/Clubs",1976,NA,"506 S. 16th St., Omaha, NE",-95.9372041,41.25517,"506 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave Club","('Under the HIll' Hotel -- upstairs bar is (M))","506 S. 16th Street","Omaha","NE","(YC),(D),(*)","Hotels,Bars/Clubs",1977,NA,"506 S. 16th Street, Omaha, NE",-95.9372041,41.25517,"506 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave Club","('Under the Hill' Hotel - upstairs bar is (M)(RT)) (Many G)","506 S. 16th St.","Omaha","NE","(G),(D),(WE),(*),(M),(RT)","Bars/Clubs,Hotels",1978,NA,"506 S. 16th St., Omaha, NE",-95.9372041,41.25517,"506 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave Club","(Many G) ('Under the Hill' Hotel - upstairs Bar is M-RT)","506 S. 16th St.","Omaha","NE","(G),(D),(M),(RT)","Hotels,Bars/Clubs",1979,NA,"506 S. 16th St., Omaha, NE",-95.9372041,41.25517,"506 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cave Club","(Many L)('Under the HIll' Hotel)(May be closing)(Upstairs Bar is M - RT)","506 S. 16th St. ","Omaha","NE","(L),(D),(M),(RT)","Bars/Clubs,Hotels",1980,NA,"506 S. 16th St. , Omaha, NE",-95.9372041,41.25517,"506 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Cottonwood Room","(downstairs - thru lobby - circular bar only) Radisson-Blackstone Hotel","302 S. 36th St.","Omaha","NE","(M),(PE)","Bars/Clubs,Hotels",1972,NA,"302 S. 36th St., Omaha, NE",-95.9666939,41.2574716,"302 s 36th st, omaha, ne 68131, usa","Geocoded",NA
"Cottonwood Room","(downstairs - thru lobby - circular bar only) Radisson-Blackstone Hotel","302 S. 36th St.","Omaha","NE","(M),(PE)","Bars/Clubs,Hotels",1973,NA,"302 S. 36th St., Omaha, NE",-95.9666939,41.2574716,"302 s 36th st, omaha, ne 68131, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St.","Omaha","NE","(*)","Bars/Clubs",1965,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St.","Omaha","NE","(*)","Bars/Clubs",1966,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St.","Omaha","NE","(RT)","Bars/Clubs",1968,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St.","Omaha","NE","(RT)","Bars/Clubs",1969,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St. ","Omaha","NE","(RT)","",1970,NA,"516 S. 16th St. , Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St. ","Omaha","NE","(RT)","",1971,NA,"516 S. 16th St. , Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St.","Omaha","NE","(*)","Bars/Clubs",1972,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St.","Omaha","NE","(*)","Bars/Clubs",1973,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St.","Omaha","NE","(*)","Bars/Clubs",1974,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","","516 S. 16th St.","Omaha","NE","(W),(SM),(*)","Bars/Clubs",1975,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","(Nebraska's friendliest bar has new enlarged facilities) (some W, SM)","516 S. 16th St.","Omaha","NE","(W),(SM),(*)","Bars/Clubs",1976,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","(Nebraska's friendliest -- good afternoons) (Some SM)","516 S. 16th","Omaha","NE","(W),(SM),(*)","Bars/Clubs",1977,NA,"516 S. 16th, Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","(Some SM) (Good afternoons)","516 S. 16th","Omaha","NE","(W),(SM)","Bars/Clubs",1978,NA,"516 S. 16th, Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","(Some W, SM) (Good Afternoons)","516 S. 16th St.","Omaha","NE","(W),(SM),(*)","Bars/Clubs",1979,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Diamond Bar","(Some W, SM) (Good afternoons)","516 S. 16th St.","Omaha","NE","(W),(SM)","Bars/Clubs",1980,NA,"516 S. 16th St., Omaha, NE",-95.9375613,41.2547427,"516 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Dirt Cheap","(Head shop & Books)","227 N. 11th St.","Lincoln","NE","","Book Store,Business",1980,NA,"227 N. 11th St., Lincoln, NE",-96.7055069,40.8150553,"227 n 11th st, lincoln, ne 68508, usa","Geocoded",NA
"Holiday Inn - N.E. Bar","","5250 Cornhusker Hwy.","Lincoln","NE","(M)","Hotels,Bars/Clubs",1976,NA,"5250 Cornhusker Hwy., Lincoln, NE",-96.6488626,40.8558023,"5250 cornhusker hwy, lincoln, ne 68504, usa","Geocoded",NA
"Holiday Inn - N.E. Bar","","5250 Cornhusker Highway","Lincoln","NE","(M)","Bars/Clubs,Hotels",1977,NA,"5250 Cornhusker Highway, Lincoln, NE",-96.6488626,40.8558023,"5250 cornhusker hwy, lincoln, ne 68504, usa","Geocoded",NA
"Holiday Inn - N.E. Bar","","5250 Cornhusker Hwy.","Lincoln","NE","(M)","Hotels,Bars/Clubs",1978,NA,"5250 Cornhusker Hwy., Lincoln, NE",-96.6488626,40.8558023,"5250 cornhusker hwy, lincoln, ne 68504, usa","Geocoded",NA
"Paintin Place","(Military)","1500 J.F.K. Drive","Bellevue","NE","(M)","Bars/Clubs",1979,NA,"1500 J.F.K. Drive, Bellevue, NE",-95.9132446,41.1454423,"1500 john f kennedy dr, bellevue, ne 68005, usa","Geocoded",NA
"Paintin' Place","(Military)","1500 J.F.K. Drive","Bellevue","NE","(M)","Bars/Clubs",1980,NA,"1500 J.F.K. Drive, Bellevue, NE",-95.9132446,41.1454423,"1500 john f kennedy dr, bellevue, ne 68005, usa","Geocoded",NA
"Red Baron","(Disco)","2623 S. Locust","Grand Island","NE","(M)","Bars/Clubs",1980,NA,"2623 S. Locust, Grand Island, NE",-98.339761,40.8964432,"2623 s locust st, grand island, ne 68801, usa","Geocoded",NA
"Ron-De-Voo","","505 S. 16th St. ","Omaha","NE","(*)","Bars/Clubs",1965,NA,"505 S. 16th St. , Omaha, NE",-95.9368843,41.2550803,"505 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Ron-De-Voo","","505 S. 16th St. ","Omaha","NE","(*)","Bars/Clubs",1966,NA,"505 S. 16th St. , Omaha, NE",-95.9368843,41.2550803,"505 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Ron-De-Voo","","505 S. 16th St. ","Omaha","NE","(*)","Bars/Clubs",1968,NA,"505 S. 16th St. , Omaha, NE",-95.9368843,41.2550803,"505 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Ron-De-Voo","","505 S. 16th St. ","Omaha","NE","(*)","Bars/Clubs",1969,NA,"505 S. 16th St. , Omaha, NE",-95.9368843,41.2550803,"505 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Ron-De-Voo","HIll Hotel","505 S. 16th St.","Omaha","NE","(M)","Bars/Clubs,Hotels",1970,NA,"505 S. 16th St., Omaha, NE",-95.9368843,41.2550803,"505 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Ron-De-Voo","HIll Hotel","505 S. 16th St.","Omaha","NE","(M)","Bars/Clubs,Hotels",1971,NA,"505 S. 16th St., Omaha, NE",-95.9368843,41.2550803,"505 s 16th st, omaha, ne 68102, usa","Geocoded",NA
"Spigot","","304 S. 13th St.","Lincoln","NE","(M)","Bars/Clubs",1970,NA,"304 S. 13th St., Lincoln, NE",-96.7024624,40.8111392,"304 s 13th st, lincoln, ne 68508, usa","Geocoded",NA
"Spigot","","304 S. 13th St.","Lincoln","NE","(M)","Bars/Clubs",1971,NA,"304 S. 13th St., Lincoln, NE",-96.7024624,40.8111392,"304 s 13th st, lincoln, ne 68508, usa","Geocoded",NA
"Spigot","","304 S. 13th St.","Lincoln","NE","(M)","Bars/Clubs",1972,NA,"304 S. 13th St., Lincoln, NE",-96.7024624,40.8111392,"304 s 13th st, lincoln, ne 68508, usa","Geocoded",NA
"Spigot","","304 S. 13th St.","Lincoln","NE","(M)","Bars/Clubs",1973,NA,"304 S. 13th St., Lincoln, NE",-96.7024624,40.8111392,"304 s 13th st, lincoln, ne 68508, usa","Geocoded",NA
"Spigot","","304 S. 13th St.","Lincoln","NE","(M)","Bars/Clubs",1974,NA,"304 S. 13th St., Lincoln, NE",-96.7024624,40.8111392,"304 s 13th st, lincoln, ne 68508, usa","Geocoded",NA
