"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"3241 Club Baths","(upstairs above the Saimore)","3241 Lafayette Rd.","Portsmouth","NH","(*)","Baths",1973,NA,"3241 Lafayette Rd., Portsmouth, NH",-70.7962246,43.0232094,"3241 lafayette rd, portsmouth, nh 03801, usa","Geocoded",NA
"Akropolis","(above Fran's Rio)","77 Daniel St.","Portsmouth","NH","(G),(D),(P)","Bars/Clubs",1973,NA,"77 Daniel St., Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Akropolis","(upstairs - above Big Daddy's)","77 Daniel St.","Portsmouth","NH","(P),(D),(YC),(*)","Bars/Clubs",1974,NA,"77 Daniel St., Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Appletree Book Store","","24 Warren St. ","Concord","NH","(M)","Book Store",1980,NA,"24 Warren St. , Concord, NH",-71.5369704,43.2050509,"24 warren st, concord, nh 03301, usa","Geocoded",NA
"Chateau Lounge","","201 Hanover St.","Manchester","NH","(M),(OC),(R)","Restaurant",1977,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa","Geocoded",NA
"Chateau Lounge","","201 Hanover St.","Manchester","NH","(M),(OC)","Restaurant",1978,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa","Geocoded",NA
"Chateau Lounge","","201 Hanover St.","Manchester","NH","(M),(R),(OC)","Restaurant",1979,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa","Geocoded",NA
"Chateau Restaurant Lounge","","201 Hanover St.","Manchester","NH","(M),(*)","Restaurant",1972,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa","Geocoded",NA
"Chateau Restaurant Lounge","","201 Hanover St.","Manchester","NH","(M),(*)","Restaurant",1973,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa","Geocoded",NA
"Chateau Restaurant Lounge","","201 Hanover St.","Manchester","NH","(M)","Restaurant",1974,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa","Geocoded",NA
"Chateau Restaurant Lounge","","201 Hanover St.","Manchester","NH","(M)","Restaurant",1975,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa","Geocoded",NA
"Chateau Restaurant Lounge","","201 Hanover St.","Manchester","NH","(M),(OC),(R)","Restaurant",1976,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa","Geocoded",NA
"Del's ","","128 Maple","Manchester","NH","(G)","Bars/Clubs",1972,NA,"128 Maple, Manchester, NH",-71.4531502,42.9771698,"128 maple st, manchester, nh 03103, usa","Geocoded",NA
"Del's ","","128 Maple","Manchester","NH","(G)","Bars/Clubs",1973,NA,"128 Maple, Manchester, NH",-71.4531502,42.9771698,"128 maple st, manchester, nh 03103, usa","Geocoded",NA
"Elbow Room","","201 Merrimack","Manchester","NH","(P),(YC),(R)","Restaurant",1977,NA,"201 Merrimack, Manchester, NH",-71.4577881,42.9891115,"201 merrimack st, manchester, nh 03103, usa","Geocoded",NA
