"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(Snacks)","312 Cookman Ave.","Asbury Park","NJ","(D)","Bars/Clubs",1980,NA,"312 Cookman Ave., Asbury Park, NJ","-74.0063885",40.2175588,"312 cookman ave, asbury park, nj 07712, usa","Geocoded",NA,NA
"","707 Bangs Ave.","Asbury Park","NJ","(OC),(E)","Bars/Clubs",1980,NA,"707 Bangs Ave., Asbury Park, NJ","-74.0118049",40.2174449,"707 bangs ave, asbury park, nj 07712, usa","Geocoded",NA,NA
"('Flicks' & beer - open all year)","500 Summerfield Ave.","Asbury Park","NJ","(P),(*)","Baths",1980,NA,"500 Summerfield Ave., Asbury Park, NJ","-74.0081964",40.2172155,"500 summerfield ave, asbury park, nj 07712, usa","Geocoded",NA,NA
"","409 Cookman","Asbury Park","NJ","(H)","Hotels",1980,NA,"409 Cookman, Asbury Park, NJ","-74.0070754",40.2174914,"409 cookman ave, asbury park, nj 07712, usa","Geocoded",NA,NA
"(Some YC, L, B) (Several floors) (Disco) (Swim pool)","611 Heck St. just off Cookman","Asbury Park","NJ","(YC),(L),(B),(D),(S),(*)","Bars/Clubs",1980,NA,"611 Heck St. just off Cookman, Asbury Park, NJ","-74.0062508",40.2176553,"611 heck st, asbury park, nj 07712, usa","Geocoded",NA,NA
"","Cookman St.","Asbury Park","NJ","(R),(C),(AH)","Restaurant",1980,NA,"Cookman St., Asbury Park, NJ","-74.0088886",40.2165722,"cookman ave, asbury park, nj 07712, usa","Geocoded",NA,NA
"(Disco) (Macho)","427 Cookman Ave.","Asbury Park","NJ","(D),(*)","Bars/Clubs",1980,NA,"427 Cookman Ave., Asbury Park, NJ","-74.007371",40.217401,"427 cookman ave, asbury park, nj 07712, usa","Geocoded",NA,NA
"(Open all night) (Best late after others close)","12 S. Mt. Vernon Ave.","Atlantic City","NJ","(*),(D)","Bars/Clubs",1980,NA,"12 S. Mt. Vernon Ave., Atlantic City, NJ","-74.4310387",39.3602778,"12 s mt vernon ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"","205 S. New York Ave.","Atlantic City","NJ","(S),(D)","Bars/Clubs",1980,NA,"205 S. New York Ave., Atlantic City, NJ","-74.4268329",39.358181,"205 s new york ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"","132 S. New York Ave.","Atlantic City","NJ","(H)","Hotels",1980,NA,"132 S. New York Ave., Atlantic City, NJ","-74.4278809",39.3589343,"132 s new york ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"(Best all year bar side entrance or through hotel)","132 S. New York Ave.","Atlantic City","NJ","(YC),(*),(D)","Bars/Clubs,Hotels",1980,NA,"132 S. New York Ave., Atlantic City, NJ","-74.4278809",39.3589343,"132 s new york ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"","149 S. Kentucky Ave.","Atlantic City","NJ","","Baths",1980,NA,"149 S. Kentucky Ave., Atlantic City, NJ","-74.4284006",39.3578605,"149 s kentucky ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"","116 S. Carolina Ave.","Atlantic City","NJ","(*),(H)","Hotels",1980,NA,"116 S. Carolina Ave., Atlantic City, NJ","-74.4255037",39.3601127,"116 s south carolina ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"","117 S. Westminster","Atlantic City","NJ","","Bars/Clubs",1980,NA,"117 S. Westminster, Atlantic City, NJ","-74.428383",39.359079,"117 westminster ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"an alley off New York nr. the Boardwalk","169 S. Westminster","Atlantic City","NJ","(OC)","Bars/Clubs",1980,NA,"169 S. Westminster, Atlantic City, NJ","-74.4273391",39.3576739,"169 westminster ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"(Includes 'After Dark' Show-Biz Cabaret, Studio V Disco & Copacabana 'deck bar')","149 S. Kentucky Ave.","Atlantic City","NJ","(*),(H),(S),(E),(R)","Restaurant,Bars/Clubs,Hotels",1980,NA,"149 S. Kentucky Ave., Atlantic City, NJ","-74.4284006",39.3578605,"149 s kentucky ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"(Open all year)","122 S. New York Ave.","Atlantic City","NJ","(H),(*)","Hotels",1980,NA,"122 S. New York Ave., Atlantic City, NJ","-74.4280689",39.359205,"122 s new york ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"","145 S. New York Ave.","Atlantic City","NJ","(M),(H)","Hotels",1980,NA,"145 S. New York Ave., Atlantic City, NJ","-74.4275654",39.3592726,"145 s new york ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"","159 S. Westminster","Atlantic City","NJ","(P),(H)","Hotels",1980,NA,"159 S. Westminster, Atlantic City, NJ","-74.4276305",39.3581178,"159 westminster ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
"at the Boardwalk","174 S. New York Ave. ","Atlantic City","NJ","(YC),(D),(PT),(*)","Bars/Clubs",1980,NA,"174 S. New York Ave. , Atlantic City, NJ","-74.426763",39.3577981,"174 s new york ave, atlantic city, nj 08401, usa","Geocoded",NA,NA
