"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress"
"Adam's Den","(Disco)(Unisex)","4418 Central Ave. N.E.","Albuquerque","NM","(*),(HIP),(YC),(D)","Bars/Clubs",1980,NA,-106.6057974,35.0798915,"Geocoded",NA,NA,NA
"Albuquerque Social Club","(Height's) ($1.00 adm.) (Some L, Latins) (Disco-D-WE)","4021 Central Ave. N.E.","Albuquerque","NM","(*),(P),(L),(PT),(D),(WE)","Bars/Clubs",1980,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA
"Cricket Club","(L-only) (Sleazy)","5511 Central Ave. N.W.","Albuquerque","NM","(P),(D),(PT)","Bars/Clubs",1980,NA,-106.7003121,35.082563,"Geocoded",NA,NA,NA
"Foxe's","(Some W, YC) (Disco) (Open days)","8521 Central Ave. N.E.","Albuquerque","NM","(*),(W),(YC),(D),(PT)","Bars/Clubs",1980,NA,-106.5518372,35.0743528,"Geocoded",NA,NA,NA
"Madame Lovejoy's","(Books- crusiy arcade)","4217 Central Ave. N.E.","Albuquerque","NM","","Book Store,Cruising Areas",1980,NA,-106.5967446,35.0791649,"Geocoded",NA,NA,NA
"Pleasure Palace","(Books)","5205 Menaul N.E.","Albuquerque","NM","","Book Store",1980,NA,-106.5860917,35.1094432,"Geocoded",NA,NA,NA
"Evangelo's","at Alameda","200 W. San Francisco","Santa Fe","NM","(M)","Bars/Clubs",1980,NA,-105.9406939,35.6874507,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","(Best bet)","100 San Francisco","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1980,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"Senate","(Latins)","221 Galisteo","Santa Fe","NM","(M),(RT)","Bars/Clubs",1980,NA,-105.9409599,35.6860637,"Geocoded",NA,NA,NA
"Cricket Club","(G only)","5511 Central N.W.","Albuquerque","NM","(P),(G),(D),(PT)","Bars/Clubs",1979,NA,-106.7003121,35.082563,"Geocoded",NA,NA,NA
"Crusie Inn","","4223 Central Ave. N.E.","Albuquerque","NM","(H)","Hotels",1979,NA,-106.5964939,35.0790676,"Geocoded",NA,NA,NA
"Foxe's","(Some W, YC)(Disco) (Open days)","8521 Central Ave. N.E.","Albuquerque","NM","(*),(W),(YC),(D),(PT)","Bars/Clubs",1979,NA,-106.5518372,35.0743528,"Geocoded",NA,NA,NA
"Height's","(Unisex) (Disco)","4021 Central Ave. N.E.","Albuquerque","NM","(*),(HIP),(D),(PT)","Bars/Clubs",1979,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA
"Milt's Coffee Shop","","4500 Central Ave. S.E.","Albuquerque","NM","(M),(R)","Restaurant",1979,NA,-106.5940319,35.0783477,"Geocoded",NA,NA,NA
"Pleasure Palace ","(Books)","5205 Menaul N.E.","Albuquerque","NM","","Book Store",1979,NA,-106.5860917,35.1094432,"Geocoded",NA,NA,NA
"The Grinder","(Sandwiches)","111 Cornell S.E.","Albuquerque","NM","(M),(R)","Restaurant",1979,NA,-106.619782,35.0801076,"Geocoded",NA,NA,NA
"Evangelo's","at Alameda","200 W. San Francisco","Santa Fe","NM","(M)","Bars/Clubs",1979,NA,-105.9406939,35.6874507,"Geocoded",NA,NA,NA
