"ID","Title","description","streetaddress","city","state","amenityfeatures","type","Year","unclearaddress","uncleartype","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
3,"Eightballs Lounge","(Disco) (3-1-79: Biz must be off as they have't paid me?)","369 Central Ave.","Albany","NY","(YC),(D)","Baths",1980,NA,"","","2/18/2020 10:27am","7/27/2020 11:34am","369 Central Ave., Albany, NY","-73.7739629","42.6664037","369 central ave, albany, ny 12206, usa","Geocoded"
2,"Club Capital","(Baths)","351 Central Ave.","Albany","NY","(P)","Baths",1980,NA,"","","2/18/2020 10:27am","7/27/2020 11:35am","351 Central Ave., Albany, NY","-73.773385","42.666071","351 central ave, albany, ny 12206, usa","Geocoded"
1,"Central Station","('Mixed bag'- looking up) (Some YC)","76 Central Ave.","Albany","NY","(YC),(*)","Bars/Clubs",1980,NA,"","","2/18/2020 10:27am","7/27/2020 11:35am","76 Central Ave., Albany, NY","-73.7664709","42.6590586","76 central ave, albany, ny 12206, usa","Geocoded"
4,"Gay Community Center","(Snacks & C)","332 Hudson Ave.","Albany","NY","","Organizations",1980,NA,"","","2/18/2020 10:39am","7/27/2020 11:35am","332 Hudson Ave., Albany, NY","-73.7655537","42.653269","332 hudson ave, albany, ny 12210, usa","Geocoded"
5,"Le Chancerie","(Disco)","439 N. Pearl St.","Albany","NY","(D)","Bars/Clubs",1980,NA,"","","2/18/2020 10:39am","7/27/2020 11:35am","439 N. Pearl St., Albany, NY","-73.7435072","42.6649585","439 n pearl st, menands, ny 12204, usa","Geocoded"
7,"Playhouse","(Cruisy)","519 Central Ave.","Albany","NY","(D),(*)","Bars/Clubs,Cruising Areas",1980,NA,"","","2/18/2020 10:39am","7/27/2020 11:35am","519 Central Ave., Albany, NY","-73.778183","42.670101","519 central ave, albany, ny 12206, usa","Geocoded"
6,"Pent House","(Good days- Some midnight cowboys')","90 Central Ave.","Albany","NY","(PT),(D),(*)","Bars/Clubs",1980,NA,"","","2/18/2020 10:39am","7/27/2020 11:35am","90 Central Ave., Albany, NY","-73.7667352","42.659367","90 central ave, albany, ny 12206, usa","Geocoded"
8,"Zelda's","(Disco)","425 Central Ave.","Albany","NY","(YC),(D)","Bars/Clubs",1980,NA,"","","2/18/2020 10:39am","7/27/2020 11:35am","425 Central Ave., Albany, NY","-73.7757017","42.6678869","425 central ave, albany, ny 12206, usa","Geocoded"
14,"C'Est Bon ","","2520 Merrick Rd.","Bellmore","NY","(OC),(*)","Bars/Clubs",1980,NA,"","Listed as Long Island","2/18/2020 11:37am","7/27/2020 11:35am","2520 Merrick Rd., Bellmore, NY","-73.5324719","40.6620889","2520 merrick rd, bellmore, ny 11710, usa","Geocoded"
15,"Pal Joey's ","","2475 Jerusalem Ave.","Bellmore","NY","(YC),(*)","Bars/Clubs",1980,NA,"","Listed as Long Island","2/18/2020 11:37am","7/27/2020 11:35am","2475 Jerusalem Ave., Bellmore, NY","-73.5406124","40.6911924","2475 jerusalem ave, north bellmore, ny 11710, usa","Geocoded"
17,"Lenny's","(Some YC, L) (Disco) (WE*)","201 State St.","Binghamton","NY","(YC),(L),(D),(WE),(*)","Bars/Clubs",1980,NA,"","","2/18/2020 11:37am","7/27/2020 11:35am","201 State St., Binghamton, NY","-75.9118006","42.1018782","201 state st, binghamton, ny 13901, usa","Geocoded"
16,"Cadillac","(Closed- May or may not be reopening?)","9 Main St.","Binghamton","NY","","Bars/Clubs",1980,NA,"","","2/18/2020 11:37am","7/27/2020 11:35am","9 Main St., Binghamton, NY","-75.9172638","42.098597","9 main st, binghamton, ny 13905, usa","Geocoded"
