"ID","title","description","streetaddress","city","state","Year","amenityfeatures","type","unclearaddress","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
2,"Flame","","403 Roberts St.","Fargo","ND",1980,"(M),(WE)","Bars/Clubs",NA,NA,"2/14/2020 5:08pm","2/15/2020 6:42pm","403 Roberts St., Fargo, ND","-96.7888939","46.8800967","403 roberts st n, fargo, nd 58102, usa","Geocoded"
3,"Pink Pussycat","","401 N. P Ave.","Fargo","ND",1980,"(M)","Bars/Clubs",NA,NA,"2/14/2020 5:08pm","2/15/2020 6:42pm","401 N. P Ave., Fargo, ND","-96.785004","46.876224","401 northern pacific ave, fargo, nd 58102, usa","Geocoded"
4,"Roundup Bar","","409 N. P Ave.","Fargo","ND",1980,"(M)","Bars/Clubs",NA,NA,"2/14/2020 5:08pm","2/15/2020 6:42pm","409 N. P Ave., Fargo, ND","-96.785254","46.876223","409 northern pacific ave, fargo, nd 58102, usa","Geocoded"
7,"Rayan Hotel Bar","","23 N. 3rd. ","Grand Forks","ND",1980,"(M)","Bars/Clubs,Hotels",NA,NA,"2/14/2020 5:08pm","2/15/2020 6:42pm","23 N. 3rd. , Grand Forks, ND","-97.031908","47.9254943","23 n 3rd st, grand forks, nd 58203, usa","Geocoded"
8,"Clance Parker Hotel Bar","","14 S.E. 1st ","Minot","ND",1980,"(M)","Bars/Clubs,Hotels",NA,NA,"2/14/2020 5:08pm","2/15/2020 6:42pm","14 S.E. 1st , Minot, ND","-101.291994","48.2218862","1st st se & 14th ave se, minot, nd 58701, usa","Geocoded"
11,"Adult Book Store & Cinema X ","(Cruisy)","417 N.P. Ave.","Fargo","ND",1979,"","Book Store,Theatre,Cruising Areas",NA,NA,"2/14/2020 5:08pm","2/15/2020 6:42pm","417 N.P. Ave., Fargo, ND","-96.7856448","46.876164","417 northern pacific ave, fargo, nd 58102, usa","Geocoded"
12,"Flame","","403 Roberts St.","Fargo","ND",1979,"(M),(W)","Bars/Clubs",NA,NA,"2/14/2020 5:08pm","2/15/2020 6:42pm","403 Roberts St., Fargo, ND","-96.7888939","46.8800967","403 roberts st n, fargo, nd 58102, usa","Geocoded"
14,"Rayan Hotel Bar","","23 N. 3rd. ","Grand Forks","ND",1979,"(M)","Bars/Clubs,Hotels",NA,NA,"2/14/2020 5:08pm","2/15/2020 6:42pm","23 N. 3rd. , Grand Forks, ND","-97.031908","47.9254943","23 n 3rd st, grand forks, nd 58203, usa","Geocoded"
15,"Clance Parker Hotel Bar","","14 S.E. 1st ","Minot","ND",1979,"(M)","Bars/Clubs,Hotels",NA,NA,"2/14/2020 5:08pm","2/15/2020 6:42pm","14 S.E. 1st , Minot, ND","-101.291994","48.2218862","1st st se & 14th ave se, minot, nd 58701, usa","Geocoded"
18,"Adult Book Store & Cinema X ","","417 N.P. Ave.","Fargo","ND",1978,"","Book Store,Theatre",NA,NA,"2/14/2020 5:20pm","2/15/2020 6:42pm","417 N.P. Ave., Fargo, ND","-96.7856448","46.876164","417 northern pacific ave, fargo, nd 58102, usa","Geocoded"
19,"Chatterbox","","501 N.P. Ave.","Fargo","ND",1978,"(M)","Bars/Clubs",NA,NA,"2/14/2020 5:20pm","2/15/2020 6:42pm","501 N.P. Ave., Fargo, ND","-96.7861605","46.8759279","501 northern pacific ave, fargo, nd 58102, usa","Geocoded"
20,"Flame","","408 Robert St.","Fargo","ND",1978,"(M)","Bars/Clubs",NA,NA,"2/14/2020 5:20pm","2/15/2020 6:42pm","408 Robert St., Fargo, ND","-96.7891617","46.8805779","408 roberts st n, fargo, nd 58102, usa","Geocoded"
23,"Rayan Hotel Bar","","23 N. 3rd. ","Grand Forks","ND",1978,"(M)","Bars/Clubs,Hotels",NA,NA,"2/14/2020 5:20pm","2/15/2020 6:42pm","23 N. 3rd. , Grand Forks, ND","-97.031908","47.9254943","23 n 3rd st, grand forks, nd 58203, usa","Geocoded"
25,"Clance Parker Hotel Bar","","14 S.E. 1st ","Minot","ND",1978,"(M)","Bars/Clubs,Hotels",NA,NA,"2/14/2020 5:24pm","2/15/2020 6:42pm","14 S.E. 1st , Minot, ND","-101.291994","48.2218862","1st st se & 14th ave se, minot, nd 58701, usa","Geocoded"
28,"Gaslight Lounge","Graver Hotel","123 Roberts St.","Fargo","ND",1977,"(M),(W)","Bars/Clubs,Hotels",NA,NA,"2/14/2020 5:24pm","2/15/2020 6:42pm","123 Roberts St., Fargo, ND","-96.7893648","46.8777375","123 roberts st n, fargo, nd 58102, usa","Geocoded"
29,"Take Five","(Some G) (Best bet in the Dakotas!)","520 2nd Ave. N.","Fargo","ND",1977,"(D),(G),(*)","Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","520 2nd Ave. N., Fargo, ND","-96.7867504","46.8778064","520 2nd ave n, fargo, nd 58102, usa","Geocoded"
30,"Rayan Hotel Bar","","23 N. 3rd. ","Grand Forks","ND",1977,"(M)","Hotels,Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","23 N. 3rd. , Grand Forks, ND","-97.031908","47.9254943","23 n 3rd st, grand forks, nd 58203, usa","Geocoded"
32,"Clance Parker Hotel Bar","","14 S.E. 1st ","Minot","ND",1977,"(M)","Bars/Clubs,Hotels",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","14 S.E. 1st , Minot, ND","-101.291994","48.2218862","1st st se & 14th ave se, minot, nd 58701, usa","Geocoded"
35,"Gaslight Lounge","Graver Hotel","123 Roberts St.","Fargo","ND",1976,"(M),(W)","Bars/Clubs,Hotels",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","123 Roberts St., Fargo, ND","-96.7893648","46.8777375","123 roberts st n, fargo, nd 58102, usa","Geocoded"
36,"Take Five","","205 Broadway","Fargo","ND",1976,"","Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","205 Broadway, Fargo, ND","-96.7873669","46.878083","205 broadway n, fargo, nd 58102, usa","Geocoded"
37,"Rayan Hotel","","23 N. 3rd.","Grand Forks","ND",1976,"","Hotels,Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","23 N. 3rd., Grand Forks, ND","-97.031908","47.9254943","23 n 3rd st, grand forks, nd 58203, usa","Geocoded"
