"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","1339 E. Market","Akron","OH","(*)","Baths",1980,"","1339 E. Market, Akron, OH",-81.479264,41.064209,"1339 e market st, akron, oh 44305, usa","Geocoded",NA,NA
"(Some L) ","77 N. Adams","Akron","OH","(L),(D),(*)","Bars/Clubs",1980,"","77 N. Adams, Akron, OH",-81.4980166,41.0799241,"77 n adams st, akron, oh 44304, usa","Geocoded",NA,NA
"","2727 Manchester Rd.","Akron","OH","(M),(R),(C),(AH)","Restaurant",1980,"","2727 Manchester Rd., Akron, OH",-81.5484585,41.02465,"2727 manchester rd, akron, oh 44319, usa","Geocoded",NA,NA
"(Use rear door)","839 S. Arlington","Akron","OH","(L),(D)","Bars/Clubs",1980,"","839 S. Arlington, Akron, OH",-81.4907543,41.0492523,"839 s arlington st, akron, oh 44306, usa","Geocoded",NA,NA
"(Disco) (go go boys)","259 E. Market St.","Akron","OH","(D)","Bars/Clubs",1980,"","259 E. Market St., Akron, OH",-81.50933,41.0825232,"259 e market st, akron, oh 44308, usa","Geocoded",NA,NA
"(Some L) (Disco) (Snacks)","1432 W. Tuscararas","Canton","OH","(*),(S),(E),(L),(D)","Bars/Clubs",1980,"","1432 W. Tuscararas, Canton, OH",-81.3889217,40.8002391,"1432 tuscarawas st w, canton, oh 44702, usa","Geocoded",NA,NA
"","540 Walnut Ave N.E","Canton","OH","(YC),(D),(PT)","Bars/Clubs",1980,"","540 Walnut Ave N.E, Canton, OH",-81.3714645,40.8011468,"540 walnut ave ne, canton, oh 44702, usa","Geocoded",NA,NA
"(Disco-D-WE-Upstairs)","217 Calhoun St. ","Cincinnati","OH","(L),(D),(WE),(*)","Bars/Clubs",1980,"","217 Calhoun St. , Cincinnati, OH",-84.5155149,39.128031,"217 calhoun st, cincinnati, oh 45219, usa","Geocoded",NA,NA
"(Super complex-many rooms & bars. Some YC,W,SM, Something for everyone) (Cruisy) (Recently remodeled)","419 Plum St.","Cincinnati","OH","(*),(YC),(W),(SM),(AH),(WE)","Bars/Clubs,Cruising Areas",1980,"","419 Plum St., Cincinnati, OH",-84.5178974,39.0999009,"419 plum st, cincinnati, oh 45202, usa","Geocoded",NA,NA
"(Some L) (Good cocktail hour) ","340 Ludlow","Cincinnati","OH","(R),(L)","Restaurant,Bars/Clubs",1980,"","340 Ludlow, Cincinnati, OH",-84.5210925,39.1439198,"340 ludlow ave, cincinnati, oh 45220, usa","Geocoded",NA,NA
"","65 E. Hollister","Cincinnati","OH","","Church",1980,"","65 E. Hollister, Cincinnati, OH",-84.5101344,39.1253865,"65 e hollister st, cincinnati, oh 45219, usa","Geocoded",NA,NA
"nr Ludlow","3221 Clifton ","Cincinnati","OH","(M),(R),(C),(AH)","Restaurant",1980,"","3221 Clifton , Cincinnati, OH",-84.5194864,39.1406571,"3221 clifton ave, cincinnati, oh 45220, usa","Geocoded",NA,NA
"(Some 'Hustlers') (Open Sun.)","428 Walnut","Cincinnati","OH","","Bars/Clubs",1980,"","428 Walnut, Cincinnati, OH",-84.5111157,39.1009336,"428 walnut st, cincinnati, oh 45202, usa","Geocoded",NA,NA
"(4th floor best)","1105 Elm St.","Cincinnati","OH","(M),(H)","Hotels",1980,"","1105 Elm St., Cincinnati, OH",-84.5184095,39.1067992,"1105 elm st, cincinnati, oh 45202, usa","Geocoded",NA,NA
"(Newly modeled with 'whirlpool')","1448 W. 32nd St. ","Cleveland","OH","","Baths",1980,"","1448 W. 32nd St. , Cleveland, OH",-81.71273,41.488465,"1448 w 32nd st, cleveland, oh 44113, usa","Geocoded",NA,NA
"(Baths)","1293 W. 9th","Cleveland","OH","(*),(YC),(P)","Bars/Clubs",1980,"","1293 W. 9th, Cleveland, OH",-81.7004539,41.499484,"1293 w 9th st, cleveland, oh 44113, usa","Geocoded",NA,NA
"(Disco) ","1762 E. 18th St. ","Cleveland","OH","(YC),(D),(*)","Bars/Clubs",1980,"","1762 E. 18th St. , Cleveland, OH",-81.679799,41.5039881,"1762 e 18th st, cleveland, oh 44114, usa","Geocoded",NA,NA
"","1014 E. 63rd St","Cleveland","OH","(D),(L)","Bars/Clubs",1980,"","1014 E. 63rd St, Cleveland, OH",-81.6477077,41.5250818,"1014 e 63rd st, cleveland, oh 44103, usa","Geocoded",NA,NA
"(Drags)","2402 E. St. Claire Ave","Cleveland","OH","(D),(RT),(S)","Bars/Clubs",1980,"","2402 E. St. Claire Ave, Cleveland, OH",-81.6760557,41.5103306,"2402 st clair ave ne, cleveland, oh 44114, usa","Geocoded",NA,NA
"(Looks like a winner)","1946 St. Claire Ave.","Cleveland","OH","(W),(SM),(OC)","Baths",1980,"","1946 St. Claire Ave., Cleveland, OH",-81.6803551,41.5084898,"1946 st clair ave ne, cleveland, oh 44114, usa","Geocoded",NA,NA
"(Closes 1 am) (Enter thru redwood fence marked 'private')","2203 E. St. Claire Ave","Cleveland","OH","(SM),(W),(WE),(*)","Bars/Clubs",1980,"","2203 E. St. Claire Ave, Cleveland, OH",-81.6642351,41.5167506,"2203 st clair ave., cleveland, oh 44103, usa","Geocoded",NA,NA
"","1614 Prospect","Cleveland","OH","(M)","Theatre",1980,"","1614 Prospect, Cleveland, OH",-81.6793893,41.4994564,"1614 prospect ave e, cleveland, oh 44115, usa","Geocoded",NA,NA
"(Lakewood)","11633 Clifton ","Lakewood","OH","(M),(PE),(OC)","Bars/Clubs",1980,"","11633 Clifton , Lakewood, OH",-81.768405,41.4872491,"11633 clifton blvd, cleveland, oh 44102, usa","Geocoded",NA,NA
"(Use rear entrance) (Shaker Heights)","2775 S. Moreland","Shaker Heights","OH","","Bars/Clubs",1980,"","2775 S. Moreland, Shaker Heights, OH",-81.5901988,41.4828338,"2775 s moreland blvd, cleveland, oh 44120, usa","Geocoded",NA,NA
"(Disco) (No neon sign) (Cruisy) (Men only)","620 Frankfort","Cleveland","OH","(YC),(D),(*)","Bars/Clubs,Cruising Areas",1980,"","620 Frankfort, Cleveland, OH",-81.6984483,41.498628,"620 frankfort ave, cleveland, oh 44113, usa","Geocoded",NA,NA
"(Disco) (Some L, M)","1273 W. 9th ","Cleveland","OH","(D),(YC),(L),(M),(*)","Bars/Clubs",1980,"","1273 W. 9th , Cleveland, OH",-81.7006722,41.4996814,"1273 w 9th st, cleveland, oh 44113, usa","Geocoded",NA,NA
"(Good Sundays)","1281 W. 9th St. ","Cleveland","OH","(R),(D),(*)","Restaurant",1980,"","1281 W. 9th St. , Cleveland, OH",-81.7006401,41.4996306,"1281 w 9th st, cleveland, oh 44113, usa","Geocoded",NA,NA
"('Drags') ('Hustlers')","1630 Payne Ave. ","Cleveland","OH","(D),(WE),(*)","Bars/Clubs",1980,"","1630 Payne Ave. , Cleveland, OH",-81.6809884,41.5042821,"1630 payne ave, cleveland, oh 44114, usa","Geocoded",NA,NA
"(Disco) (Looks promising) Granville Rd. (at Raintree Center)","2463 E. Dublin","Columbus","OH","(YC),(D)","Bars/Clubs",1980,"","2463 E. Dublin, Columbus, OH",-83.1026492,40.0041779,"2463 dublin rd, columbus, oh 43228, usa","Geocoded",NA,NA
"","1575 E. Livingston","Columbus","OH","(P),(YC),(*)","Baths",1980,"","1575 E. Livingston, Columbus, OH",-82.9555572,39.9488718,"1575 e livingston ave, columbus, oh 43205, usa","Geocoded",NA,NA
"(L Only) (May be closed)","210 Summit St. ","Columbus","OH","(L)","Bars/Clubs",1980,"","210 Summit St. , Columbus, OH",-83.0008834,40.0037143,"summit st, columbus, oh, usa","Geocoded",NA,NA
"(Disco) (Open Sundays)","232 N. 3rd","Columbus","OH","(D),(YC),(PT),(*)","Bars/Clubs",1980,"","232 N. 3rd, Columbus, OH",-82.9985039,39.9674042,"232 n 3rd st, columbus, oh 43215, usa","Geocoded",NA,NA
"","3442 Cleveland","Columbus","OH","(RT),(L)","Bars/Clubs",1980,"","3442 Cleveland, Columbus, OH",-82.9610403,40.0383167,"3442 cleveland ave, columbus, oh 43224, usa","Geocoded",NA,NA
"(Disco) (WE*)","1005 W. Broad St.","Columbus","OH","(YC),(D),(W),(WE),(*)","Bars/Clubs",1980,"","1005 W. Broad St., Columbus, OH",-83.0274213,39.9586882,"1005 w broad st, columbus, oh 43222, usa","Geocoded",NA,NA
"(Some W, SM, YC) (Open Sundays) (Cruisy) (Expanding)","117 E. Chestnut","Columbus","OH","(*),(W),(SM),(YC)","Bars/Clubs,Cruising Areas",1980,"","117 E. Chestnut, Columbus, OH",-82.9983244,39.9677824,"117 e chestnut st, columbus, oh 43215, usa","Geocoded",NA,NA
"(Some L)","2467 Cleveland","Columbus","OH","(L),(D),(S)","Bars/Clubs",1980,"","2467 Cleveland, Columbus, OH",-82.9654039,40.0176601,"2467 cleveland ave, columbus, oh 43211, usa","Geocoded",NA,NA
"(Cruisy) (Disco) Downstairs-The 'Loft' (We only-Upstairs*)","622 S. High St. ","Columbus","OH","(D),(PT),(SM),(W),(WE),(*)","Bars/Clubs,Cruising Areas",1980,"","622 S. High St. , Columbus, OH",-82.997639,39.949418,"622 s high st, columbus, oh 43215, usa","Geocoded",NA,NA
"","134 N. 2nd St. ","Coshocton","OH","(M),(YC),(R)","Restaurant",1980,"","134 N. 2nd St. , Coshocton, OH",-81.8685737,40.2742251,"134 n 2nd st, coshocton, oh 43812, usa","Geocoded",NA,NA
"(Looks promising)","6895 N. Dixie Dr.","Dayton","OH","","Baths",1980,"","6895 N. Dixie Dr., Dayton, OH",-84.1988924,39.831371,"6895 n dixie dr, dayton, oh 45414, usa","Geocoded",NA,NA
"","1136 S. Main","Dayton","OH","(M),(R),(C),(AH)","Restaurant",1980,"","1136 S. Main, Dayton, OH",-84.1866692,39.7419919,"1136 s main st, dayton, oh 45409, usa","Geocoded",NA,NA
"(Cruisy game room) (Snacks)","401 S. Ludlow","Dayton","OH","(*),(D),(PT),(E)","Bars/Clubs,Cruising Areas",1980,"","401 S. Ludlow, Dayton, OH",-84.192247,39.754338,"401 s ludlow st, dayton, oh 45402, usa","Geocoded",NA,NA
"(Tired-don't waste your time)","148 Salem Ave","Dayton","OH","","Bars/Clubs",1980,"","148 Salem Ave, Dayton, OH",-84.206679,39.763401,"148 salem ave, dayton, oh 45406, usa","Geocoded",NA,NA
"(Friendly downtown bar)","44 N. Jefferson","Dayton","OH","(*),(D)","Bars/Clubs",1980,"","44 N. Jefferson, Dayton, OH",-84.190007,39.760934,"44 n jefferson st, dayton, oh 45402, usa","Geocoded",NA,NA
"(Disco) (Some L) (WE*)","810 N. Main","Dayton","OH","(D),(L),(WE),(*)","Bars/Clubs",1980,"","810 N. Main, Dayton, OH",-84.1957788,39.7715321,"810 n main st, dayton, oh 45405, usa","Geocoded",NA,NA
"","531 W. State","Fremont","OH","","Bars/Clubs",1980,"","531 W. State, Fremont, OH",-83.1166896,41.3483883,"531 w state st, fremont, oh 43420, usa","Geocoded",NA,NA
"","14501 Detroit","Lakewood","OH","(M),(R),(*)","Restaurant",1980,"","14501 Detroit, Lakewood, OH",-81.795758,41.4852486,"14501 detroit ave, lakewood, oh 44107, usa","Geocoded",NA,NA
"(Disco) (Some L) ","1052 Broadway","Loraine","OH","(D),(L)","Bars/Clubs",1980,"","1052 Broadway, Loraine, OH",-82.1723177,41.4615459,"1052 broadway ave, lorain, oh 44052, usa","Geocoded",NA,NA
"(Occ. S) (Disco-WE) (Some L) at Main","15 E. 5th ","Mansfield","OH","(*),(R),(D),(PT),(S),(WE),(L)","Bars/Clubs,Restaurant",1980,"","15 E. 5th , Mansfield, OH",-82.5145808,40.7632454,"15 e 5th st, mansfield, oh 44902, usa","Geocoded",NA,NA
"","729 Mentor Ave. ","Painsville","OH","(M),(R),(E),(S),(WE),(*)","Restaurant,Bars/Clubs",1980,"","729 Mentor Ave. , Painsville, OH",-81.2582878,41.7136141,"729 mentor ave, painesville, oh 44077, usa","Geocoded",NA,NA
"(Disco)","202 N. Main","Piqua","OH","(D),(S),(P),(*)","Bars/Clubs",1980,"","202 N. Main, Piqua, OH",-84.2397957,40.1478061,"202 n main st, piqua, oh 45356, usa","Geocoded",NA,NA
"(Liquor) (Some L) (Cl. Sun. )","638 W. Main","Springfield","OH","(*),(PT),(D),(L)","Bars/Clubs,Hotels",1980,"","638 W. Main, Springfield, OH",-83.8225866,39.9256533,"638 w main st, springfield, oh 45504, usa","Geocoded",NA,NA
