"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Baker's","('Greasy Spoon') (Cruisy)","229 W. 11th","Tulsa","OK","(R),(C),(AH)","Crusing Areas,Restaurant",1979,NA,"229 W. 11th, Tulsa, OK",-95.9912517,36.1461684,"229 w 11th st, tulsa, ok 74119, usa","Geocoded",NA
"Baker's","('Greasy spoon') (Cruisy)","229 W. 11th","Tulsa","OK","(R),(C),(AH)","Crusing Areas,Restaurant",1980,NA,"229 W. 11th, Tulsa, OK",-95.9912517,36.1461684,"229 w 11th st, tulsa, ok 74119, usa","Geocoded",NA
"Bamboo","","7204 E. Pine","Tulsa","OK","(M)","",1973,NA,"7204 E. Pine, Tulsa, OK",-95.8965894,36.1766944,"7204 e pine st, tulsa, ok 74115, usa","Geocoded",NA
"Bamboo","","7204 E. Pine","Tulsa","OK","(M)","Bars/Clubs",1974,NA,"7204 E. Pine, Tulsa, OK",-95.8965894,36.1766944,"7204 e pine st, tulsa, ok 74115, usa","Geocoded",NA
"Bamboo","","7204 E. Pine","Tulsa","OK","(M)","Bars/Clubs",1975,NA,"7204 E. Pine, Tulsa, OK",-95.8965894,36.1766944,"7204 e pine st, tulsa, ok 74115, usa","Geocoded",NA
"Bamboo","","7204 E. Pine","Tulsa","OK","(M)","Bars/Clubs",1976,NA,"7204 E. Pine, Tulsa, OK",-95.8965894,36.1766944,"7204 e pine st, tulsa, ok 74115, usa","Geocoded",NA
"Bamboo","","7204 E. Pine St","Tulsa","OK","(M),(YC)","Bars/Clubs",1977,NA,"7204 E. Pine St, Tulsa, OK",-95.8965894,36.1766944,"7204 e pine st, tulsa, ok 74115, usa","Geocoded",NA
"Bamboo","","7204 E. Pine St.","Tulsa","OK","(M),(YC)","Bars/Clubs",1978,NA,"7204 E. Pine St., Tulsa, OK",-95.8965894,36.1766944,"7204 e pine st, tulsa, ok 74115, usa","Geocoded",NA
"Bamboo","(Some G) ","7204 E. Pine","Tulsa","OK","(M),(YC),(G)","Bars/Clubs",1979,NA,"7204 E. Pine, Tulsa, OK",-95.8965894,36.1766944,"7204 e pine st, tulsa, ok 74115, usa","Geocoded",NA
"Bamboo","(Some OC)","7204 E. Pine","Tulsa","OK","(OC)","Bars/Clubs",1980,NA,"7204 E. Pine, Tulsa, OK",-95.8965894,36.1766944,"7204 e pine st, tulsa, ok 74115, usa","Geocoded",NA
"Beer House","(some G)","3616 N.W. 23rd St.","Oklahoma City","OK","(G),(*)","",1973,NA,"3616 N.W. 23rd St., Oklahoma City, OK",-97.5824266,35.4929901,"3616 nw 23rd st, oklahoma city, ok 73107, usa","Geocoded",NA
"Big Sur","(Some G) (Looks promising)","3014 E. 15th St.","Tulsa","OK","(D),(PT),(G)","Bars/Clubs",1978,NA,"3014 E. 15th St., Tulsa, OK",-95.9453882,36.1403969,"3014 e 15th st, tulsa, ok 74104, usa","Geocoded",NA
"Big Sur","(Some G) ","3014 E. 15th St.","Tulsa","OK","(D),(PT),(G)","Bars/Clubs",1979,NA,"3014 E. 15th St., Tulsa, OK",-95.9453882,36.1403969,"3014 e 15th st, tulsa, ok 74104, usa","Geocoded",NA
"Big Sur","(Some L)","3014 E. 15th St.","Tulsa","OK","(D),(PT),(L)","Bars/Clubs",1980,NA,"3014 E. 15th St., Tulsa, OK",-95.9453882,36.1403969,"3014 e 15th st, tulsa, ok 74104, usa","Geocoded",NA
"Black Cat","","819 N. Walker","Oklahoma City","OK","(G)","Bars/Clubs",1965,NA,"819 N. Walker, Oklahoma City, OK",-97.5214668,35.4759412,"819 n walker ave, oklahoma city, ok 73102, usa","Geocoded",NA
"Body Shop","(book store)","1346 E. 11th St.","Tulsa","OK","","Book Store",1975,NA,"1346 E. 11th St., Tulsa, OK",-95.973597,36.147684,"1346 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Body Shop","(book store)","1346 E. 11th St.","Tulsa","OK","","Book Store",1976,NA,"1346 E. 11th St., Tulsa, OK",-95.973597,36.147684,"1346 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Body Shop","(Book Store & 'peep shows')","1346 E. 11th St.","Tulsa","OK","","Book Store",1977,NA,"1346 E. 11th St., Tulsa, OK",-95.973597,36.147684,"1346 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Body Shop","(Book Store & 'Peep shows')","1346 E. 11th St.","Tulsa","OK","(*)","Book Store",1978,NA,"1346 E. 11th St., Tulsa, OK",-95.973597,36.147684,"1346 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Body Shop","(Books store & 'peep shows')","1346 E. 11th St.","Tulsa","OK","(*)","Book Store",1979,NA,"1346 E. 11th St., Tulsa, OK",-95.973597,36.147684,"1346 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Body Shop","(Book store & 'peep shows')","1346 E. 11th St.","Tulsa","OK","(*)","Bars/Clubs",1980,NA,"1346 E. 11th St., Tulsa, OK",-95.973597,36.147684,"1346 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Box Office","(Some G)","2335 N.W. 12th St.","Oklahoma City","OK","(P),(R),(D),(G),(*)","Bars/Clubs",1975,NA,"2335 N.W. 12th St., Oklahoma City, OK",-97.5537813,35.4821687,"2335 nw 12th st, oklahoma city, ok 73107, usa","Geocoded",NA
"Cache Road Books","(Cruisy 'peep shows')","1206 Cache Rd","Lawton","OK","","Book Store,Crusing Areas",1979,NA,"1206 Cache Rd, Lawton, OK",-98.4105198,34.6229178,"1206 nw cache rd, lawton, ok 73507, usa","Geocoded",NA
"Cache Road Books","(Cruisy 'peep show')","1206 Cache Rd.","Lawton","OK","","Book Store,Crusing Areas",1980,NA,"1206 Cache Rd., Lawton, OK",-98.4105198,34.6229178,"1206 nw cache rd, lawton, ok 73507, usa","Geocoded",NA
"Casablanca ","('Super bar' & Disco)","4812 E. 33rd St. ","Tulsa","OK","(D),(YC),(*)","Bars/Clubs",1979,NA,"4812 E. 33rd St. , Tulsa, OK",-95.9232846,36.1153315,"4812 e 33rd st, tulsa, ok 74135, usa","Geocoded",NA
"Chalk Board","(French R)","1324 S. Main","Tulsa","OK","(M),(PE),(R)","Restaurant",1979,NA,"1324 S. Main, Tulsa, OK",-95.987678,36.1426049,"1324 s main st, tulsa, ok 74119, usa","Geocoded",NA
"Chalk Board","","1324 S. Main","Tulsa","OK","(M),(PE),(R)","Restaurant",1980,NA,"1324 S. Main, Tulsa, OK",-95.987678,36.1426049,"1324 s main st, tulsa, ok 74119, usa","Geocoded",NA
"Circa Club","","2201 N.W. 39th St.","Oklahoma City","OK","(P),(D),(*)","Bars/Clubs",1976,NA,"2201 N.W. 39th St., Oklahoma City, OK",-97.5494144,35.5117363,"2201 nw 39th st, oklahoma city, ok 73112, usa","Geocoded",NA
"Circa Club","","2201 N.W. 39th St.","Oklahoma City","OK","(P),(D)","Bars/Clubs",1977,NA,"2201 N.W. 39th St., Oklahoma City, OK",-97.5494144,35.5117363,"2201 nw 39th st, oklahoma city, ok 73112, usa","Geocoded",NA
"Circa Club","(Cruisy)","2201 N.W. 39th St.","","OK","(P),(D),(W),(PT),(*)","Crusing Areas,Bars/Clubs",1978,NA,"2201 N.W. 39th St., , OK",-97.5494144,35.5117363,"2201 nw 39th st, oklahoma city, ok 73112, usa","Geocoded",NA
"Circa Club","(Some W, YC) (Cruisy)","2201 N.W. 39th St.","Oklahoma City","OK","(W),(YC),(D),(PT)","Crusing Areas,Bars/Clubs",1979,NA,"2201 N.W. 39th St., Oklahoma City, OK",-97.5494144,35.5117363,"2201 nw 39th st, oklahoma city, ok 73112, usa","Geocoded",NA
"Circa Club","(Some W, YC)(Cruisy)","2201 N. W. 39th St.","Oklahoma City","OK","(W),(YC),(D),(PT)","Crusing Areas",1980,NA,"2201 N. W. 39th St., Oklahoma City, OK",-97.5494144,35.5117363,"2201 nw 39th st, oklahoma city, ok 73112, usa","Geocoded",NA
"Clique","","6915 N. Classen","Oklahoma City","OK","(P)","Bars/Clubs",1965,NA,"6915 N. Classen, Oklahoma City, OK",-97.5275589,35.5415739,"6915 n classen blvd, oklahoma city, ok 73116, usa","Geocoded",NA
"Club","(cloed Tues)","1724 N.W. 16th St. ","Oklahoma City","OK","(P),(YC),(D),(*)","",1973,NA,"1724 N.W. 16th St. , Oklahoma City, OK",-97.5401759,35.4857652,"1724 nw 16th st, oklahoma city, ok 73106, usa","Geocoded",NA
"Club","","1221 Memorial","Tulsa","OK","(P),(YC),(G),(D),(*)","Bars/Clubs",1977,NA,"1221 Memorial, Tulsa, OK",-95.8862301,36.145236,"1221 s memorial dr, tulsa, ok 74112, usa","Geocoded",NA
"Club","","1221 Memorial","Tulsa","OK","(P),(G),(D),(*)","Bars/Clubs",1978,NA,"1221 Memorial, Tulsa, OK",-95.8862301,36.145236,"1221 s memorial dr, tulsa, ok 74112, usa","Geocoded",NA
"Club","","1221 Memorial","Tulsa","OK","(P),(G),(D)","Bars/Clubs",1979,NA,"1221 Memorial, Tulsa, OK",-95.8862301,36.145236,"1221 s memorial dr, tulsa, ok 74112, usa","Geocoded",NA
"Club","","1221 Memorial","Tulsa","OK","(P),(L),(D)","Bars/Clubs",1980,NA,"1221 Memorial, Tulsa, OK",-95.8862301,36.145236,"1221 s memorial dr, tulsa, ok 74112, usa","Geocoded",NA
"Club One","","3616 N.W. 23rd St.","Oklahoma City","OK","(P),(YC),(D),(*)","Bars/Clubs",1977,NA,"3616 N.W. 23rd St., Oklahoma City, OK",-97.5824266,35.4929901,"3616 nw 23rd st, oklahoma city, ok 73107, usa","Geocoded",NA
"Club, The","","1724 N.W. 16th St.","Oklahoma City","OK","(P),(D),(*)","Bars/Clubs",1970,NA,"1724 N.W. 16th St., Oklahoma City, OK",-97.5401759,35.4857652,"1724 nw 16th st, oklahoma city, ok 73106, usa","Geocoded",NA
"Club, The","","1724 N.W. 16th St.","Oklahoma City","OK","(P),(D),(*)","Bars/Clubs",1971,NA,"1724 N.W. 16th St., Oklahoma City, OK",-97.5401759,35.4857652,"1724 nw 16th st, oklahoma city, ok 73106, usa","Geocoded",NA
"Club, The","","1724 N.W. 16th St.","Oklahoma City","OK","(P),(YC),(D),(*)","Bars/Clubs",1972,NA,"1724 N.W. 16th St., Oklahoma City, OK",-97.5401759,35.4857652,"1724 nw 16th st, oklahoma city, ok 73106, usa","Geocoded",NA
"Crescendo","","2805 N.W. 36th St.","Oklahoma City","OK","(P),(G)","Bars/Clubs",1977,NA,"2805 N.W. 36th St., Oklahoma City, OK",-97.5636993,35.508097,"2805 nw 36th st, oklahoma city, ok 73112, usa","Geocoded",NA
"Crescendo","","2805 N.W. 36th St.","","OK","(P),(G)","Bars/Clubs",1978,NA,"2805 N.W. 36th St., , OK",-97.5636993,35.508097,"2805 nw 36th st, oklahoma city, ok 73112, usa","Geocoded",NA
"Crescendo Club","(Some G) (don't miss, but don't confuse with 'straight' club Matador in same bldg . . . next door)","2805 N.W. 36th St.","Oklahoma City","OK","(P),(D),(G),(*)","Bars/Clubs",1975,NA,"2805 N.W. 36th St., Oklahoma City, OK",-97.5636993,35.508097,"2805 nw 36th st, oklahoma city, ok 73112, usa","Geocoded",NA
"Crystal Light","","2508 E. 15th St.","Tulsa","OK","(M)","Bars/Clubs",1965,NA,"2508 E. 15th St., Tulsa, OK",-95.9556482,36.1403738,"2508 e 15th st, tulsa, ok 74104, usa","Geocoded",NA
"Crystal Light","","2508 E. 15th St.","Tulsa","OK","(M)","Bars/Clubs",1966,NA,"2508 E. 15th St., Tulsa, OK",-95.9556482,36.1403738,"2508 e 15th st, tulsa, ok 74104, usa","Geocoded",NA
"Crystal Light","","2508 E. 15th St.","Tulsa","OK","(M)","Bars/Clubs",1968,NA,"2508 E. 15th St., Tulsa, OK",-95.9556482,36.1403738,"2508 e 15th st, tulsa, ok 74104, usa","Geocoded",NA
"D.J.'s Crescendo","(Many G)","2805 N.W. 36th St","Oklahoma City","OK","(P),(*),(G),(D)","Bars/Clubs",1979,NA,"2805 N.W. 36th St, Oklahoma City, OK",-97.5636993,35.508097,"2805 nw 36th st, oklahoma city, ok 73112, usa","Geocoded",NA
"D.J.'s Crescendo","(Many L)","2805 N. W. 36th St.","Oklahoma City","OK","(P),(L),(D)","",1980,NA,"2805 N. W. 36th St., Oklahoma City, OK",-97.5636993,35.508097,"2805 nw 36th st, oklahoma city, ok 73112, usa","Geocoded",NA
"David's","","1724 N.W. 16th St.","Oklahoma City","OK","(P),(YC),(D)","Bars/Clubs",1977,NA,"1724 N.W. 16th St., Oklahoma City, OK",-97.5401759,35.4857652,"1724 nw 16th st, oklahoma city, ok 73106, usa","Geocoded",NA
"Disco 36","(Unisex) (Disco)","715 N.W. 36th St.","Oklahoma City","OK","(YC),(D),(*)","Bars/Clubs",1977,NA,"715 N.W. 36th St., Oklahoma City, OK",-97.5250777,35.5079715,"715 nw 36th st, oklahoma city, ok 73118, usa","Geocoded",NA
"Do-Me Club","(some G)","2424 N.W. 39th Expressway","Oklahoma City","OK","(YC),(D),(S),(G)","Bars/Clubs",1976,NA,"2424 N.W. 39th Expressway, Oklahoma City, OK",-97.5554666,35.5110591,"2424 nw 39th st, oklahoma city, ok 73112, usa","Geocoded",NA
"Doors Club","(2 rooms, 1[P])","1811 E. 11th St.","Tulsa","OK","(YC),(D),(*)","Bars/Clubs",1975,NA,"1811 E. 11th St., Tulsa, OK",-95.965169,36.1480867,"1811 e 11th st, tulsa, ok 74104, usa","Geocoded",NA
"Doors Club","(Rear entrance)","1611 E. 11th St.","Tulsa","OK","(P),(D)","Bars/Clubs",1977,NA,"1611 E. 11th St., Tulsa, OK",-95.9693,36.148092,"1611 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Doors Club","(Rear entrance)","1611 E. 11th St.","Tulsa","OK","(P),(D)","Bars/Clubs",1978,NA,"1611 E. 11th St., Tulsa, OK",-95.9693,36.148092,"1611 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Doors Club","(Rear entrance)","1611 E. 11th","Tulsa","OK","(P),(D)","Bars/Clubs",1979,NA,"1611 E. 11th, Tulsa, OK",-95.9693,36.148092,"1611 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Doors Club","","1611 E. 11th","Tulsa","OK","(P),(D)","Bars/Clubs",1980,NA,"1611 E. 11th, Tulsa, OK",-95.9693,36.148092,"1611 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Doors Lounge","(2 rooms, one is P)","1611 E. 11th St.","Tulsa","OK","(YC),(D),(*)","Bars/Clubs",1976,NA,"1611 E. 11th St., Tulsa, OK",-95.9693,36.148092,"1611 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Doors Lounge","","1611 E. 11th St. ","Tulsa","OK","(*)","Bars/Clubs",1977,NA,"1611 E. 11th St. , Tulsa, OK",-95.9693,36.148092,"1611 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Doors Lounge","","1611 E. 11th St.","Tulsa","OK","(*)","Bars/Clubs",1978,NA,"1611 E. 11th St., Tulsa, OK",-95.9693,36.148092,"1611 e 11th st, tulsa, ok 74120, usa","Geocoded",NA
"Eight Day","","1108 S. Lewis ","Tulsa","OK","","Bars/Clubs",1965,NA,"1108 S. Lewis , Tulsa, OK",-95.9585404,36.1474792,"1108 s lewis ave, tulsa, ok 74104, usa","Geocoded",NA
"Eight Day","","1108 S. Lewis","Tulsa","OK","","Bars/Clubs",1970,NA,"1108 S. Lewis, Tulsa, OK",-95.9585404,36.1474792,"1108 s lewis ave, tulsa, ok 74104, usa","Geocoded",NA
"Eighth Day","","1108 S. Lewis St.","Tulsa","OK","","Bars/Clubs",1966,NA,"1108 S. Lewis St., Tulsa, OK",-95.9573686,36.1475058,"1108 s lewis pl, tulsa, ok 74104, usa","Geocoded",NA
"Eighth Day","","1108 S. Lewis","Tulsa","OK","(*)","Bars/Clubs",1971,NA,"1108 S. Lewis, Tulsa, OK",-95.9585404,36.1474792,"1108 s lewis ave, tulsa, ok 74104, usa","Geocoded",NA
"Eighth Day","","1108 S. Lewis","Tulsa","OK","(*)","Bars/Clubs",1972,NA,"1108 S. Lewis, Tulsa, OK",-95.9585404,36.1474792,"1108 s lewis ave, tulsa, ok 74104, usa","Geocoded",NA
"Eighth Day","","1108 S. Lewis","Tulsa","OK","(G)","",1973,NA,"1108 S. Lewis, Tulsa, OK",-95.9585404,36.1474792,"1108 s lewis ave, tulsa, ok 74104, usa","Geocoded",NA
"Eighth Day","","1108 S. Lewis","Tulsa","OK","(G)","Bars/Clubs",1974,NA,"1108 S. Lewis, Tulsa, OK",-95.9585404,36.1474792,"1108 s lewis ave, tulsa, ok 74104, usa","Geocoded",NA
"Eigth Day","","1108 S. Lewis St.","Tulsa","OK","","Bars/Clubs",1968,NA,"1108 S. Lewis St., Tulsa, OK",-95.9573686,36.1475058,"1108 s lewis pl, tulsa, ok 74104, usa","Geocoded",NA
"Eigth Day","","1108 S. Lewis","Tulsa","OK","(*)","Bars/Clubs",1969,NA,"1108 S. Lewis, Tulsa, OK",-95.9585404,36.1474792,"1108 s lewis ave, tulsa, ok 74104, usa","Geocoded",NA
"End-Up","('Drags')","2525 W. 10th St.","Oklahoma City","OK","(P),(D),(S)","",1980,NA,"2525 W. 10th St., Oklahoma City, OK",-97.5580224,35.4790183,"2525 nw 10th st, oklahoma city, ok 73107, usa","Geocoded",NA
"Free Spirit","(Disco) (Latest 'super bar' - looks promising)","3125 N. Classen Blvd","","OK","(YC),(D),(PT),(BYOB)","Bars/Clubs",1978,NA,"3125 N. Classen Blvd, , OK",-97.53482,35.501394,"3125 n classen blvd, oklahoma city, ok 73118, usa","Geocoded",NA
