"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","944 Hamilton St. ","Allentown ","PA","(YC),(D),(S),(*)","Bars/Clubs",1973,NA,"944 Hamilton St. , Allentown , PA",-75.4769249,40.6005676,"944 hamilton st, allentown, pa 18101, usa","Geocoded",NA,NA
"","944 Hamilton St. ","Allentown ","PA","(YC),(D),(*)","Bars/Clubs",1972,NA,"944 Hamilton St. , Allentown , PA",-75.4769249,40.6005676,"944 hamilton st, allentown, pa 18101, usa","Geocoded",NA,NA
"","60 S 6th St. ","Allentown ","PA","(M),(RT)","Bars/Clubs",1965,NA,"60 S 6th St. , Allentown , PA",-75.469444,40.6014267,"60 s 6th st, allentown, pa 18101, usa","Geocoded",NA,NA
"","60 S. 6th St. ","Allentown ","PA","(M),(RT)","Bars/Clubs",1966,NA,"60 S. 6th St. , Allentown , PA",-75.469444,40.6014267,"60 s 6th st, allentown, pa 18101, usa","Geocoded",NA,NA
"","60 S. 6th St. ","Allentown ","PA","(M),(RT)","Bars/Clubs",1968,NA,"60 S. 6th St. , Allentown , PA",-75.469444,40.6014267,"60 s 6th st, allentown, pa 18101, usa","Geocoded",NA,NA
"","50 S 6th St. ","Allentown ","PA","(M),(RT)","Bars/Clubs",1969,NA,"50 S 6th St. , Allentown , PA",-75.469463,40.6014657,"50 s 6th st, allentown, pa 18101, usa","Geocoded",NA,NA
"","23 N. 6th St. ","Allentown ","PA","(M)","Bars/Clubs",1971,NA,"23 N. 6th St. , Allentown , PA",-75.4696278,40.6037703,"23 n 6th st, allentown, pa 18101, usa","Geocoded",NA,NA
"","23 N. 6th St. ","Allentown ","PA","(M)","Bars/Clubs",1972,NA,"23 N. 6th St. , Allentown , PA",-75.4696278,40.6037703,"23 n 6th st, allentown, pa 18101, usa","Geocoded",NA,NA
"(Disco)","2830 N. 10th St. ","Allentown ","PA","(YC),(D),(*)","Bars/Clubs",1979,NA,"2830 N. 10th St. , Allentown , PA",-75.4813808,40.607851,"n 10th st, allentown, pa, usa","Geocoded",NA,NA
"(Disco)(New name of Stonewall) ","28-30 N. 10th St. ","Allentown ","PA","(YC),(D),(S),(*)","Bars/Clubs",1976,NA,"28-30 N. 10th St. , Allentown , PA",-75.4786136,40.601348,"28 n 10th st #30, allentown, pa 18101, usa","Geocoded",NA,NA
"","23 N 6th St. ","Allentown ","PA","(M)","Bars/Clubs",1968,NA,"23 N 6th St. , Allentown , PA",-75.4696278,40.6037703,"23 n 6th st, allentown, pa 18101, usa","Geocoded",NA,NA
"","23 N 6th St. ","Allentown ","PA","(M)","Bars/Clubs",1969,NA,"23 N 6th St. , Allentown , PA",-75.4696278,40.6037703,"23 n 6th st, allentown, pa 18101, usa","Geocoded",NA,NA
"","23 N. 6th St. ","Allentown ","PA","(B),(M)","Bars/Clubs",1970,NA,"23 N. 6th St. , Allentown , PA",-75.4696278,40.6037703,"23 n 6th st, allentown, pa 18101, usa","Geocoded",NA,NA
"(Steelton)","329 So. Front St. ","Harrisburg","PA","","Bars/Clubs",1978,NA,"329 So. Front St. , Harrisburg, PA",-76.8772982,40.2557642,"329 s front st, harrisburg, pa 17104, usa","Geocoded",NA,NA
"(Disco)(Closed- may be reopeing or locating elsewhere)","4400 Huffman","Harrisburg","PA","","Bars/Clubs",1980,NA,"4400 Huffman, Harrisburg, PA",-76.8867008,40.2731911,"harrisburg, pa, usa","Geocoded",NA,NA
"","400 N 2nd St. ","Harrisburg","PA","(*)","Bars/Clubs",1965,NA,"400 N 2nd St. , Harrisburg, PA",-76.8865422,40.2624292,"400 n 2nd st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","400 N 2nd St. ","Harrisburg","PA","(*)","Bars/Clubs",1966,NA,"400 N 2nd St. , Harrisburg, PA",-76.8865422,40.2624292,"400 n 2nd st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"(Many guys- WE) ","4425 Front St. ","Harrisburg","PA","(D),(G),(W),(*)","Bars/Clubs",1978,NA,"4425 Front St. , Harrisburg, PA",-76.899213,40.3269721,"4425 n front st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"(many G)","4425 Front St. ","Harrisburg","PA","(*),(G),(D)","Bars/Clubs",1979,NA,"4425 Front St. , Harrisburg, PA",-76.899213,40.3269721,"4425 n front st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"(many L)","4425 Front St. ","Harrisburg","PA","(*),(L),(D)","Bars/Clubs",1980,NA,"4425 Front St. , Harrisburg, PA",-76.899213,40.3269721,"4425 n front st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"(some G)","400 N. 2nd St. ","Harrisburg","PA","(YC),(D),(G),(*)","Bars/Clubs",1977,NA,"400 N. 2nd St. , Harrisburg, PA",-76.8865422,40.2624292,"400 n 2nd st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"(Some G) ","400 No. 2nd ","Harrisburg","PA","(YC),(D),(G)","Bars/Clubs",1978,NA,"400 No. 2nd , Harrisburg, PA",-76.8865422,40.2624292,"400 n 2nd st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","2947 N. 7th St. ","Harrisburg","PA","(D)","Bars/Clubs",1973,NA,"2947 N. 7th St. , Harrisburg, PA",-76.8936924,40.2930036,"2947 n 7th st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"","2947 N. 7th St. ","Harrisburg","PA","(RT),(D),(B)","Bars/Clubs",1974,NA,"2947 N. 7th St. , Harrisburg, PA",-76.8936924,40.2930036,"2947 n 7th st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"","2947 N. 7th St. ","Harrisburg","PA","(RT),(B),(D)","Bars/Clubs",1975,NA,"2947 N. 7th St. , Harrisburg, PA",-76.8936924,40.2930036,"2947 n 7th st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"","2947 N. 7th St. ","Harrisburg","PA","(RT),(B),(D)","Bars/Clubs",1976,NA,"2947 N. 7th St. , Harrisburg, PA",-76.8936924,40.2930036,"2947 n 7th st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"(Some G) ","2947 N. 7th St. ","Harrisburg","PA","(M),(RT),(G),(D)","Bars/Clubs",1977,NA,"2947 N. 7th St. , Harrisburg, PA",-76.8936924,40.2930036,"2947 n 7th st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"","400 N. 2nd St. ","Harrisburg","PA","(YC),(D),(*)","Bars/Clubs",1973,NA,"400 N. 2nd St. , Harrisburg, PA",-76.8865422,40.2624292,"400 n 2nd st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","400 N. 2nd ","Harrisburg","PA","(YC),(D),(*)","Bars/Clubs",1974,NA,"400 N. 2nd , Harrisburg, PA",-76.8865422,40.2624292,"400 n 2nd st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","400 N. 2nd St. ","Harrisburg","PA","(*)","Bars/Clubs",1972,NA,"400 N. 2nd St. , Harrisburg, PA",-76.8865422,40.2624292,"400 n 2nd st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","400 N. 2nd St. ","Harrisburg","PA","(*)","Bars/Clubs",1971,NA,"400 N. 2nd St. , Harrisburg, PA",-76.8865422,40.2624292,"400 n 2nd st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"(some B)(Disco)","4309 Linglestown Rd. ","Harrisburg","PA","(M),(HIP),(YC),(B),(D),(*)","Bars/Clubs",1977,NA,"4309 Linglestown Rd. , Harrisburg, PA",-76.8243882,40.3356575,"4309 linglestown rd, harrisburg, pa 17112, usa","Geocoded",NA,NA
"(Some RT, G)","400 N. 2nd ","Harrisburg","PA","(RT),(G)","Bars/Clubs",1979,NA,"400 N. 2nd , Harrisburg, PA",-76.8865422,40.2624292,"400 n 2nd st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","268 North St. ","Harrisburg","PA","(*)","Bars/Clubs",1975,NA,"268 North St. , Harrisburg, PA",-76.886087,40.265068,"268 north st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","268 North St. ","Harrisburg","PA","(*)","Bars/Clubs",1976,NA,"268 North St. , Harrisburg, PA",-76.886087,40.265068,"268 north st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","268 North St. ","Harrisburg","PA","(W),(*),Cruisy Area","Bars/Clubs",1977,NA,"268 North St. , Harrisburg, PA",-76.886087,40.265068,"268 north st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"(Some W, YC)","268 North St. ","Harrisburg","PA","Cruisy Area,(W),(YC)","Bars/Clubs",1978,NA,"268 North St. , Harrisburg, PA",-76.886087,40.265068,"268 north st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"(Some YC, W) ","268 North St. ","Harrisburg","PA","(*),(YC),(W),Cruisy Area","Bars/Clubs",1979,NA,"268 North St. , Harrisburg, PA",-76.886087,40.265068,"268 north st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","423 North Ave. ","Harrisburg","PA","(M),(B),(RT)","Bars/Clubs",1977,NA,"423 North Ave. , Harrisburg, PA",-76.884296,40.2656871,"423 north st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","4425 N. Front St. ","Harrisburg","PA","(YC),(D),(*)","Bars/Clubs",1975,NA,"4425 N. Front St. , Harrisburg, PA",-76.899213,40.3269721,"4425 n front st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"","4425 N. Front St. ","Harrisburg","PA","(G),(D),(*)","Bars/Clubs",1976,NA,"4425 N. Front St. , Harrisburg, PA",-76.899213,40.3269721,"4425 n front st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"(was closed but supposedly re-opened)","4425 N. Front St. ","Harrisburg","PA","(G),(D)","Bars/Clubs",1977,NA,"4425 N. Front St. , Harrisburg, PA",-76.899213,40.3269721,"4425 n front st, harrisburg, pa 17110, usa","Geocoded",NA,NA
"(Snacks)","34 N. 2nd","Harrisburg","PA","","Bars/Clubs",1980,NA,"34 N. 2nd, Harrisburg, PA",-76.8807962,40.2587051,"34s n 2nd st, steelton, pa 17113, usa","Geocoded",NA,NA
"(disco)","210 Walnut St. ","Harrisburg","PA","(YC),(D),(*)","Bars/Clubs",1976,NA,"210 Walnut St. , Harrisburg, PA",-76.8831983,40.2613483,"210 walnut st, harrisburg, pa 17101, usa","Geocoded",NA,NA
"","115 N Queen St. ","Lancaster","PA","(M)","Bars/Clubs",1965,NA,"115 N Queen St. , Lancaster, PA",-76.3055068,40.0398809,"115 n queen st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","155 Queen St. ","Lancaster","PA","(M)","Bars/Clubs",1966,NA,"155 Queen St. , Lancaster, PA",-76.3058155,40.0409891,"155 n queen st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","155 Queen St. ","Lancaster","PA","(M)","Bars/Clubs",1968,NA,"155 Queen St. , Lancaster, PA",-76.3058155,40.0409891,"155 n queen st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","10 S. Point","Lancaster","PA","","Bars/Clubs",1976,NA,"10 S. Point, Lancaster, PA",-76.3015848,40.07041,"10 n pointe blvd, lancaster, pa 17601, usa","Geocoded",NA,NA
"(disco)(Some G)","10 S. Prince St. nr. King ","Lancaster","PA","(M),(D),(G),(*)","Bars/Clubs",1977,NA,"10 S. Prince St. nr. King , Lancaster, PA",-76.3078716,40.0373868,"10 s prince st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(Disco)(Some G)","10 S. Prince St. nr. King","Lancaster","PA","(M),(D),(G),(*)","Bars/Clubs",1979,NA,"10 S. Prince St. nr. King, Lancaster, PA",-76.3078716,40.0373868,"10 s prince st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(Disco)(Some G)","10 So. Prince St. nr. King","Lancaster","PA","(M),(D),(G),(*)","Bars/Clubs",1978,NA,"10 So. Prince St. nr. King, Lancaster, PA",-76.3078716,40.0373868,"10 s prince st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","429 N. Mulberry St. ","Lancaster","PA","(L),(D),(PT),(*)","Bars/Clubs",1980,NA,"429 N. Mulberry St. , Lancaster, PA",-76.3114652,40.0447542,"429 n mulberry st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","201 W. Orange St. ","Lancaster","PA","(YC),(D),(*)","Bars/Clubs",1974,NA,"201 W. Orange St. , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(some YC, G)(Disco","201 W. Orange","Lancaster","PA","(YC),(G),(D),(*)","Bars/Clubs",1979,NA,"201 W. Orange, Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","201 W. Orange St. ","Lancaster","PA","(YC),(D),(*)","Bars/Clubs",1973,NA,"201 W. Orange St. , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","201 W. Orange St. ","Lancaster","PA","(D),(*)","Bars/Clubs",1975,NA,"201 W. Orange St. , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","201 W. Orange St. ","Lancaster","PA","(D),(*)","Bars/Clubs",1976,NA,"201 W. Orange St. , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(disco)(Some G)","201 W. Orange ","Lancaster","PA","(YC),(D),(G),(*)","Bars/Clubs",1977,NA,"201 W. Orange , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(Some YC, G)(Disco)","201 W. Orange","Lancaster","PA","(YC),(G),(D),(*)","Bars/Clubs",1978,NA,"201 W. Orange, Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(downstairs bar) ","28 E. Chestnut ","Lancaster","PA","","Bars/Clubs",1965,NA,"28 E. Chestnut , Lancaster, PA",-76.3052082,40.0412347,"28 e chestnut st, lancaster, pa 17602, usa","Geocoded",NA,NA
"(downstairs) ","28 E Chestnut","Lancaster","PA","","Bars/Clubs",1966,NA,"28 E Chestnut, Lancaster, PA",-76.3052082,40.0412347,"28 e chestnut st, lancaster, pa 17602, usa","Geocoded",NA,NA
"(downstairs) ","28 E Chestnut ","Lancaster","PA","","Bars/Clubs",1968,NA,"28 E Chestnut , Lancaster, PA",-76.3052082,40.0412347,"28 e chestnut st, lancaster, pa 17602, usa","Geocoded",NA,NA
