"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"(Natives) (Some L)","15 mi. S. of San Juan","Aguas Buenas","(D),(WE),(L)","Bars/Clubs",1980,NA,"15 mi. S. of San Juan, Aguas Buenas, ",-66.1029442,18.2568989,"aguas buenas, puerto rico","Geocoded",NA,NA,NA
"","43 Calle Luna","Ponce","(M)","Bars/Clubs",1980,NA,"43 Calle Luna, Ponce, ",-66.6151379,18.0102754,"43 calle luna, ponce, 00730, puerto rico","Geocoded",NA,NA,NA
"(Some L) (Disco) (Upstairs $3 minimum)","251 Calle Cruz at Calle Fortaleza","San Juan","(D),(*),(YC),(L)","Bars/Clubs",1980,NA,"251 Calle Cruz at Calle Fortaleza, San Juan, ",-66.1160016,18.4647393,"251 calle de la cruz, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","10 Carrion Ct.","Condado","(*)","Bars/Clubs",1980,NA,"10 Carrion Ct., Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Geocoded",NA,NA,NA
"(Beach bar & rooftop disco)","1 Calle Vendig","San Juan","(*)","Bars/Clubs",1980,NA,"1 Calle Vendig, San Juan, ",-66.0723525,18.4571237,"1 cll vendig, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","112 Avenida Condado","Condado","(D),(*)","Bars/Clubs",1980,NA,"112 Avenida Condado, Condado, ",-66.0731888,18.4541588,"112 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"('Wild back room' - best late)","51 Ave. Barranquitas","San Juan","(*)","Bars/Clubs",1980,NA,"51 Ave. Barranquitas, San Juan, ",-66.0763798,18.4585475,"51 cll barranquitas, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","6 Condado Ave.","Condado","(H)","Hotels",1980,NA,"6 Condado Ave., Condado, ",-66.0714191,18.4567496,"6 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","1317 Ashford Ave.","Condado","","Bars/Clubs",1980,NA,"1317 Ashford Ave., Condado, ",-66.0694683,18.4554951,"1317 ashford ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","4 Condado Ave.","Condado","(M),(H),(OC)","Hotels",1980,NA,"4 Condado Ave., Condado, ",-66.0713763,18.4567631,"4 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
