"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","176 Railroad St.","Central Falls","RI","(L),(D)","Bars/Clubs",1980,NA,"176 Railroad St., Central Falls, RI",-71.385617,41.8892471,"176 railroad st, central falls, ri 02863, usa","Geocoded",NA,NA
"","28 Prospect Hill off Thames St.","Newport","RI","(YC),(D),(*)","Bars/Clubs",1980,NA,"28 Prospect Hill off Thames St., Newport, RI",-71.3139778,41.4853787,"28 prospect hill st, newport, ri 02840, usa","Geocoded",NA,NA
"(Some L)","3 Farewell St.","Newport","RI","(L)","Bars/Clubs",1980,NA,"3 Farewell St., Newport, RI",-71.3132894,41.490839,"3 farewell st, newport, ri 02840, usa","Geocoded",NA,NA
"(Lunches)","229 Spring at Franklin","Newport","RI","Cruisy Area,(M)","Cruising Areas",1980,NA,"229 Spring at Franklin, Newport, RI",-71.313379,41.4848546,"229 spring st, newport, ri 02840, usa","Geocoded",NA,NA
"","68 Dorrence at Weybosset ","Providence","RI","(M),(R),(C),(AH)","Restaurant",1980,NA,"68 Dorrence at Weybosset , Providence, RI",-71.4111205,41.8233223,"68 dorrance st, providence, ri 02903, usa","Geocoded",NA,NA
"","35 Clemence St.","Providence","RI","","Book Store",1980,NA,"35 Clemence St., Providence, RI",-71.4143073,41.8232912,"35 clemence st, providence, ri 02903, usa","Geocoded",NA,NA
"","257 Weybosset","Providence","RI","(*)","Baths",1980,NA,"257 Weybosset, Providence, RI",-71.41319,41.820952,"257 weybosset st, providence, ri 02903, usa","Geocoded",NA,NA
"(Closed 12 midnight)","95 Eddy St.","Providence","RI","(W),(YC),(E)","Bars/Clubs",1980,NA,"95 Eddy St., Providence, RI",-71.412156,41.822942,"95 eddy st, providence, ri 02903, usa","Geocoded",NA,NA
"(Upstairs) (Some L) (Disco)","123 Weybosset","Providence","RI","(YC),(*),(L),(D)","Bars/Clubs",1980,NA,"123 Weybosset, Providence, RI",-71.4114172,41.8230957,"123 weybosset st, providence, ri 02903, usa","Geocoded",NA,NA
"(Hip) (Unisex) (Disco)","194 Richmond","Providence","RI","(YC),(D),(*)","Bars/Clubs",1980,NA,"194 Richmond, Providence, RI",-71.409122,41.8194591,"194 richmond st, providence, ri 02903, usa","Geocoded",NA,NA
"('Gold Coin') (Some OC) (Cruisy) (Below Fife & Drum) ","79 Dorrence at Weybosset","Providence","RI","(*),(OC),(E)","Bars/Clubs,Cruising Areas",1980,NA,"79 Dorrence at Weybosset, Providence, RI",-71.4112482,41.8230785,"79 dorrance st, providence, ri 02903, usa","Geocoded",NA,NA
"","5 Junction St.","Providence","RI","M.C.C.","Church",1980,NA,"5 Junction St., Providence, RI",-71.4240232,41.8124801,"5 junction st, providence, ri 02907, usa","Geocoded",NA,NA
"(Disco) (Opens 11:30 am - closes 1 am weekdays, 2am WE) ","109 Eddy St.","Providence","RI","(*),(D),(R),(YC)","Bars/Clubs,Restaurant",1980,NA,"109 Eddy St., Providence, RI",-71.4116268,41.8226411,"109 eddy st, providence, ri 02903, usa","Geocoded",NA,NA
"","133 Gano St.","Providence","RI","(M),(R)","Restaurant",1980,NA,"133 Gano St., Providence, RI",-71.3898211,41.8230503,"133 gano st, providence, ri 02906, usa","Geocoded",NA,NA
"(Cruisy)","291 Weybosset","Providence","RI","","Cruising Areas,Theatre",1980,NA,"291 Weybosset, Providence, RI",-71.4138968,41.8206498,"291 weybosset st, providence, ri 02903, usa","Geocoded",NA,NA
"(Cruisy gym)","160 Broad St.","Providence","RI","(M),(H)","Hotels,Cruising Areas",1980,NA,"160 Broad St., Providence, RI",-71.4167171,41.8169108,"160 broad st, providence, ri 02903, usa","Geocoded",NA,NA
"(Formerly Town & Country) (Disco) (Swim pool) (N. Smithfield)","Farnum Pike nr. Bryant College","Smithfield","RI","(*),(D)","Bars/Clubs",1980,NA,"Farnum Pike nr. Bryant College, Smithfield, RI",-71.5376476,41.9214717,"1150 douglas pike, smithfield, ri 02917, usa","Geocoded",NA,NA
