"title","description","streetaddress","city","state","amenityfeatures","type","notes","Year","lon","lat","status","unclear_address","full.address","geoAddress"
"
  21st Street Art Theater
  
  ","","2039 Collins ","Miami Beach","FL","","Theatre","",1978,-80.1288293,25.7961354,"Geocoded",NA,NA,NA
"
  Act III
  ","(some OC, RT) ","3113 Live Oak ","Dallas","TX","(D),(OC),(RT)","Bars/Clubs","",1978,-96.786515,32.7914493,"Geocoded",NA,NA,NA
"
  Adultz News 
  ","(Books) ","519 E. Houston ","San Antonio","TX","","Book Store","",1978,-98.4870976,29.4268139,"Geocoded",NA,NA,NA
"
  After Dark Lounge 
  ","(Disco) 7 nights downstairs & upstairs lounge (Cruisy-WE) ","80 Asheland Ave. ","Asheville","MS","(P),(YC),(*),(D),(WE)","Bars/Clubs,Cruising Areas","",1978,-82.5564507,35.5911639,"Geocoded",NA,NA,NA
"
  Ann's Tic Toc 
  ","","408 Broadway ","Macon","GA","(D),(*)","Bars/Clubs","",1973,-83.6242488,32.8359384,"Geocoded",NA,NA,NA
"
  Annex 
  ","","60 No. Orange Ave. ","Orlando","FL","(M),(B),(RT),(D)","Bars/Clubs","",1978,-81.3792646,28.5414113,"Geocoded",NA,NA,NA
"
  Apartment Lounge
  ","","2828 Rio Grande","Austin","TX","(D),(*)","Bars/Clubs","",1973,-97.7441954,30.2957037,"Geocoded",NA,NA,NA
"
  B & L Books 
  ","","214 N. Grant ","Odessa","TX","","Book Store","",1978,-102.3677662,31.846436,"Geocoded",NA,NA,NA
"
  Bacchus 
  ","(Many G, B) ","135 Calhoun St. ","Charleston","SC","(S)","Bars/Clubs","",1977,-79.9349007,32.7861721,"Geocoded",NA,NA,NA
"
  Back Street Warehouse
  
  ","(plans opening in spring of 77 -(disco) (D) - 24 hours - BYOB for AH operation)  ","South Orange Blossom Trail ","Orlando","FL","(D),(BYOB)","Bars/Clubs","",1978,-81.4020685,28.445634,"Geocoded",NA,NA,NA
"
  Badlands Territory 
  ","(Disco -D -upstairs) (5 rooms -something for everyone) ","116 E. Main St. ","Louisville","KY","(*),(YC),(D)","Bars/Clubs","",1978,-85.7507822,38.2556542,"Geocoded",NA,NA,NA
"
  Big Ruby's Guest House 
  ","","617 Whitehead","Key West","FL","(H)","Hotels","",1977,-81.8026011,24.5536811,"Geocoded",NA,NA,NA
"
  Blue
  Mirror Lounge 
  ","(Maybe changing name) ","305 South Howard ","Tampa","FL","","Bars/Clubs","",1977,-82.4829838,27.9415431,"Geocoded",NA,NA,NA
"
  Bo's Crowbar
  ","(Open Sundays) ","504 North 1st Street ","Jacksonville Beach","FL","(YC),(D),(PT),(*)","Bars/Clubs","",1977,-81.3906646,30.2932926,"Geocoded",NA,NA,NA
"
  Bon Soir 
  ","","4527 Cole ","Dallas","TX","(W),(PT)","Bars/Clubs","",1978,-96.7896569,32.8225977,"Geocoded",NA,NA,NA
"
  Bonnie's 
  ","($1. adm. WE) ","600 block of No. 10 St. ","Ft. Smith","AL","(S),(WE)","Bars/Clubs","",1978,-94.4168155,35.3893665,"Geocoded",NA,NA,NA
"
  Book Exchange 
  ","","3928 W. Kennedy ","Tampa","FL","","Book Store","",1977,-82.5094161,27.9447545,"Geocoded",NA,NA,NA
"
  Book Worm
  ","(books) ","102 No. Orange Ave. ","Orlando","FL","","Book Store","",1978,-81.3792551,28.5411295,"Geocoded",NA,NA,NA
"
  Boot Camp 
  ","(looks promising) ","2508 No. Fitzhugh ","Dallas","TX","(W),(PT)","Bars/Clubs","",1978,-96.7832392,32.8126145,"Geocoded",NA,NA,NA
"
  Bradford Hotel Lounge 
  ","","2255 S. 1st St. ","Ft. Myers","FL","(M)","Hotels,Bars/Clubs","",1979,-81.8695139,26.6445272,"Geocoded",NA,NA,NA
"
  Brass Rail 
  ","(could be a winner) ","2513 No. Fitzhugh ","Dallas","TX","","Bars/Clubs","",1978,-96.7838107,32.8123356,"Geocoded",NA,NA,NA
"
  Bridge Club 
  ","(Also H) ","5519 W. Hillsboro Avenue ","Tampa","FL","(P),(D),(S),(PT),(BYOB)","Hotels","",1977,-82.5369337,27.9968709,"Geocoded",NA,NA,NA
"
  Buccaneer Disco 
  ","","16051 Collins Ave.","Miami Beach","FL","(D),(*)","Bars/Clubs","",1978,-80.1216162,25.9263059,"Geocoded",NA,NA,NA
"
  Cactus Lounge 
  ","","2041 N.E. Biscayne Blvd. ","Miami","FL","(R),(*)","Restaurant","",1973,-80.1888382,25.7960641,"Geocoded",NA,NA,NA
"
  Cameo 
  ","","188 Williams at Cain N.W. ","Atlanta","GA","(M),(B),(RT)","Bars/Clubs","",1979,-83.3695042,33.9546184,"Geocoded",NA,NA,NA
"
  Candlelight 
  ","(Coconut Grove)","3131 Commodore Plaza","Miami","FL","(M),(PE),(R)","Restaurant","",1973,-80.2441116,25.7273309,"Geocoded",NA,NA,NA
"
  Carnival
  ","","137 N.E. 3rd Ave.","Miami","FL","(RT)","Bars/Clubs","",1973,-80.1885924,25.7759724,"Geocoded",NA,NA,NA
"
  Chez Paris 
  ","","2207 Ayers","Corpus Christi","TX","(D)","Bars/Clubs","",1973,-97.4072071,27.7686727,"Geocoded",NA,NA,NA
"
  China Gate 
  ","","1007 Simonton","Key West","FL","(M),(R)","Restaurant","",1977,-81.7976895,24.5518474,"Geocoded",NA,NA,NA
"
  Chuck's 
  ","","3019 No. Haskell ","Dallas","TX","(W)","Bars/Clubs","",1978,-96.793667,32.8072282,"Geocoded",NA,NA,NA
"
  City Disco 
  ","(Disco) (Looks promising) ","664 So. 4th St. ","Louisville","KY","(M),(D),(PT)","Bars/Clubs","",1978,-85.7585106,38.2467292,"Geocoded",NA,NA,NA
"
  Climax Book Mart 
  ","(Cruisy) (Open 24 hrs except early Sunday morn.) ","1545 Piedmont Rd. N.E. ","Atlanta","GA","","Book Store,Cruising Areas","",1979,-84.3658903,33.8080596,"Geocoded",NA,NA,NA
"
  Cloud Lake Adult Bookstore
  
  ","(Cloud Lake)","1320 Southern Blvd. ","West Palm Beach","FL","","Book Store","",1978,-80.0726622,26.6761313,"Geocoded",NA,NA,NA
"
  Club
  ","","1514 Jackson","Ft. Myers","FL","(*),(P),(YC),(D),(PT),(BYOB)","Bars/Clubs","",1979,-81.8723084,26.640628,"Geocoded",NA,NA,NA
"
  Club
  Baths of Jacksonville
  ","","1939 Hendricks ","Jacksonville","FL","(*)","Baths","",1977,-81.6533782,30.3057129,"Geocoded",NA,NA,NA
"
  Club Austin Baths 
  ","","308 W. 16th St. ","Austin","TX","(*)","Baths","",1979,-97.7421212,30.2787047,"Geocoded",NA,NA,NA
"
  Club Baths of
  Atlanta 
  ","","76 4th St. S.W. ","Atlanta","GA","(*)","Baths","",1979,-84.4033329,33.6758669,"Geocoded",NA,NA,NA
"
  Club Baths of
  Dallas 
  ","(& Eagle Leathers -toys & things) ","2616 Swiss Ave. ","Dallas","TX","(YC),(*)","Baths","",1978,-96.7882627,32.7864562,"Geocoded",NA,NA,NA
"
  Club Charlotte
  Baths
  ","","1013 W. Morehead ","Charlotte","NC","","Baths","",1978,-80.8593366,35.2282333,"Geocoded",NA,NA,NA
"
  Club David
  ","(Semi-P) (Disco) ","135 Market St. ","Charleston","SC","(*),(YC),(D),(P)","Bars/Clubs","",1979,-79.9324952,32.7806006,"Geocoded",NA,NA,NA
"
  Club Miami Baths 
  ","","2991 Coral Way ","Miami","FL","(YC),(P),(*)","Baths","",1979,-80.242182,25.7505182,"Geocoded",NA,NA,NA
"
  Club South Baths of
  Charlotte 
  ","(Looks promising) ","1708 South Blvd. ","Charlotte","NC","","Baths","",1978,-80.8573682,35.2127198,"Geocoded",NA,NA,NA
"
  Club Tampa Baths 
  ","","215 N. 11th Street ","Tampa","FL","(P),(*)","Baths","",1977,-82.4473903,27.9495484,"Geocoded",NA,NA,NA
"
  Commerce Street News
  
  ","","1513 Commerce St.","Dallas","TX","","Book Store","",1978,-96.7983071,32.7805577,"Geocoded",NA,NA,NA
"
  Compass Rose 
  ","","611 Duval Street","Key West","FL","","Bars/Clubs","",1977,-81.801658,24.554616,"Geocoded",NA,NA,NA
