"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","118 1/2 Occidental ","Seattle","WA","","Baths",1965,NA,"118 1/2 Occidental , Seattle, WA",-122.3332766,47.5995418,"311 1/2 occidental ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"","2402 1st Ave N","Seattle","WA","","Baths",1965,NA,"2402 1st Ave N, Seattle, WA",-122.3553026,47.64011,"2402 1st ave n, seattle, wa 98109, usa","Geocoded",NA,NA
"","207 2nd Ave S","Seattle","WA","(D)","Bars/Clubs",1965,NA,"207 2nd Ave S, Seattle, WA",-122.3319532,47.6005855,"207 2nd ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"","158 Washington ","Seattle","WA","","Bars/Clubs",1965,NA,"158 Washington , Seattle, WA",-122.3129866,47.7436269,"ne 158th st, washington 98155, usa","Geocoded",NA,NA
"","922 3rd Ave","Seattle","WA","(G),(D),(*)","Bars/Clubs",1965,NA,"922 3rd Ave, Seattle, WA",-122.3335175,47.6050736,"922 3rd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"(only liquor bar listed)","203 Yessler","Seattle","WA","(*)","Bars/Clubs",1965,NA,"203 Yessler, Seattle, WA",-122.33113,47.6015853,"203 yesler way, seattle, wa 98104, usa","Geocoded",NA,NA
"","824 Pike St. ","Seattle","WA","","Bars/Clubs",1965,NA,"824 Pike St. , Seattle, WA",-122.331423,47.612477,"824 pike st, seattle, wa 98101, usa","Geocoded",NA,NA
"","614 1st St. ","Seattle","WA","(D),(*)","Bars/Clubs",1965,NA,"614 1st St. , Seattle, WA",-122.3336804,47.6023525,"614 1st ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","919 W. Spague ","Spokane","WA","(*)","Bars/Clubs",1965,NA,"919 W. Spague , Spokane, WA",-117.4260106,47.6570103,"919 w sprague ave, spokane, wa 99201, usa","Geocoded",NA,NA
"","118 1/2 Occidental ","Seattle","WA","","Baths",1966,NA,"118 1/2 Occidental , Seattle, WA",-122.3332766,47.5995418,"311 1/2 occidental ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"('new dance'--after hours Fri & Sat; semi-private; bring your own booze. 2nd fl, Morrison Hotel)","517 3rd Ave","Seattle","WA","(*)","Bars/Clubs,Hotels",1966,NA,"517 3rd Ave, Seattle, WA",-122.3313474,47.6024509,"517 3rd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","2402 1st Ave","Seattle","WA","","Baths",1966,NA,"2402 1st Ave, Seattle, WA",-122.3478391,47.6144167,"2402 1st ave, seattle, wa 98121, usa","Geocoded",NA,NA
"","207 2nd Ave S","Seattle","WA","(D),(*)","Bars/Clubs",1966,NA,"207 2nd Ave S, Seattle, WA",-122.3319532,47.6005855,"207 2nd ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"(liquor)","203 Yesler Way ","Seattle","WA","(*)","Bars/Clubs",1966,NA,"203 Yesler Way , Seattle, WA",-122.33113,47.6015853,"203 yesler way, seattle, wa 98104, usa","Geocoded",NA,NA
"","824 Pike St. ","Seattle","WA","","Bars/Clubs",1966,NA,"824 Pike St. , Seattle, WA",-122.331423,47.612477,"824 pike st, seattle, wa 98101, usa","Geocoded",NA,NA
"","611 2nd Ave","Seattle","WA","(*)","Bars/Clubs",1966,NA,"611 2nd Ave, Seattle, WA",-122.3329967,47.6025555,"611 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","158 Washington ","Seattle","WA","","Bars/Clubs",1966,NA,"158 Washington , Seattle, WA",-122.3129866,47.7436269,"ne 158th st, washington 98155, usa","Geocoded",NA,NA
"","919 W. Sprague ","Spokane","WA","(*)","Bars/Clubs",1966,NA,"919 W. Sprague , Spokane, WA",-117.4260106,47.6570103,"919 w sprague ave, spokane, wa 99201, usa","Geocoded",NA,NA
"","938 Pacific Ave ","Tacoma","WA","","Bars/Clubs",1966,NA,"938 Pacific Ave , Tacoma, WA",-122.43915,47.2540515,"938 pacific ave, tacoma, wa 98402, usa","Geocoded",NA,NA
"","118 1/2 Occidental ","Seattle","WA","","Baths",1968,NA,"118 1/2 Occidental , Seattle, WA",-122.3332766,47.5995418,"311 1/2 occidental ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"(liquor)","417 2nd Ave ","Seattle","WA","","Bars/Clubs",1968,NA,"417 2nd Ave , Seattle, WA",-122.3596403,47.6226169,"417 2nd ave w, seattle, wa 98119, usa","Geocoded",NA,NA
"(D- semi-private BYOB Fri & Sat nites, 2nd floor Morrison Hotel)","517 3rd Ave","Seattle","WA","(*)","Bars/Clubs,Hotels",1968,NA,"517 3rd Ave, Seattle, WA",-122.3313474,47.6024509,"517 3rd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"(After hours)","1001 Olive Way","Seattle","WA","(C),(M),(R)","Restaurant",1968,NA,"1001 Olive Way, Seattle, WA",-122.3326385,47.6149467,"1001 olive way, seattle, wa 98101, usa","Geocoded",NA,NA
"","2402 1st Ave ","Seattle","WA","","Baths",1968,NA,"2402 1st Ave , Seattle, WA",-122.3478391,47.6144167,"2402 1st ave, seattle, wa 98121, usa","Geocoded",NA,NA
"","207 2nd Ave S","Seattle","WA","(D),(*)","Bars/Clubs",1968,NA,"207 2nd Ave S, Seattle, WA",-122.3319532,47.6005855,"207 2nd ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"(liquor)","203 Yesler","Seattle","WA","","Bars/Clubs",1968,NA,"203 Yesler, Seattle, WA",-122.33113,47.6015853,"203 yesler way, seattle, wa 98104, usa","Geocoded",NA,NA
"","824 Pike St. ","Seattle","WA","","Bars/Clubs",1968,NA,"824 Pike St. , Seattle, WA",-122.331423,47.612477,"824 pike st, seattle, wa 98101, usa","Geocoded",NA,NA
"","173 S. Washington","Seattle","WA","(M),(RT)","Bars/Clubs",1968,NA,"173 S. Washington, Seattle, WA",-122.3318191,47.6007134,"173 s washington st, seattle, wa 98104, usa","Geocoded",NA,NA
"","611 2nd Ave","Seattle","WA","","Bars/Clubs",1968,NA,"611 2nd Ave, Seattle, WA",-122.3329967,47.6025555,"611 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","158 Washington","Seattle","WA","","Bars/Clubs",1968,NA,"158 Washington, Seattle, WA",-122.3129866,47.7436269,"ne 158th st, washington 98155, usa","Geocoded",NA,NA
"(liquor- basement of Smith Tower)","506 2nd Ave","Seattle","WA","(G),(D)","Bars/Clubs",1968,NA,"506 2nd Ave, Seattle, WA",-122.3317164,47.6019789,"506 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
