"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(Downstairs) (Grandview Pike)","Rte. 3","Beckley","WV","(P),(M)","Bars/Clubs",1980,NA,"Rte. 3, Beckley, WV",-81.1916706,37.7736511,"state hwy 3, beckley, wv, usa","Geocoded",NA,NA
"","806 Kanawha Blvd. E.","Charlestown","WV","","Business",1980,NA,"806 Kanawha Blvd. E., Charlestown, WV",-81.6366575,38.3485553,"806 kanawha blvd e, charleston, wv 25301, usa","Geocoded",NA,NA
"","1008 Quarrier St.","Charlestown","WV","(M)","Theatre",1980,NA,"1008 Quarrier St., Charlestown, WV",-81.632528,38.3480753,"1008 quarrier st, charleston, wv 25301, usa","Geocoded",NA,NA
"(Some M, RT) (Downstairs)","1022 Quarrier St.","Charlestown","WV","(M),(RT)","Bars/Clubs",1980,NA,"1022 Quarrier St., Charlestown, WV",-81.6325878,38.3482742,"1022 quarrier st, charleston, wv 25301, usa","Geocoded",NA,NA
"(Disco) (Occ. S) (Some L)","617 Brooks St.","Charlestown","WV","(*),(YC),(D),(P),(S),(L)","Bars/Clubs",1980,NA,"617 Brooks St., Charlestown, WV",-81.6256421,38.3500112,"617 brooks st, charleston, wv 25301, usa","Geocoded",NA,NA
"(Plans baths upstairs) (Some L) (Occ. S) (Disco)","168 Laidley","Charlestown","WV","(*),(P),(YC),(L),(R),(S),(D)","Bars/Clubs",1980,NA,"168 Laidley, Charlestown, WV",-81.6385699,38.3563539,"108 lee st e, charleston, wv 25301, usa","Geocoded",NA,NA
"(Opens 4 pm) (Out of staters welcome)","1121 7th Ave.","Huntington","WV","(*),(P),(YC),(D)","Bars/Clubs",1980,NA,"1121 7th Ave., Huntington, WV",-82.4382673,38.4171622,"1121 7th ave, huntington, wv 25701, usa","Geocoded",NA,NA
"(Some L)","105 4th Ave. at 1st St.","Huntington","WV","(L),(D),(*),(YC),(P)","Bars/Clubs",1980,NA,"105 4th Ave. at 1st St., Huntington, WV",-82.4568958,38.4180492,"105 4th ave, huntington, wv 25701, usa","Geocoded",NA,NA
"(Disco) (Lunches)","121 Pleasant St.","Morgantown","WV","(*),(D)","Bars/Clubs",1980,NA,"121 Pleasant St., Morgantown, WV",-79.9580428,39.6295237,"121 pleasant st, morgantown, wv 26505, usa","Geocoded",NA,NA
"(8 pm to 12 midnight) (was closed - may be re-opening) (Cl. Sun. & Mon.)","600 Market St.","Parkersburg","WV","(P),(YC)","Bars/Clubs",1980,NA,"600 Market St., Parkersburg, WV",-81.5591927,39.2664386,"600 market st, parkersburg, wv 26101, usa","Geocoded",NA,NA
"","727 7th t.","Parkersburg","WV","(M)","Bars/Clubs",1980,NA,"727 7th t., Parkersburg, WV",-81.5500458,39.2639734,"727 7th st, parkersburg, wv 26101, usa","Geocoded",NA,NA
"","16th & Market Sts.","Wheeling","WV","","Book Store",1980,NA,"16th & Market Sts., Wheeling, WV",-95.8512268,36.1387711,"s garnett rd & e 16th st s sb, tulsa, ok 74128, usa","Geocoded",NA,NA
"(Disco)","1413 Market St.","Wheeling","WV","(P),(YC),(D)","Bars/Clubs",1980,NA,"1413 Market St., Wheeling, WV",-80.7225069,40.065232,"1413 market st, wheeling, wv 26003, usa","Geocoded",NA,NA
