"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"","2506 College Ave","Appleton","(M),(R),(C),(AH)","Restaurant",1980,"","2506 College Ave, Appleton, ",-88.4453375,44.2627773,"2506 w college ave, appleton, wi 54914, usa","Geocoded",NA,NA,NA
"(Some L) (Snacks)","343 W. College","Appleton","(*),(D),(PT),(L)","Bars/Clubs",1980,"","343 W. College, Appleton, ",-88.4103184,44.2615253,"343 w college ave, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"","2505 College Ave","Appleton","(M),(R),(C),(AH)","Restaurant",1980,"","2505 College Ave, Appleton, ",-88.4460246,44.2609529,"2505 w college ave, appleton, wi 54914, usa","Geocoded",NA,NA,NA
"","815 Park Ave","Beaver Dam","(M),(H)","Hotels",1980,"","815 Park Ave, Beaver Dam, ",-88.8179715,43.4553072,"815 park ave, beaver dam, wi 53916, usa","Geocoded",NA,NA,NA
"(Disco) (Wed., Fri., Sat.) (Some L, YC, SM)","207 S. Washington","Green Bay","(*),(D),(PT),(L),(YC),(SM)","Bars/Clubs",1980,"","207 S. Washington, Green Bay, ",-88.0172161,44.5127204,"207 s washington st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","10936 Sheridan Rd.","Kenosha","(YC),(D),(*)","Bars/Clubs",1980,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
"(Some L) (Disco)","223 Pearl St.","La Crosse","(*),(YC),(L),(PT),(D),(S)","Bars/Clubs",1980,"","223 Pearl St., La Crosse, ",-91.2535035,43.8121954,"223 pearl st, la crosse, wi 54601, usa","Geocoded",NA,NA,NA
"(Many L)","120 3rd Sr.","La Crosse","(L),(D)","Bars/Clubs",1980,"","120 3rd Sr., La Crosse, ",-91.2531372,43.8122994,"120 3rd st s, la crosse, wi 54601, usa","Geocoded",NA,NA,NA
"(Below Palms Cafe)","636 W. Washington","Madison","(M),(E)","Bars/Clubs",1980,"","636 W. Washington, Madison, ",-89.3936828,43.0684457,"636 w washington ave, madison, wi 53703, usa","Geocoded",NA,NA,NA
"Washington Hotel","636 W. Washington","Madison","(M)","Bars/Clubs,Hotels",1980,"","636 W. Washington, Madison, ",-89.3936828,43.0684457,"636 w washington ave, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(G.M.W) (Guys on main floor, L in basement, Game room) (M-YC-Disco D","111 W. Main","Madison","(*),(L),(M),(YC),(D)","Bars/Clubs",1980,"","111 W. Main, Madison, ",-89.3844316,43.0725799,"111 w main st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(Open until 3am)","636 W. Washington","Madison","(M),(R),(C)","Restaurant",1980,"","636 W. Washington, Madison, ",-89.3936828,43.0684457,"636 w washington ave, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(Some OC, W, SM)","116 N. Fairchild","Madison","(OC),(W),(SM),(*)","Bars/Clubs",1980,"","116 N. Fairchild, Madison, ",-89.3874661,43.0742053,"116 n fairchild st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D),(*)","Bars/Clubs",1980,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Disco)","625 E. St Paul","Milwaukee","(D),(YC),(R),(M),(*)","Restaurant",1980,"","625 E. St Paul, Milwaukee, ",-87.9027157,43.0351306,"625 e st paul ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
