"title","description","streetaddress","city","state","Year","amenityfeatures","type","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Holiday Inn Bar","","300 W. F St.","Casper","WY",1980,"(M)","Hotels,Bars/Clubs",NA,"300 W. F St., Casper, WY",-106.3289038,42.8581433,"300 w f st, casper, wy 82601, usa","Geocoded",NA
"Wonderbar","(Summers)","254 S. Center St.","Casper","WY",1980,"(M)","Bars/Clubs",NA,"254 S. Center St., Casper, WY",-106.3255135,42.8477613,"254 s center st, casper, wy 82601, usa","Geocoded",NA
"Hitching Post Inn","(Bar only) (Best bet*) ","1600 W. Lincoln Way","Cheyenne","WY",1980,"(M),(*),(E)","Bars/Clubs",NA,"1600 W. Lincoln Way, Cheyenne, WY",-104.8327957,41.1266238,"1600 w lincolnway, cheyenne, wy 82001, usa","Geocoded",NA
"Holdings' Little America Lodge","(Jct. of I-25 & I-80)","2200 W. Lincoln Way","Cheyenne","WY",1980,"(M)","Bars/Clubs",NA,"2200 W. Lincoln Way, Cheyenne, WY",-104.7909753,41.1387768,"2200 e lincolnway, cheyenne, wy 82001, usa","Geocoded",NA
"O.P. Taylor's Liquor Locker","(Some L) (E- WE)","2018 Carey Ave.","Cheyenne","WY",1980,"(M),(L),(PT),(E),(WE)","Bars/Clubs",NA,"2018 Carey Ave., Cheyenne, WY",-104.8198273,41.1360512,"2018 carey ave, cheyenne, wy 82001, usa","Geocoded",NA
"Buckhorn","('Best bet')","114 Ivinson","Laramie","WY",1980,"(M),(W)","Bars/Clubs",NA,"114 Ivinson, Laramie, WY",-105.5953206,41.3119437,"114 e ivinson ave, laramie, wy 82070, usa","Geocoded",NA
"Outlaw Bar","","1630 Elk St.","Rock Springs","WY",1980,"(M),(W)","Bars/Clubs",NA,"1630 Elk St., Rock Springs, WY",-109.2295368,41.6125654,"1630 elk st, rock springs, wy 82901, usa","Geocoded",NA
"Holiday Inn Bar","","300 W. F St.","Casper","WY",1979,"(M)","Hotels,Bars/Clubs",NA,"300 W. F St., Casper, WY",-106.3289038,42.8581433,"300 w f st, casper, wy 82601, usa","Geocoded",NA
"Wonderbar","(Summers)","254 S. Center St.","Casper","WY",1979,"(M)","Bars/Clubs",NA,"254 S. Center St., Casper, WY",-106.3255135,42.8477613,"254 s center st, casper, wy 82601, usa","Geocoded",NA
"Hitching Post Inn","(Bar only) (Best bet*) ","1600 W. Lincoln Way","Cheyenne","WY",1979,"(M),(*),(E)","Bars/Clubs",NA,"1600 W. Lincoln Way, Cheyenne, WY",-104.8327957,41.1266238,"1600 w lincolnway, cheyenne, wy 82001, usa","Geocoded",NA
"Holding's Little America Lodge","(Jct. of I-25 & I-80)","2200 W. Lincoln Way","Cheyenne","WY",1979,"(M)","Bars/Clubs",NA,"2200 W. Lincoln Way, Cheyenne, WY",-104.7909753,41.1387768,"2200 e lincolnway, cheyenne, wy 82001, usa","Geocoded",NA
"O.P. Taylor's Liquor Locker","(Some G) (E- WE)","2018 Carey Ave.","Cheyenne","WY",1979,"(M),(PT),(E),(WE),(G)","Bars/Clubs",NA,"2018 Carey Ave., Cheyenne, WY",-104.8198273,41.1360512,"2018 carey ave, cheyenne, wy 82001, usa","Geocoded",NA
"Buckhorn","('Best bet')","114 Ivinson","Laramie","WY",1979,"(M),(W),(YC)","Bars/Clubs",NA,"114 Ivinson, Laramie, WY",-105.5953206,41.3119437,"114 e ivinson ave, laramie, wy 82070, usa","Geocoded",NA
"Dr. Finfrock's Table","","209 S. 3rd.","Laramie","WY",1979,"(M),(R),(OC)","Restaurant",NA,"209 S. 3rd., Laramie, WY",-105.5932623,41.3114849,"209 s 3rd st, laramie, wy 82070, usa","Geocoded",NA
"Outlaw Bar","","1630 Elk St.","Rock Springs","WY",1979,"(M),(W)","Bars/Clubs",NA,"1630 Elk St., Rock Springs, WY",-109.2295368,41.6125654,"1630 elk st, rock springs, wy 82901, usa","Geocoded",NA
"Holiday Inn Bar","","300 W. F St.","Casper","WY",1978,"(M)","Hotels,Bars/Clubs",NA,"300 W. F St., Casper, WY",-106.3289038,42.8581433,"300 w f st, casper, wy 82601, usa","Geocoded",NA
"Wonderbar","(Summers)","254 S. Center St.","Casper","WY",1978,"(M)","Bars/Clubs",NA,"254 S. Center St., Casper, WY",-106.3255135,42.8477613,"254 s center st, casper, wy 82601, usa","Geocoded",NA
"Sam's Place","(Some RT, SM)* Plains Hotel","1600 Central Ave.","Cheyenne","WY",1978,"(M),(W),(RT),(SM),(*)","Bars/Clubs,Hotels",NA,"1600 Central Ave., Cheyenne, WY",-104.8145914,41.1333759,"1600 central ave, cheyenne, wy 82001, usa","Geocoded",NA
"Tippin","1/2 block W. of O'Neill","642 W. 20th","Cheyenne","WY",1978,"(P),(M),(RT),(AH)","Bars/Clubs",NA,"642 W. 20th, Cheyenne, WY",-104.8231249,41.1345651,"642 w 20th st, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1978,"(M),(W)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Buckhorn","('Best bet')","114 Ivinson","Laramie","WY",1978,"(M),(W),(YC)","Bars/Clubs",NA,"114 Ivinson, Laramie, WY",-105.5953206,41.3119437,"114 e ivinson ave, laramie, wy 82070, usa","Geocoded",NA
"Dr. Finfrock's Table","","209 S. 3rd.","Laramie","WY",1978,"(M),(R),(OC)","Restaurant",NA,"209 S. 3rd., Laramie, WY",-105.5932623,41.3114849,"209 s 3rd st, laramie, wy 82070, usa","Geocoded",NA
"Outlaw Bar","","1630 Elk St.","Rock Springs","WY",1978,"(M),(W)","Bars/Clubs",NA,"1630 Elk St., Rock Springs, WY",-109.2295368,41.6125654,"1630 elk st, rock springs, wy 82901, usa","Geocoded",NA
"Holiday Inn Bar","","300 W. F Street","Casper","WY",1977,"(M)","Bars/Clubs,Hotels",NA,"300 W. F Street, Casper, WY",-106.3289038,42.8581433,"300 w f st, casper, wy 82601, usa","Geocoded",NA
"Wonderbar","(Summers only)
","254 S. Center Street","Casper","WY",1977,"(M)","Bars/Clubs",NA,"254 S. Center Street, Casper, WY",-106.3255135,42.8477613,"254 s center st, casper, wy 82601, usa","Geocoded",NA
"Hitching Post Motel Lounge","(Bar only)","1800 W. Lincoln Way","Cheyenne","WY",1977,"(M)","Bars/Clubs",NA,"1800 W. Lincoln Way, Cheyenne, WY",-104.8342849,41.1259067,"1800 w lincolnway, cheyenne, wy 82001, usa","Geocoded",NA
