ID,title,description,streetaddress,type,amenityfeatures,city,state,Year,unclearaddress,uncleartype,notes,lastmodified,full.address,lat,lon,geoAddress,status
3213,'B.A.',(woods & ponds),,Cruising Areas,Cruisy Area,Lake Placid,NY,1982,checked,NA,,5/31/2022 2:34pm,", NY",44.279491,-73.979871,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3508,'B.A.' Beach,(2 mi. E. on Rte. 2),,Cruising Areas,Cruisy Area,Troy,NY,1982,checked,NA,,6/1/2022 9:21am,", NY",42.728412,-73.691785,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2614,'B.A.' beach at N. Truro,,,Cruising Areas,Cruisy Area,Provincetown,MA,1982,checked,NA,,5/19/2022 1:37pm,", MA",42.064946,-70.111248,unclear_coded_by_hand,Verified Location
4709,'B.A.' Beach nr. Evergreen Floating Bridge,,,Cruising Areas,Cruisy Area,Seattle,WA,1982,checked,NA,,6/10/2022 8:19pm,", WA",47.60621,-122.332071,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4583,'B.A.' Beach nr. Salt Air Beach,,,Cruising Areas,Cruisy Area,Salt Lake City,UT,1982,checked,NA,,6/8/2022 3:14pm,", UT",40.747813,-112.187268,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
697,'B.A.' Beach on Russian River,(1 1/2 mi. from Mirabelle Park),,Cruising Areas,Cruisy Area,Russian River,CA,1982,checked,NA,,2/23/2022 3:07pm,", CA",38.911632,-123.011048,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1353,'Black Forest',((walking area under bridge at 27th & Pennsylvania N.W.) (AYOR),,Cruising Areas,"Cruisy Area,(AYOR)",Washington,DC,1982,checked,NA,,3/15/2022 5:21am,", DC",38.907192,-77.036871,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1682,'Bus Stop',(at Pine & Jefferson),,Cruising Areas,Cruisy Area,Albany,GA,1982,checked,NA,,4/9/2022 10:29am,", GA",31.578507,-84.155741,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
57,'C' St. at 4th Ave.,,,Cruising Areas,Cruisy Area,Anchorage,AK,1982,checked,NA,,2/13/2022 2:34pm,", AK",61.218923,-149.850373,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3977,'Chicken Hawks',(Best WE),,Cruising Areas,"(WE),Cruisy Area",Nescopeck,PA,1982,checked,NA,,6/4/2022 8:11am,", PA",41.052029,-76.220767,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3749,'Cruising the Levee',(Take Dixie Dr. or Riverside to Helena. the Levee overlooks Island Park) (AYOR),,Cruising Areas,"(AYOR),Cruisy Area",Dayton,OH,1982,checked,NA,,6/2/2022 3:51pm,", OH",39.758948,-84.191607,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
637,'Cruisy jacuzzi' sauna & bushes at Desert Palms,(Late),,Cruising Areas,"(*),Cruisy Area",Palm Springs,CA,1982,checked,NA,,4/27/2022 5:52pm,", CA",33.894667,-116.615475,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2763,'Dog Run',(Clarkson) (AYOR),,Cruising Areas,"Cruisy Area,(AYOR)",Pontiac,MI,1982,checked,NA,,5/23/2022 7:47am,", MI",42.73512,-83.419294,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
766,'F' St. Bookstore,(4th & 'F' and 2004 University),,Book Store,(*),San Diego,CA,1982,checked,NA,,2/28/2022 3:50am,", CA",32.748618,-117.143424,unclear_coded_by_hand,Verified Location
241,'F' Street Bookstore,,158 E. Main,Book Store,(*),El Cajon,CA,1982,,,,11/26/2021 1:43pm,"158 E. Main, El Cajon, CA",32.7951953,-116.9609898,"158 e main st, el cajon, ca 92020, usa",Google Verified Location
4122,'First Beach' in front of concession stands,,,Cruising Areas,Cruisy Area,Newport,RI,1982,checked,NA,,6/6/2022 8:19am,", RI",41.488401,-71.291362,unclear_coded_by_hand,Verified Location
2139,'Gay Loop' Keo & Park betw.,(AH*),4th & 5th Sts.,Cruising Areas,"(*),(AH),Cruisy Area",Des Moines,IA,1982,checked,NA,,5/2/2022 4:42am,"4th & 5th Sts., IA",41.586835,-93.624959,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4307,'Hippie Hollow',"('B.A.' beach in Lake Travis, off Hwy. 620)",,Cruising Areas,Cruisy Area,Austin,TX,1982,checked,NA,,6/7/2022 3:24pm,", TX",30.41351,-97.886849,unclear_coded_by_hand,Verified Location
163,'Hitch-hikers',(4th Ave. & Hwy. 8) (AYOR),,Cruising Areas,"Cruisy Area,(AYOR)",Yuma,AZ,1982,checked,NA,,2/13/2022 2:34pm,", AZ",32.731581,-114.624535,unclear_coded_by_hand,Verified Location
1125,'Hitch-hikers',(on US 101 nr. State St.) (afternoons),,Cruising Areas,Cruisy Area,Santa Barbara,CA,1982,checked,NA,,4/28/2022 5:03am,", CA",34.415519,-119.693381,unclear_coded_by_hand,Verified Location
805,'Hitch-hikers',(Sailors) (along Rosecrans),,Cruising Areas,Cruisy Area,San Diego,CA,1982,checked,NA,,2/28/2022 3:51am,", CA",32.715738,-117.161084,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
306,'Hitch-hikers',(on Coast Hwy. from Myrtle St. to Bluebird Canyon Rd.),,Cruising Areas,Cruisy Area,Laguna Beach,CA,1982,checked,NA,,2/18/2022 10:49am,", CA",33.542719,-117.785357,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
804,'Hitch-hikers',(along El Cajon - nr. S.D. St. Univ.),,Cruising Areas,Cruisy Area,San Diego,CA,1982,checked,NA,,2/28/2022 3:53am,", CA",32.715738,-117.161084,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4194,'Hitch-hikers',(on Minnesota Ave.),,Cruising Areas,Cruisy Area,Sioux Falls,SD,1982,checked,NA,,6/6/2022 9:56am,", SD",43.547303,-96.728333,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3167,'Hitch-hikers',(on Elmwood betw. North & Bryant),,Cruising Areas,Cruisy Area,Buffalo,NY,1982,checked,NA,,5/27/2022 10:53pm,", NY",42.902261,-78.877111,unclear_coded_by_hand,Verified Location
353,'Hitch-hikers',(on Broadway betw. Long Beach Blvd. & Magnolia),,Cruising Areas,Cruisy Area,Long Beach,CA,1982,checked,NA,,2/19/2022 11:20am,", CA",33.769284,-118.193606,unclear_coded_by_hand,Verified Location
152,'Hitch-hikers',(on E. Speedway),,Cruising Areas,Cruisy Area,Tucson,AZ,1982,checked,NA,,2/13/2022 2:33pm,", AZ",32.235665,-110.840906,unclear_coded_by_hand,Verified Location
115,'Hitch-hikers' 2nd & Roosevelt Sts.,,,Cruising Areas,Cruisy Area,Phoenix,AZ,1982,checked,NA,,2/13/2022 2:34pm,", AZ",33.448377,-112.074037,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
