"title","description","streetaddress","type","amenityfeatures","city","state","Year","notes","full.address","lat","lon","geoAddress","status","unclear_address","ID"
"'B.A.' Beach","nr. Evergreen Floating Bridge","","Cruising Areas","Cruisy Area","Seattle","WA",1984,"",", WA",47.60621,-122.332071,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-WA-0001"
"'B.A.' Beach","2 mi. E. on Rte. 2","","Cruising Areas","Cruisy Area","Troy","NY",1984,"",", NY",42.728412,-73.691785,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-NY-0002"
"'B.A.' Beach","nr. Salt Air Beach","","Cruising Areas","Cruisy Area,(AYOR)","Salt Lake City","UT",1984,"",", UT",40.747813,-112.187268,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-UT-0003"
"'B.A.' beach","at N. Truro","","Cruising Areas","Cruisy Area","Provincetown","MA",1984,"",", MA",42.064946,-70.111248,"unclear_coded_by_hand","Verified Location",NA,"1984-MA-0004"
"'B.A.' Beach on Russian River","at Wohler Bridge","","Cruising Areas","Cruisy Area","Russian River","CA",1984,"Listed under 'Russian River'",", CA",38.911632,-123.011048,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-CA-0005"
"'B' Street","(Disco)","236 S. 'B' St.","Bars/Clubs,Restaurant","(D),(R),(YC),(PT),(*)","San Mateo","CA",1984,"","236 S. 'B' St., San Mateo, CA",37.5657665,-122.3231079,"236 s b st, san mateo, ca 94401, usa","Google Verified Location",NA,"1984-CA-0006"
"'Black Forest'","-walking area under bridge at 27th & Pennsylvania N.W.","","Cruising Areas","(AYOR),Cruisy Area","Washington","D.C.",1984,"",", D.C.",38.907192,-77.036871,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-D.C.-0007"
"'Bus Stop'","at Pine & Jefferson","","Cruising Areas","Cruisy Area","Albany","GA",1984,"",", GA",31.578466,-84.155978,"unclear_coded_by_hand","Verified Location",NA,"1984-GA-0008"
"'C' St. at 4th Ave.","","","Cruising Areas","Cruisy Area","Anchorage","AK",1984,"",", AK",61.218923,-149.850373,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-AK-0009"
"'Cruisy jacuzzi'","sauna & bushes at Desert Palms (Late) (at Desert Palms)","","Cruising Areas","(*),Cruisy Area","Palm Springs","CA",1984,"",", CA",33.894667,-116.615475,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-CA-0010"
"'Dog Run'","Clarkston","","Cruising Areas","Cruisy Area,(AYOR)","Pontiac","MI",1984,"",", MI",42.73512,-83.419294,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-MI-0011"
"'F' St. Bookstore","4th & 'F'","2004 University","Book Store","(*)","San Diego","CA",1984,"","2004 University, San Diego, CA",32.715738,-117.1610838,"san diego, ca, usa","Google Verified Location",NA,"1984-CA-0012"
"'F' Street Bookstore","","158 E. Main","Book Store","(*)","El Cajon","CA",1984,"","158 E. Main, El Cajon, CA",32.7951953,-116.9609898,"158 e main st, el cajon, ca 92020, usa","Google Verified Location",NA,"1984-CA-0013"
"'First Beach'","in front of concession stands","","Cruising Areas","Cruisy Area","Newport","RI",1984,"",", RI",41.488401,-71.291362,"unclear_coded_by_hand","Verified Location",NA,"1984-RI-0014"
"'Gay Acres'","Triangle opp. Art Museum","","Cruising Areas","Cruisy Area","Camden","NJ",1984,"",", NJ",39.925946,-75.11962,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-NJ-0015"
"'Gay Loop'","Keo & Park betw. 4th & 5th Sts. (AH*)","","Cruising Areas","Cruisy Area,(AH),(*)","Des Moines","IA",1984,"",", IA",41.586835,-93.624959,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-IA-0016"
"'Hibernia Beach'","","18th & Castro","Cruising Areas","Cruisy Area","San Francisco","CA",1984,"Noted to be at the corner of Castro and 18th St. near what is now the GLBT Historical Society Museum: http://sfbaytimes.com/life-and-loss-at-hibernia-beach-in-the-castro/","18th & Castro, CA",37.760715,-122.435636,"unclear_coded_by_hand","Verified Location",NA,"1984-CA-0017"
"'Hippie Hollow'","'B.A.' beach in Lake Travis,
off Hwy. 620","","Cruising Areas","Cruisy Area","Austin","TX",1984,"",", TX",30.41351,-97.886849,"unclear_coded_by_hand","Verified Location",NA,"1984-TX-0018"
"'Hitch-hikers'","on US 101 nr. State St. (afternoons)","","Cruising Areas","Cruisy Area","Santa Barbara","CA",1984,"",", CA",34.415519,-119.693381,"unclear_coded_by_hand","Verified Location",NA,"1984-CA-0019"
"'Hitch-hikers'","along El Cajon- nr. S.D. St. Univ.","","Cruising Areas","Cruisy Area","San Diego","CA",1984,"",", CA",32.715738,-117.161084,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1984-CA-0020"
