"ID","title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","uncleartype","notes","lastmodified","full.address","lon","lat","geoAddress","status"
"4864","First Heritage Book Store","(Cruisy)","16 1st Ave. S.E.","Aberdeen","SD","","Book Store,Cruising Areas",NA,1985,"","","12/5/2021 12:17pm","16 1st Ave. S.E., Aberdeen, SD",-98.4872698,45.4641244,"16 1st ave se, aberdeen, sd 57401, usa","Geocoded"
"4865","Front Office","(Disco)","11 E. Railroad Ave.","Aberdeen","SD","(M),(YC),(D)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","11 E. Railroad Ave., Aberdeen, SD",-98.474643,45.465188,"railroad ave se, aberdeen, sd 57401, usa","Geocoded"
"5436","Crystal Steam Baths","","107 S. 'F' St.","Aberdeen","WA","(M)","Bars/Clubs,Bathhouses",NA,1985,"","","1/20/2022 6:54am","107 S. 'F' St., Aberdeen, WA",-123.8140497,46.9770375,"107 s f st, aberdeen, wa 98520, usa","Geocoded"
"4957","M.C.C.","","1925 Collins","Abilene","TX","(MCC)","Religious Institution",NA,1985,"","","12/5/2021 12:17pm","1925 Collins, Abilene, TX",-99.7433219,32.4875365,"1925 collins ave, abilene, tx 79603, usa","Geocoded"
"4209","Cascade Comm. Church","","475 W. Market St.","Akron","OH","","Religious Institution",NA,1985,"","","12/5/2021 12:17pm","475 W. Market St., Akron, OH",-81.5327078,41.092241,"475 w market st, akron, oh 44303, usa","Geocoded"
"4207","Adams Street Bar","(Cocktail hour)(Disco)","77 N. Adams","Akron","OH","(D),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","77 N. Adams, Akron, OH",-81.4980166,41.0799241,"77 n adams st, akron, oh 44304, usa","Geocoded"
"4210","Club Baths of Akron","","1339 E. Market","Akron","OH","(*)","Bars/Clubs,Bathhouses",NA,1985,"","","12/5/2021 12:17pm","1339 E. Market, Akron, OH",-81.479264,41.064209,"1339 e market st, akron, oh 44305, usa","Geocoded"
"4213","Jox","(Disco)","1433 S. Main","Akron","OH","(YC),(D),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","1433 S. Main, Akron, OH",-81.5274768,41.0479251,"1433 s main st, akron, oh 44301, usa","Geocoded"
"4212","Heartbeat","(Cruisy)","22 N. Main","Akron","OH","(PT),(*)","Bars/Clubs,Cruising Areas",NA,1985,"","","12/5/2021 12:17pm","22 N. Main, Akron, OH",-81.5164631,41.0859109,"22 n main st, akron, oh 44308, usa","Geocoded"
"4217","Satan's Den","(Use rear door)","839 S. Arlington","Akron","OH","(L),(D),(WE),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","839 S. Arlington, Akron, OH",-81.4907543,41.0492523,"839 s arlington st, akron, oh 44306, usa","Geocoded"
