ID,title,description,amenityfeatures,streetaddress,type,city,state,unclearaddress,Year,uncleartype,notes,lastmodified,full.address,lon,lat,geoAddress,status
1,Delta Service Station,,Cruisy Area,,Cruising Areas,Anniston,AL,checked,1989,NA,,1/19/2023 3:42pm,", AL",-85.831632,33.659826,unclear_coded_by_hand,General Coordinates Used
2,Fort McClellan Mall,,Cruisy Area,,Cruising Areas,Anniston,AL,checked,1989,NA,,1/19/2023 3:43pm,", AL",-85.831632,33.659826,unclear_coded_by_hand,General Coordinates Used
3,Lagarde Park,,Cruisy Area,,Cruising Areas,Anniston,AL,checked,1989,NA,,1/19/2023 3:53pm,", AL",-85.823936,33.692729,unclear_coded_by_hand,Found
4,Noble St.,betw. 8th & 16th,Cruisy Area,,Cruising Areas,Anniston,AL,checked,1989,NA,,1/19/2023 3:57pm,", AL",-85.829655,33.658482,unclear_coded_by_hand,Found
5,Alpha Lambda Omega,"P.O. Box 821, 36830",,,Organization,Auburn,AL,checked,1989,NA,,1/19/2023 4:02pm,", AL",-85.499419,32.479692,unclear_coded_by_hand,General Coordinates Used
6,Gay Men of Auburn,,,"P.O. Box 691, 36931",Organization,Auburn,AL,checked,1989,NA,,1/19/2023 4:13pm,"P.O. Box 691, 36931, AL",-85.480782,32.609857,unclear_coded_by_hand,General Coordinates Used
7,Haley Center,(4th floor) Library (Auburn U),Cruisy Area,,Cruising Areas,Auburn,AL,checked,1989,NA,,1/19/2023 4:14pm,", AL",-85.486793,32.603395,unclear_coded_by_hand,Found
8,Haley Center,Sanford Park nr. Langton Hall (Auburn U),Cruisy Area,,Cruising Areas,Auburn,AL,checked,1989,NA,,1/19/2023 4:14pm,", AL",-85.486793,32.603395,unclear_coded_by_hand,Found
9,Autaugaville Rec. Park,,"Cruisy Area,(B),(AYOR)",,Cruising Areas,Autaugaville,AL,checked,1989,NA,,1/27/2023 1:47pm,", AL",-86.654702,32.434025,unclear_coded_by_hand,General Coordinates Used
10,Jr. Food Store,(Late nights),"Cruisy Area,(B)",,Cruising Areas,Autaugaville,AL,checked,1989,NA,,1/27/2023 1:47pm,", AL",-86.654702,32.434025,unclear_coded_by_hand,General Coordinates Used
11,Alabama Adult Books,,,901 5th Ave. N.,"Book Store,Erotic Shop",Birmingham,AL,NA,1989,NA,,7/19/2022 12:53pm,"901 5th Ave. N., Birmingham, AL",-86.8232546,33.5108847,"901 5th ave n, birmingham, al 35203, usa",Geocoded
12,Alabama Forum,(Publication),,"Box 55913, 35255",Publication,Birmingham,AL,checked,1989,NA,,1/19/2023 4:19pm,"Box 55913, 35255, AL",-86.810357,33.518589,unclear_coded_by_hand,General Coordinates Used
13,Bill's Club,,"(*),(L),(D),(S)",208 N. 23rd St.,Bars/Clubs,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"208 N. 23rd St., Birmingham, AL",-86.8025428,33.5176803,"208 23rd st n, birmingham, al 35203, usa",Geocoded
14,Birmingham Adult Books,,,7610 1st Ave. N.,Book Store,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"7610 1st Ave. N., Birmingham, AL",-86.7298765,33.5607905,"7610 1st ave n, birmingham, al 35206, usa",Geocoded
15,Club 21,(Disco),"(YC),(D),(S)",117 1/2 21st St. N.,Bars/Clubs,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"117 1/2 21st St. N., Birmingham, AL",-86.9487751,33.4034806,"1 21st st n #117, bessemer, al 35020, usa",Geocoded
16,Fantasies,(Some L),"(L),(S)",3201 3rd Ave. S.,Bars/Clubs,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"3201 3rd Ave. S., Birmingham, AL",-86.7857385,33.5177462,"3201 3rd ave s, birmingham, al 35222, usa",Geocoded
17,Lodestar Books,(Some L),(L),2020 11th Ave. S.,Book Store,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"2020 11th Ave. S., Birmingham, AL",-86.7950963,33.500939,"2020 11th ave s, birmingham, al 35205, usa",Geocoded
18,M.C.C.,,(MCC),2024 8th St. S.,Religious Institution,Birmingham,AL,NA,1989,NA,,7/25/2022 1:37pm,"2024 8th St. S., Birmingham, AL",-86.8157138,33.4969486,"8th st s, birmingham, al, usa",Geocoded
19,Mabel's Beauty Shop,,,318 14th St. S.,Bars/Clubs,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"318 14th St. S., Birmingham, AL",-86.8107608,33.5053745,"318 14th st s, birmingham, al 35233, usa",Geocoded
20,Chain Saw Repair,(Bar),"(C&W),(*)",318 14th St. S.,Bars/Clubs,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"318 14th St. S., Birmingham, AL",-86.8107608,33.5053745,"318 14th st s, birmingham, al 35233, usa",Geocoded
21,Neon's,(Cards & gifts),,2835 Highland Ave.,Book Store,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"2835 Highland Ave., Birmingham, AL",-86.7819782,33.5058099,"2835 highland ave, birmingham, al 35205, usa",Geocoded
22,Pleasure Books,,,7606 1st Ave. N.,Book Store,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"7606 1st Ave. N., Birmingham, AL",-86.7301122,33.5608404,"7606 1st ave n, birmingham, al 35206, usa",Geocoded
23,Quest,(Levi) (Cruisy),"(C&W),(*)",416 24th St. S,"Bars/Clubs,Cruising Areas",Birmingham,AL,NA,1989,NA,at 5th Ave. S.,6/8/2022 12:53pm,"416 24th St. S, Birmingham, AL",-86.7962584,33.5108515,"416 24th st s, birmingham, al 35233, usa",Geocoded
24,Steak 'n' Egg,,"(M),(R),(C),(AH)",1717 10th Ave. S.,Restaurant,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"1717 10th Ave. S., Birmingham, AL",-86.8003532,33.5001606,"1717 10th ave s, birmingham, al 35205, usa",Geocoded
25,The Downtown Bookstore,,,,Book Store,Birmingham,AL,checked,1989,NA,8th Ave. & 27th St. N.,1/19/2023 5:07pm,", AL",-86.810357,33.518589,unclear_coded_by_hand,General Coordinates Used
26,The Rage,(Disco & Quiet Bar),"(P),(*)",620 29th St. S.,Bars/Clubs,Birmingham,AL,NA,1989,NA,,6/8/2022 12:52pm,"620 29th St. S., Birmingham, AL",-86.7881814,33.5122879,"620 29th st s, birmingham, al 35233, usa",Geocoded
27,Rushton Park,,Cruisy Area,2130 5th Ave N,Cruising Areas,Birmingham,AL,checked,1989,NA,,1/19/2023 4:52pm,"2130 5th Ave N, AL",-86.780064,33.506402,unclear_coded_by_hand,Found
28,Western Super Market,,"(AYOR),Cruisy Area",2230 Highland Ave.,Cruising Areas,Birmingham,AL,checked,1989,NA,,1/19/2023 5:08pm,"2230 Highland Ave., AL",-86.790606,33.501784,unclear_coded_by_hand,Found
29,Point Mallard Inn,,"(M),(H)",,Hotel,Decatur,AL,checked,1989,NA,16th & Johnson,1/19/2023 5:27pm,", AL",-86.93589,34.57121,unclear_coded_by_hand,Found
30,Victor's,"Gateway Shopping Center, Hwy 31 S.",(M),,Bars/Clubs,Decatur,AL,checked,1989,NA,,1/27/2023 1:06pm,", AL",-86.975861,34.573998,unclear_coded_by_hand,Found
31,'The Pumps',,"Cruisy Area,(AYOR)",,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:19pm,", AL",-86.983342,34.605925,unclear_coded_by_hand,General Coordinates Used
32,Amtrak & Greyhound Depots,,Cruisy Area,,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:19pm,", AL",-86.983342,34.605925,unclear_coded_by_hand,General Coordinates Used
33,"Beltline Mall Castman,",Knott Store,Cruisy Area,,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:25pm,", AL",-87.017448,34.572401,unclear_coded_by_hand,Found
34,Delano Park,nr. Picnic Tables,Cruisy Area,,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:25pm,", AL",-86.976437,34.597248,unclear_coded_by_hand,Found
35,Point Mallard Park,Swimmin' Hole (Summers),Cruisy Area,,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:27pm,", AL",-86.93589,34.57121,unclear_coded_by_hand,Found
36,Scooter McGee's,Ross Clark Circle at Montgomery Hwy,(M),,Bars/Clubs,Dothan,AL,checked,1989,NA,,1/27/2023 1:10pm,", AL",-85.390489,31.223231,unclear_coded_by_hand,General Coordinates Used
37,St. Andrews Alley,,"(*),(D),(S)",134-A N. Foster St.,Bars/Clubs,Dothan,AL,NA,1989,NA,,6/8/2022 12:52pm,"134-A N. Foster St., Dothan, AL",-85.3918718,31.2240874,"134 n foster st a, dothan, al 36303, usa",Geocoded
38,Electric Cowboy,,(R),111 E. Limestone,Restaurant,Florence,AL,NA,1989,NA,,6/8/2022 12:52pm,"111 E. Limestone, Florence, AL",-87.6728881,34.7971172,"111 e limestone st, florence, al 35630, usa",Geocoded
39,TVA Reservations,(Summers),Cruisy Area,,Cruising Areas,Florence,AL,checked,1989,NA,,1/27/2023 1:10pm,", AL",-87.634863,34.782849,unclear_coded_by_hand,Found
