"title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","Year","notes","full.address","lon","lat","geoAddress","status","ID"
"Lagarde Park","Cruisy Area","","","Cruising Areas","Anniston","AL","checked",1992,"",", AL",-85.823936,33.692729,"unclear_coded_by_hand","Found","1992-AL-0001"
"Noble St. btw 8th & 16th","Cruisy Area","","","Cruising Areas","Anniston","AL","checked",1992,"",", AL",-85.829655,33.658482,"unclear_coded_by_hand","Found","1992-AL-0002"
"Haley Center Library & Sanford Park nr. Langton Hall (Auburn U)","Cruisy Area,(AYOR)","","","Cruising Areas","Auburn","AL","checked",1992,"",", AL",-85.486793,32.603395,"unclear_coded_by_hand","Found","1992-AL-0003"
"Autaugaville Rec. Park","Cruisy Area,(AYOR)","","","Cruising Areas","Autaugaville","AL","checked",1992,"",", AL",-86.654702,32.434025,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0004"
"AA Gay/Lesbian (at Lambda Resource Center)","","933-8964(AA#) 8pm Wed, 11am Sat, 6pm Sun","","Info Lines & Services","Birmingham","AL","checked",1992,"",", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0005"
"Barnes Memorial Library","","(at Lambda Resource Center) gay/lesbian library","","Info Lines & Services","Birmingham","AL","checked",1992,"",", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0006"
"Gay Information Line","","326-8600 6pm-10pm Mon-Sat","","Info Lines & Services","Birmingham","AL","checked",1992,"",", AL",-87.122124,33.38376,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0007"
"Lambda Resource Center","","326-8600 7pm-10pm Thurs-Sat, drop-in coffeehouse, mtgs other nights","516 27th St.","Info Lines & Services","Birmingham","AL",NA,1992,"","516 27th St. ,  Birmingham ,  AL",-86.7916422,33.5119773,"516 27th st s, birmingham, al 35233, usa","Geocoded","1992-AL-0008"
"Club 21","(MX),(S),(D),(B)","322-0469 9pm-4am Thurs-Sat","117 1/2 21st St. N.","Bars","Birmingham","AL",NA,1992,"","117 1/2 21st St. N. ,  Birmingham ,  AL",-86.9487751,33.4034806,"1 21st st n #117, bessemer, al 35203, usa","Geocoded","1992-AL-0009"
"Evnice Crabtree's/Mabel's","(CW),(D),(PC),(S)","254-9400 noon-4am","3201 3rd Ave. S.","Bars","Birmingham","AL",NA,1992,"","3201 3rd Ave. S. ,  Birmingham ,  AL",-86.7857619,33.5177386,"3201 3rd ave s, birmingham, al 35222, usa","Geocoded","1992-AL-0010"
"Gizmo Lounge","(D),(S)","592-0702 24hrs, cruisy late at night","3719 3rd. Ave. S.","Bars,Cruising Areas","Birmingham","AL",NA,1992,"","3719 3rd. Ave. S. ,  Birmingham ,  AL",-86.7783676,33.5212047,"3719 3rd ave s, birmingham, al 35222, usa","Geocoded","1992-AL-0011"
"Quest","(CW)","251-4313 open 24hrs, patio","416  24th St. S.","Bars","Birmingham","AL",NA,1992,"","416  24th St. S. ,  Birmingham ,  AL",-86.7962584,33.5108515,"416 24th st s, birmingham, al 35233, usa","Geocoded","1992-AL-0012"
"Rage, The","(MX),(D),(YC),(PC),(E)","323-7243 3 bars, dancing Wed, Fri Sat & Sun, 4pm-?","620 29th St. S.","Bars","Birmingham","AL",NA,1992,"","620 29th St. S. ,  Birmingham ,  AL",-86.7881814,33.5122879,"620 29th st s, birmingham, al 35233, usa","Geocoded","1992-AL-0013"
"Steak'n Egg Kitchen","(MX),(AH)","933-9822 24hrs","1717 10th Ave. S.","Restaurants & Cafes","Birmingham","AL",NA,1992,"","1717 10th Ave. S. ,  Birmingham ,  AL",-86.8003532,33.5001606,"1717 10th ave s, birmingham, al 35205, usa","Geocoded","1992-AL-0014"
"Lodestar Books","","939-3356 gay/lesbian titles, 10am-7pm Mon-Sat, 1pm-6pm Sun","2020 11th Ave. S.","Book Store","Birmingham","AL",NA,1992,"","2020 11th Ave. S. ,  Birmingham ,  AL",-86.7950963,33.500939,"2020 11th ave s, birmingham, al 35205, usa","Geocoded","1992-AL-0015"
"Men's Night at Lambda Resource Center","","2nd Mon 7pm","","Men's Services","Birmingham","AL","checked",1992,"",", AL",-87.122124,33.38376,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0016"
"BCC (Birmingham Community Church)","","(at Lambda Resource Center) 326-8600 11am Sun","","Religious Organization","Birmingham","AL","checked",1992,"",", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0017"
"Covenant MCC","","326-8529 11am Sun","2630 6th Ave.S.","Religious Organization","Birmingham","AL",NA,1992,"","2630 6th Ave.S. ,  Birmingham ,  AL",-86.7913675,33.5117079,"2630 6th ave s, birmingham, al 35233, usa","Geocoded","1992-AL-0018"
"Alabama Forum","","Box 55894, 35255, 326-8600 monthly","","Publication","Birmingham","AL","checked",1992,"",", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0019"
"Alabama Adult Books","","322-7323 24hrs","901 5th Ave. N.","Erotica","Birmingham","AL",NA,1992,"","901 5th Ave. N. ,  Birmingham ,  AL",-86.8232546,33.5108847,"901 5th ave n, birmingham, al 35203, usa","Geocoded","1992-AL-0020"
"Birmingham Adult Books","","836-1580 24hrs","7610 1st Ave. N.","Erotica","Birmingham","AL",NA,1992,"","7610 1st Ave. N. ,  Birmingham ,  AL",-86.7298765,33.5607905,"7610 1st ave n, birmingham, al 35206, usa","Geocoded","1992-AL-0021"
"Downtown Bookstore, The","","328-5525","2731 8th Ave. N.","Erotica","Birmingham","AL",NA,1992,"","2731 8th Ave. N. ,  Birmingham ,  AL",-86.7995431,33.5264678,"2731 reverend abraham woods jr boulevard, birmingham, al 35203, usa","Geocoded","1992-AL-0022"
"Fun Time Video","","326-0912","3006 Clairmont Ave.","Erotica","Birmingham","AL",NA,1992,"","3006 Clairmont Ave. ,  Birmingham ,  AL",-86.784052,33.5115896,"3006 clairmont ave, birmingham, al 35205, usa","Geocoded","1992-AL-0023"
