"title","amenityfeatures","description","streetaddress","unclear_address","type","city","state","Year","notes","full.address","lon","lat","geoAddress","status","ID"
"Lagarde Park","Cruisy Area","","","checked","Cruising Areas","Anniston","AL",1994,"",", AL",-85.823936,33.692729,"unclear_coded_by_hand","Found","1994-AL-0001"
"Noble St.","Cruisy Area","","btwn. 8th & 16th","checked","Cruising Areas","Anniston","AL",1994,"","btwn. 8th & 16th, AL",-85.829655,33.658482,"unclear_coded_by_hand","Found","1994-AL-0002"
"Ultra Box, The","(GF),(D),(PC)","826-3491 gay Mon, mixed Th","136 W. Magnolia Ave.",NA,"Bars","Auburn","AL",1994,"","136 W. Magnolia Ave. ,  Auburn ,  AL",-85.4827686,32.6067762,"136 w magnolia ave, auburn, al 36830, usa","Geocoded","1994-AL-0003"
"Haley Center Library & Sanford Park","Cruisy Area,(AYOR)","nr. Langton Hall (Auburn U)","","checked","Cruising Areas","Auburn","AL",1994,"",", AL",-85.486793,32.603395,"unclear_coded_by_hand","Found","1994-AL-0004"
"Autaugaville Rec. Park","Cruisy Area,(AYOR)","","","checked","Cruising Areas","Autaugaville","AL",1994,"",", AL",-86.654702,32.434025,"unclear_coded_by_hand","General Coordinates Used","1994-AL-0005"
"AA Gay/Lesbian","","(at Lambda Resource Center) 933-8964 (AA#) 8pm Wed, 11am Sat, 6pm Sun","","checked","Info Lines & Services","Birmingham","AL",1994,"Center address is 205 32nd St. S.",", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used","1994-AL-0006"
"Barnes Memorial Library","","(at Lambda Resource Center) lesbigay library","","checked","Info Lines & Services","Birmingham","AL",1994,"Center address is 205 32nd St. S.",", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used","1994-AL-0007"
"Gay Information Line","","326-8600, 6pm-10pm, from 1pm wknds","","checked","Info Lines & Services","Birmingham","AL",1994,"",", AL",-87.122124,33.38376,"unclear_coded_by_hand","General Coordinates Used","1994-AL-0008"
"Lambda Resource Center","","326-8600, 7pm-10pm Th-Sat, drop-in coffeehouse, mtgs other nights","205 32nd St. S.",NA,"Info Lines & Services","Birmingham","AL",1994,"","205 32nd St. S. ,  Birmingham ,  AL",-86.786444,33.5185487,"205 32nd st s, birmingham, al 35233, usa","Geocoded","1994-AL-0009"
"Men's Night","","(at Lambda Resource Center) 326-8600 2nd Mon 7pm","","checked","Info Lines & Services","Birmingham","AL",1994,"Center address is 205 32nd St. S.",", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used","1994-AL-0010"
"Annex","(CW),(F)","254-9134 4pm-2am, clsd Mon & Tues","312 20th St. S.",NA,"Bars","Birmingham","AL",1994,"","312 20th St. S. ,  Birmingham ,  AL",-86.8025556,33.5093271,"312 20th st s, birmingham, al 35233, usa","Geocoded","1994-AL-0011"
"Buchanan's","(H),(MW),(NH),(D)","328-4337 4pm-2am, til 5am Fri & Sat","414 21st St. S.",NA,"Bars","Birmingham","AL",1994,"Double check amenity feature, might be error with 'H'?","414 21st St. S. ,  Birmingham ,  AL",-86.9133731,33.4388889,"414 21st st s, birmingham, al 35221, usa","Geocoded","1994-AL-0012"
"Circuit, The","(GF),(D),(A),(PC)","328-7243 5pm-?","620 29th St. S.",NA,"Bars","Birmingham","AL",1994,"","620 29th St. S. ,  Birmingham ,  AL",-86.7881814,33.5122879,"620 29th st s, birmingham, al 35233, usa","Geocoded","1994-AL-0013"
"Club 21","(GF),(D),(MRC-AF),(S)","322-0469 9pm-4am, clsd Mon & Tues, more gay Sat.","117 1/2 21st St. N.",NA,"Bars","Birmingham","AL",1994,"","117 1/2 21st St. N. ,  Birmingham ,  AL",-86.9487751,33.4034806,"1 21st st n #117, bessemer, al 35203, usa","Geocoded","1994-AL-0014"
"Quest","(CW)","251-4313 24hrs, patio","416 24th St. S.",NA,"Bars","Birmingham","AL",1994,"","416 24th St. S. ,  Birmingham ,  AL",-86.7962584,33.5108515,"416 24th st s, birmingham, al 35233, usa","Geocoded","1994-AL-0015"
"Steak 'n Egg Kitchen","(GF)","933-9822 24 hrs","1717 10th Ave. S.",NA,"Restaurants & Cafes","Birmingham","AL",1994,"","1717 10th Ave. S. ,  Birmingham ,  AL",-86.8003532,33.5001606,"1717 10th ave s, birmingham, al 35205, usa","Geocoded","1994-AL-0016"
"Lodestar Books","","939-3356, 10am-6pm, from 1pm Sun, lesbigay/alternative","2020 11th Ave. S.",NA,"Bookstores/Retail Shops","Birmingham","AL",1994,"","2020 11th Ave. S. ,  Birmingham ,  AL",-86.7950963,33.500939,"2020 11th ave s, birmingham, al 35205, usa","Geocoded","1994-AL-0017"
