"title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","notes","Year","full.address","lat","lon","geoAddress","status","ID"
"Pikes Peak Paradise","(GF)","PO Box 5760, 80866 687-7112/(800) 354-0989 full brkfst, hot tub, mansion w/ view of Pikes Peak","236 Pinecrest Rd","Accommodations","Woodland Park","CO",NA,"",1997,"236 Pinecrest Rd ,  Woodland Park ,  CO",38.9822365,-105.1012057,"236 pinecrest rd, woodland park, co 80863, usa","Geocoded","1997-CO-0001"
"Club Flamingo","(MW),(D),(K),(S),(WC)","253-0430 2pm-2am","352 Oakland Ave","Bars","Pontiac","MI",NA,"",1997,"352 Oakland Ave ,  Pontiac ,  MI",42.6475381,-83.3026645,"352 oakland ave, pontiac, mi 48342, usa","Geocoded","1997-MI-0002"
"Ocean Walk","(GF),(SW),(IGTA)","728-0855/(800) 468-0615","1 Atlantic Place","Accommodations","Ocean Park","PR",NA,"",1997,"1 Atlantic Place ,  Ocean Park ,  PR",18.4540659,-66.0578831,"1 c. atlantic place, san juan, 00911, puerto rico","Geocoded","1997-PR-0003"
"Thomas Floral & Adult Gifts","(WC)","Ste. 108 (at Ellsworth) 744-6400 8:30am-6pm, til 5pm Sat, clsd Sun","1 Broadway","Bookstores/Retail Shops","Denver","CO",NA,"",1997,"1 Broadway ,  Denver ,  CO",39.7171204,-104.9879911,"1 n broadway, denver, co 80203, usa","Geocoded","1997-CO-0004"
"Numero Uno on the Beach","(GF),(SW),(WC)","726-5010 also bar & grill","1 Calle Santa Ana","Accommodations","Ocean Park","PR",NA,"",1997,"1 Calle Santa Ana ,  Ocean Park ,  PR",18.4543702,-66.0551125,"1 c. sta. ana, san juan, 00911, puerto rico","Geocoded","1997-PR-0005"
"Atlantic Beach Hotel","(*),(MW),(SW),(IGTA)","721-6900","1 Calle Vendig","Accommodations","Condado","PR",NA,"",1997,"1 Calle Vendig ,  Condado ,  PR",18.4571237,-66.0723525,"1 cll vendig, san juan, 00907, puerto rico","Geocoded","1997-PR-0006"
"809 Cafe","","721-6900","1 Calle Vendig","Restaurants & Cafes","Condado","PR",NA,"",1997,"1 Calle Vendig ,  Condado ,  PR",18.4571237,-66.0723525,"1 cll vendig, san juan, 00907, puerto rico","Geocoded","1997-PR-0007"
"Provincetown Inn","(GF),(SW),(WC)","487-9500","1 Commercial St","Accommodations","Provincetown","MA",NA,"",1997,"1 Commercial St ,  Provincetown ,  MA",42.037384,-70.196035,NA,"Geocoded","1997-MA-0008"
"Pier House Resort & Caribbean Spa","(GF),(SW)","296-4600/(800) 327-8340 private beach, restaurants, bars, spa, fitness center","1 Duval St","Accommodations","Key West","FL",NA,"",1997,"1 Duval St ,  Key West ,  FL",24.5611624,-81.8059108,"1 duval st, key west, fl 33040, usa","Geocoded","1997-FL-0009"
"MCC of Asheville","(WC)","(Unitarian Universalist Church), 259-3055 6:20pm Sun","1 Edwin Pl","Spiritual Groups","Asheville","NC",NA,"",1997,"1 Edwin Pl ,  Asheville ,  NC",35.6092008,-82.5465298,"1 edwin pl, asheville, nc 28801, usa","Geocoded","1997-NC-0010"
"Unitarian Universalist Church of Asheville","(WC)","254-6001 9am & 11am Sun (10am Sun during summer)","1 Edwin Pl","Spiritual Groups","Asheville","NC",NA,"",1997,"1 Edwin Pl ,  Asheville ,  NC",35.6092008,-82.5465298,"1 edwin pl, asheville, nc 28801, usa","Geocoded","1997-NC-0011"
"Gerardo's","(MW),(D),(E),(WC)","274-5560 4pm-1am, til 2am Fri-Sar","1 Franklin Square","Bars","Providence","RI",NA,"",1997,"1 Franklin Square ,  Providence ,  RI",41.8179551,-71.4162673,"us-1 & franklin st, providence, ri 02903, usa","Geocoded","1997-RI-0012"
"One Hot Spot","(MW),(D),(E),(MRC),(NH),(WC)","852-0139 9pm-3am, clsd Sun-Tue, from 6pm Th","1 Front St","Bars","Brooklyn","NY",NA,"",1997,"1 Front St ,  Brooklyn ,  NY",40.7026459,-73.993247,"1 front st, brooklyn, ny 11201, usa","Geocoded","1997-NY-0013"
"Club One","(MW),(D),(F),(S)","232-0200 5pm-3am","1 Jefferson St","Bars","Savannah","GA",NA,"",1997,"1 Jefferson St ,  Savannah ,  GA",32.0816197,-81.0947645,"1 jefferson st, savannah, ga 31401, usa","Geocoded","1997-GA-0014"
"Wall Street Cinema","(*),(MO)","(11th flr.), 233-8900","1 Maiden Ln","Men's Clubs","Manhattan","NY",NA,"",1997,"1 Maiden Ln ,  Manhattan ,  NY",40.7098301,-74.0096846,"1 maiden ln, new york, ny 10038, usa","Geocoded","1997-NY-0015"
"Artists' Cafe","(BW)","523-9493 8am-10pm, steak & seafood","1 Main St","Restaurants & Cafes","Lake Placid","NY",NA,"",1997,"1 Main St ,  Lake Placid ,  NY",44.2854201,-73.9840428,"main st, lake placid, ny 12946, usa","Geocoded","1997-NY-0016"
"Whittier News Stand","","592-0767","1 N Lewis St","Erotica","Tulsa","OK",NA,"",1997,"1 N Lewis St ,  Tulsa ,  OK",36.1608035,-95.9570118,"1 n lewis pl, tulsa, ok 74110, usa","Geocoded","1997-OK-0017"
"Globe Corner","","(800) 358-6013, also","1 School St","Bookstores/Retail Shops","Boston","MA",NA,"",1997,"1 School St ,  Boston ,  MA",42.3574097,-71.0583315,"1 school st, boston, ma 02108, usa","Geocoded","1997-MA-0018"
"Doin' It Right Tours & Travel","(IGTA)","Ste. 2106, (800) 936-3646/621-3576 Gay Travel Club meets 1st Wed","1 St Francis Pl","Travel/Tour Operators","San Francisco","CA",NA,"",1997,"1 St Francis Pl ,  San Francisco ,  CA",37.783393,-122.3974146,"1 st francis pl, san francisco, ca 94107, usa","Geocoded","1997-CA-0019"
"Ivy House B&B","","549-7554","1 Sunset Ct","Accommodations","Amherst","MA",NA,"",1997,"1 Sunset Ct ,  Amherst ,  MA",42.3828385,-72.5276231,"1 sunset ct, amherst, ma 01002, usa","Geocoded","1997-MA-0020"
"Mikuni Travel Service","(IGTA)","Ste. 1010, 227-3639/(800) 248-0624","1 SW Columbia St","Travel/Tour Operators","Portland","OR",NA,"",1997,"1 SW Columbia St ,  Portland ,  OR",45.5134826,-122.6755608,"umpqua bank plaza, 1 sw columbia st, portland, or 97258, usa","Geocoded","1997-OR-0021"
"Hippo","(*),(MW),(D),(TG),(K),(WC),(V)","547-0069 3pm-2am, 3 bars","1 W Eager St","Bars","Baltimore","MD",NA,"",1997,"1 W Eager St ,  Baltimore ,  MD",39.3008418,-76.6163574,"1 w eager st, baltimore, md 21201, usa","Geocoded","1997-MD-0022"
"Red Garter","(MW),(D),(S),(WC)","433-9292 5pm-3am, from 3pm wknds","1 W Main St","Bars","Pensacola","FL",NA,"",1997,"1 W Main St ,  Pensacola ,  FL",30.4076202,-87.2141707,"1 w main st, pensacola, fl 32502, usa","Geocoded","1997-FL-0023"
"Hetrick-Martin Institute","","674-2400, extensive series for lesbigay youth, also publishes 'You Are Not Alone' resource directory","2 Astor Pl","Info Lines & Services","New York City","NY",NA,"",1997,"2 Astor Pl ,  New York City ,  NY",40.7298791,-73.9925831,"2 astor pl, new york, ny 10003, usa","Geocoded","1997-NY-0024"
"The Sportsman's Club","(*),(MW),(D)","784-2251 8pm-1am, from 7pm Sun","2 Bates St","Bars","Lewiston","ME",NA,"",1997,"2 Bates St ,  Lewiston ,  ME",44.1018478,-70.2173502,"2 bates st, lewiston, me 04240, usa","Geocoded","1997-ME-0025"
"Barefoot Bar","(*),(M),(F),(H)","724-7230 9am-3am, hustlers, brkfst & lunch","2 Calle Vendig","Bars","Condado","PR",NA,"",1997,"2 Calle Vendig ,  Condado ,  PR",18.4566065,-66.0726432,"2 cll vendig, san juan, 00907, puerto rico","Geocoded","1997-PR-0026"
"Thoreau's Walden B&B","(GF)","259-1899","2 Concord Rd","Accommodations","Boston","MA",NA,"",1997,"2 Concord Rd ,  Boston ,  MA",42.337936,-71.0749768,"2 w concord st, boston, ma 02118, usa","Geocoded","1997-MA-0027"
"Sophies","(MW),(NH)","782-8080 4pm-2:30am","2 E LaClede","Bars","Youngstown","OH",NA,"",1997,"2 E LaClede ,  Youngstown ,  OH",41.0749109,-80.6571859,"2 e laclede ave, youngstown, oh 44507, usa","Geocoded","1997-OH-0028"
"Grown Ups","","862-9304, 11am-7pm, til 11pm Fri-Sat","2 E Mechanic St","Erotica","New Hope","PA",NA,"",1997,"2 E Mechanic St ,  New Hope ,  PA",40.3619975,-74.9504308,"2 e mechanic st, new hope, pa 18938, usa","Geocoded","1997-PA-0029"
"Adventure Travel","(IGTA)","885-5060","2 Elsie Wy","Travel/Tour Operators","Scarborough","ME",NA,"",1997,"2 Elsie Wy ,  Scarborough ,  ME",43.602656,-70.348176,"2 elsie way, scarborough, me 04074, usa","Geocoded","1997-ME-0030"
"Ujjala B&B","(GF)","255-6360 body therapy available","2 Forest Glen","Accommodations","New Paltz","NY",NA,"",1997,"2 Forest Glen ,  New Paltz ,  NY",41.7022745,-74.1185592,"2 forest glen rd, new paltz, ny 12561, usa","Geocoded","1997-NY-0031"
"Einstein Bagels","","361-2020","2 N Euclid Ave","Restaurants & Cafes","St. Louis","MO",NA,"",1997,"2 N Euclid Ave ,  St. Louis ,  MO",38.640477,-90.261994,"2 n euclid ave, st. louis, mo 63108, usa","Geocoded","1997-MO-0032"
"Flex","(*),(M),(L)","832-8855 5pm-?, from 2pm Sun","2 S West St","Accommodations","Raleigh","NC",NA,"",1997,"2 S West St ,  Raleigh ,  NC",35.7804189,-78.6461187,"2 s west st, raleigh, nc 27603, usa","Geocoded","1997-NC-0033"
