"title","streetaddress","description","amenityfeatures","type","city","state","unclear_address","notes","Year","full.address","lon","lat","geoAddress","status","ID"
"Royal Oaks B&B","5415 Hwy 21 N","334/368-8722, 800/308-8762 full brkfst","(GS),(SW)","Accommodations","Atmore","AL","","",2001,"5415 Hwy 21 N ,  Atmore ,  AL",-87.4810911,31.0988282,"5415 al-21, atmore, al 36502, usa","Geocoded","2001-AL-0001"
"Birmingham Gay & Lesbian Info Line","205 32nd St S","#201 205/326-8600 7pm-10pm Mon-Fri","","Info Lines & Services","Birmingham","AL","","",2001,"205 32nd St S ,  Birmingham ,  AL",-86.7864497,33.5185408,"205 32nd st s, birmingham, al 35233, usa","Geocoded","2001-AL-0002"
"The Tutwiler","2021 Park Pl N","(at 21st St N) 205/322-2100 also restaurant & lounge","(GF),(WC)","Accommodations","Birmingham","AL","","",2001,"2021 Park Pl N ,  Birmingham ,  AL",-86.8080115,33.5201081,"2021 park pl, birmingham, al 35203, usa","Geocoded","2001-AL-0003"
"Kings Knight","2627 7th Ave S","(btwn 26th & 27th) 205/326-3637 noon-close","(MW),(D),(S)","Bars","Birmingham","AL","","",2001,"2627 7th Ave S ,  Birmingham ,  AL",-86.7904083,33.5101924,"2627 7th ave s, birmingham, al 35233, usa","Geocoded","2001-AL-0004"
"Misconceptions Tavern","600 32nd St S","(at 6th Ave S) 205/322-1210 noon-3am, patio","(MW),(V)","Bars","Birmingham","AL","","",2001,"600 32nd St S ,  Birmingham ,  AL",-86.7842212,33.5146322,"600 32nd st s, birmingham, al 35233, usa","Geocoded","2001-AL-0005"
"The Tool Box","5120 5th Ave S","(at 51st) 205/595-5120 2pm-close, till 2am Sat, home bar of 'Steel City Centurions'","(M),(NH),(D),(CW),(WC)","Bars","Birmingham","AL","","",2001,"5120 5th Ave S ,  Birmingham ,  AL",-86.7567022,33.5324438,"5120 5th ave s, birmingham, al 35212, usa","Geocoded","2001-AL-0006"
"Steel City Centurions","5120 5th Ave S","","(L)","Bars","Birmingham","AL","","",2001,"5120 5th Ave S ,  Birmingham ,  AL",-86.7567022,33.5324438,"5120 5th ave s, birmingham, al 35212, usa","Geocoded","2001-AL-0007"
"22nd Street Jazz Cafe","710 22nd St S","(at 7th Ave S) 205/252-0407 5pm-close, clsd Sun-Tue","(GF),(D),(MR),(F),(E)","Nightclubs","Birmingham","AL","","",2001,"710 22nd St S ,  Birmingham ,  AL",-86.7967864,33.5061805,"710 22nd st s, birmingham, al 35233, usa","Geocoded","2001-AL-0008"
"Club 21","117-1/2 21st St N","(at 2nd Ave N) 205/322-0469 10pm-4am Th-Sat, noon-9pm Sun, no cover Sun, also restaurant","(*),(GF),(D),(MR-AF),(E),(S)","Nightclubs","Birmingham","AL","","",2001,"117-1/2 21st St N ,  Birmingham ,  AL",-86.9499727,33.4040991,"117 21st st n, bessemer, al 35020, usa","Geocoded","2001-AL-0009"
"The Club Latroy","316 20th St S","(btwn 3rd & 4th Ave S)","(MW),(D),(MR),(S),(19+),(WC),($)","Nightclubs","Birmingham","AL","","",2001,"316 20th St S ,  Birmingham ,  AL",-86.80238,33.5092764,"316 20th st s, birmingham, al 35233, usa","Geocoded","2001-AL-0010"
