"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Alaska Gay Community Center","","838 8th Ave.","Anchorage","AK","","Organizations",1979,NA,-149.8682106,61.2146085,"Google Verified Location",NA,NA,NA,"1979-AK-0001"
"Anchorage Book Mart","","419 D St.","Anchorage","AK","","Book Store",1980,NA,-149.8894184,61.2180588,"Google Verified Location",NA,NA,NA,"1980-AK-0002"
"Arcade","4th Ave at 'C' St.","","Anchorage","AK","(M),(RT)","Bars/Clubs",1975,NA,-149.88788,61.218271,"Verified Location",NA,NA,NA,"1975-AK-0003"
"Arcade","4th Ave at 'C' St.","","Anchorage","AK","(M),(RT)","Bars/Clubs",1974,NA,-149.88788,61.218271,"Verified Location",NA,NA,NA,"1974-AK-0004"
"Arcade","4th Ave at 'C' St.","","Anchorage","AK","(B),(M),(RT)","Bars/Clubs",1973,NA,-149.88788,61.218271,"Verified Location",NA,NA,NA,"1973-AK-0005"
"Bently & Gaviota Malls","","","Fairbanks","AK","","Cruising Areas",1980,NA,-149.888942,61.216889,"Verified Location",NA,NA,NA,"1980-AK-0006"
"Big I","(Cruisy) (Inquire locally)","","Fairbanks","AK","(M)","Bars/Clubs,Cruising Areas",1980,NA,-147.716389,64.837778,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-AK-0007"
"Big I","(Cruisy) (Inquire locally)","","Fairbanks","AK","(M)","Bars/Clubs,Cruising Areas",1979,NA,-147.716389,64.837778,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-AK-0008"
"Bonfire Lounge","","111 W. 5th Ave.","Anchorage","AK","(YC),(*)","Bars/Clubs",1973,NA,-149.883783,61.2179155,"Google Verified Location",NA,NA,NA,"1973-AK-0009"
"Bonfire Lounge","","111 W. 5th Ave.","Anchorage","AK","(YC),(*)","Bars/Clubs",1971,NA,-149.883783,61.2179155,"Google Verified Location",NA,NA,NA,"1971-AK-0010"
"Bonfire Lounge","(Good afternoons)","111 W. 5th Ave.","Anchorage","AK","(D),(*)","Bars/Clubs",1977,NA,-149.883783,61.2179155,"Google Verified Location",NA,NA,NA,"1977-AK-0011"
"Bonfire Lounge","","111 W. 5th Ave.","Anchorage","AK","(YC),(*)","Bars/Clubs",1972,NA,-149.883783,61.2179155,"Google Verified Location",NA,NA,NA,"1972-AK-0012"
"Bonfire Lounge","(Good afternoons)","111 W. 5th Ave.","Anchorage","AK","(D),(*)","Bars/Clubs",1978,NA,-149.883783,61.2179155,"Google Verified Location",NA,NA,NA,"1978-AK-0013"
"Bonfire Lounge","(Good afternoons)","111 W. 5th Ave.","Anchorage","AK","(D),(*)","Bars/Clubs",1976,NA,-149.883783,61.2179155,"Google Verified Location",NA,NA,NA,"1976-AK-0014"
"Bonfire Lounge","","111 W. 5th Ave.","Anchorage","AK","(YC),(D),(*)","Bars/Clubs",1975,NA,-149.883783,61.2179155,"Google Verified Location",NA,NA,NA,"1975-AK-0015"
"Bonfire Lounge","","111 W. 5th Ave.","Anchorage","AK","(YC),(D),(*)","Bars/Clubs",1974,NA,-149.883783,61.2179155,"Google Verified Location",NA,NA,NA,"1974-AK-0016"
"Cattleman's","(No booze)","3471 Tudor Rd.","Anchorage","AK","(M)","Restaurant",1977,NA,-149.8146894,61.181719,"Google Verified Location",NA,NA,NA,"1977-AK-0017"
"Cattleman's","(No booze)","3471 Tudor Rd.","Anchorage","AK","(M)","Restaurant",1980,NA,-149.8146894,61.181719,"Google Verified Location",NA,NA,NA,"1980-AK-0018"
"Cattleman's","(No booze)","3471 Tudor Rd.","Anchorage","AK","(M)","Restaurant",1978,NA,-149.8146894,61.181719,"Google Verified Location",NA,NA,NA,"1978-AK-0019"
"Cattleman's","(No booze)","3471 Tudor Rd.","Anchorage","AK","(M)","Restaurant",1979,NA,-149.8146894,61.181719,"Google Verified Location",NA,NA,NA,"1979-AK-0020"
"Cattleman's","(No booze)","3471 Tudor Rd.","Anchorage","AK","(M)","Restaurant",1976,NA,-149.8146894,61.181719,"Google Verified Location",NA,NA,NA,"1976-AK-0021"
"Cinema II","(Books & arcade) 1/2 mi. from town on Steece Hwy.","","Fairbanks","AK","","Book Store,Theatre",1980,NA,-147.716389,64.837778,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-AK-0022"
"Cinema II","(Books & arcade) 1/2 mi. from town on Steece Hwy.","","Fairbanks","AK","","Book Store,Theatre",1979,NA,-147.716389,64.837778,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-AK-0023"
