"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Hitch-hikers' on 4th Ave. & Hwy. 8","","","Yuma","AZ","Cruisy Area","Cruising Areas",1978,"",-114.624535,32.731581,"Verified Location",NA,NA,NA,"1978-AZ-0001"
"'Hitch-hikers' on 4th Ave. & Hwy. 8","","","Yuma","AZ","Cruisy Area","Cruising Areas",1980,"",-114.624535,32.731581,"Verified Location",NA,NA,NA,"1980-AZ-0002"
"'Hitch-hikers' on 4th Ave. & Hwy. 8","","","Yuma","AZ","Cruisy Area","Cruising Areas",1979,"",-114.624535,32.731581,"Verified Location",NA,NA,NA,"1979-AZ-0003"
"'Hitch-hikers' on 4th Avenue & Hwy. 8","","","Yuma","AZ","Cruisy Area","Cruising Areas",1977,"",-114.624535,32.731581,"Verified Location",NA,NA,NA,"1977-AZ-0004"
"'Hitch-hikers' on 4th Avenue & Hwy. 8","","","Yuma","AZ","Cruisy Area","Cruising Areas",1976,"",-114.624535,32.731581,"Verified Location",NA,NA,NA,"1976-AZ-0005"
"'Hitch-Hikers' on E. Speedway","","","Tucson","AZ","Cruisy Area","Cruising Areas",1979,"",-110.840906,32.235665,"Verified Location",NA,NA,NA,"1979-AZ-0006"
"'Hitch-Hikers' on E. Speedway","","","Tucson","AZ","Cruisy Area","Cruising Areas",1980,"",-110.840906,32.235665,"Verified Location",NA,NA,NA,"1980-AZ-0007"
"'Hitch-Hikers' on E. Speedway","","","Tucson","AZ","Cruisy Area","Cruising Areas",1976,"",-110.840906,32.235665,"Verified Location",NA,NA,NA,"1976-AZ-0008"
"'Hitch-Hikers' on E. Speedway","","","Tucson","AZ","Cruisy Area","Cruising Areas",1978,"",-110.840906,32.235665,"Verified Location",NA,NA,NA,"1978-AZ-0009"
"'Hitch-Hikers' on East Speedway","","","Tucson","AZ","Cruisy Area","Cruising Areas",1977,"",-110.840906,32.235665,"Verified Location",NA,NA,NA,"1977-AZ-0010"
"'Hitch-hikers' on Van Buren","betw. 3rd Ave & 3rd Street","","Phoenix","AZ","Cruisy Area","Cruising Areas",1977,"",-112.077996,33.451347,"Verified Location",NA,NA,NA,"1977-AZ-0011"
"'Hitch-hikers' on Van Buren","betw. 3rd Ave & 3rd St.","","Phoenix","AZ","Cruisy Area","Cruising Areas",1978,"",-112.077996,33.451347,"Verified Location",NA,NA,NA,"1978-AZ-0012"
"'Hitch-hikers' on Van Buren","betw. 3rd Ave & 3rd St.","","Phoenix","AZ","Cruisy Area","Cruising Areas",1979,"",-112.077996,33.451347,"Verified Location",NA,NA,NA,"1979-AZ-0013"
"'Hitch-hikers' on Van Buren","betw. 3rd Ave & 3rd St.","","Phoenix","AZ","Cruisy Area","Cruising Areas",1980,"",-112.077996,33.451347,"Verified Location",NA,NA,NA,"1980-AZ-0014"
"'Hitch-hikers' on Van Buren","betw. 3rd Ave & 3rd Street","","Phoenix","AZ","Cruisy Area","Cruising Areas",1976,"",-112.077996,33.451347,"Verified Location",NA,NA,NA,"1976-AZ-0015"
"A. S. U.","Student Union-Library & Old Gym T-Rooms","","Tempe","AZ","Cruisy Area","Cruising Areas",1980,"",-111.928053,33.42424,"Verified Location",NA,NA,NA,"1980-AZ-0016"
"A. S. U.","Student Union-Library & Old Gym T-Rooms","","Tempe","AZ","Cruisy Area","Cruising Areas",1979,"",-111.928053,33.42424,"Verified Location",NA,NA,NA,"1979-AZ-0017"
"A.S.U.","Student Union, Library, & old Gym T-Rooms","","Tempe","AZ","Cruisy Area","Cruising Areas,Organizations",1978,"",-111.928053,33.42424,"Verified Location",NA,NA,NA,"1978-AZ-0018"
"Act III","","3331 N. 24th St. E","Phoenix","AZ","(P),(D),(YC)","Bars/Clubs",1970,"",-112.0298551,33.4870908,"Google Verified Location",NA,NA,NA,"1970-AZ-0019"
"Act III","","3331 N. 24th St. E","Phoenix","AZ","(P),(D),(YC)","Bars/Clubs",1969,"",-112.0298551,33.4870908,"Google Verified Location",NA,NA,NA,"1969-AZ-0020"
"Act III","(after hours)* ","1048 N. Main St.","Tucson","AZ","(C),(*),(P),(D)","Bars/Clubs",1971,"",-110.977633,32.2352692,"Google Verified Location",NA,NA,NA,"1971-AZ-0021"
