"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Sodomy Circle'","(HOT)","State Capitol grounds","Denver","CO","Cruisy Area,(HOT)","Cruising Areas",1976,NA,-104.9848069,39.7393251,"Google Verified Location",NA,NA,NA,"1976-CO-0001"
"'Sodomy Circle'","(HOT)","State Capitol grounds","Denver","CO","Cruisy Area,(HOT)","Cruising Areas",1976,NA,-104.984807,39.739325,"Verified Location",NA,NA,NA,"1976-CO-0002"
"'Sodomy Circle'","(HOT)","State Capitol grounds","Denver","CO","Cruisy Area,(HOT)","Cruising Areas",1975,NA,-104.9848069,39.7393251,"Google Verified Location",NA,NA,NA,"1975-CO-0003"
"'Sodomy Circle'","(HOT)","State Capitol grounds","Denver","CO","Cruisy Area,(HOT)","Cruising Areas",1975,NA,-104.984807,39.739325,"Verified Location",NA,NA,NA,"1975-CO-0004"
"'Sodomy Cirlce'","","St. Capitol grounds","Denver","CO","Cruisy Area","Cruising Areas",1974,NA,-104.984807,39.739325,"Verified Location",NA,NA,NA,"1974-CO-0005"
"'Sodomy Cirlce'","","St. Capitol grounds","Denver","CO","Cruisy Area","Cruising Areas",1974,NA,-104.985203,39.740504,"Google Verified Location",NA,NA,NA,"1974-CO-0006"
"""Sodomy Circle""","State Capitol Grounds (HOT)","","Denver","CO","Cruisy Area,(HOT)","Cruising Areas",1977,NA,-104.984807,39.739325,"Verified Location",NA,NA,NA,"1977-CO-0007"
"""Sodomy Circle"" ","State Capitol Grounds (HOT)","","Denver","CO","Cruisy Area,(HOT)","Cruising Areas",1977,NA,-104.990251,39.7392358,"Google Verified Location",NA,NA,NA,"1977-CO-0008"
"1942 Club","(Some W, SM, YC, PT in front - Disco - D in back - 3 bars) (Cruisy) ","1942 Broadway ","Denver","CO","(W),(SM),(YC),(PT),(*),(D),(C),(AH),(WE)","Bars/Clubs,Cruising Areas",1979,NA,-104.9873665,39.6813011,"Google Verified Location",NA,NA,NA,"1979-CO-0009"
"1942 Club","(Some W, SM, YC, PT in front - Disco - D in back - 3 bars) (Cruisy) ","1942 Broadway","Denver","CO","(W),(SM),(YC),(PT),(*),(D),(C),(AH),(WE)","Bars/Clubs,Restaurant,Cruising Areas",1980,NA,-104.9873665,39.6813011,"Google Verified Location",NA,NA,NA,"1980-CO-0010"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1977,NA,-104.8213634,38.8338816,"Google Verified Location",NA,NA,NA,"1977-CO-0011"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1976,NA,-104.822445,38.837355,"Verified Location",NA,NA,NA,"1976-CO-0012"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1976,NA,-104.8213634,38.8338816,"Google Verified Location",NA,NA,NA,"1976-CO-0013"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1975,NA,-104.8213634,38.8338816,"Google Verified Location",NA,NA,NA,"1975-CO-0014"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1980,NA,-104.8213634,38.8338816,"Google Verified Location",NA,NA,NA,"1980-CO-0015"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1978,NA,-104.8213634,38.8338816,"Google Verified Location",NA,NA,NA,"1978-CO-0016"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1979,NA,-104.822445,38.837355,"Verified Location",NA,NA,NA,"1979-CO-0017"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1977,NA,-104.822445,38.837355,"Verified Location",NA,NA,NA,"1977-CO-0018"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1975,NA,-104.822445,38.837355,"Verified Location",NA,NA,NA,"1975-CO-0019"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1978,NA,-104.822445,38.837355,"Verified Location",NA,NA,NA,"1978-CO-0020"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1979,NA,-104.8213634,38.8338816,"Google Verified Location",NA,NA,NA,"1979-CO-0021"
"Acacia Park","","","Colorado Springs","CO","Cruisy Area","Cruising Areas",1980,NA,-104.822445,38.837355,"Verified Location",NA,NA,NA,"1980-CO-0022"
"Ace Book & Movies","","920 18th St.","Denver","CO","","Book Store",1973,NA,-104.9916937,39.7485339,"Google Verified Location",NA,NA,NA,"1973-CO-0023"
"Ace Books & Movies","","920 18th St.","Denver","CO","","Book Store",1972,NA,-104.9916937,39.7485339,"Google Verified Location",NA,NA,NA,"1972-CO-0024"
"Ace Books & Movies","","920 18th St.","Denver","CO","","Book Store",1974,NA,-104.9916937,39.7485339,"Google Verified Location",NA,NA,NA,"1974-CO-0025"
"Act III","(Male Movies)","3480 W. Colfax","Denver","CO","","Theatre",1980,NA,-105.0331139,39.7401612,"Google Verified Location",NA,NA,NA,"1980-CO-0026"
"Adult Books","North Ave.","","Grand Junction","CO","Cruisy Area","Cruising Areas",1979,NA,-108.550649,39.063871,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-CO-0027"
"Adult Books","","754 North Ave.","Grand Junction","CO","Cruisy Area","Cruising Areas",1980,NA,-108.5596045,39.0776459,"Google Verified Location",NA,NA,NA,"1980-CO-0028"
"Adult Books ","North Ave.","","Grand Junction","CO","Cruisy Area","Cruising Areas",1979,NA,-108.5506486,39.0638705,"Google Verified Location",NA,NA,NA,"1979-CO-0029"
"Alfie's","(Humpy jocks) (Cruisy) (Disco)","3240 Larimer betw. 32nd & 33rd Sts.","Denver","CO","(*),(YC),(D),(R)","Restaurant,Bars/Clubs,Cruising Areas",1980,NA,-105.5943388,40.6955572,"Google Verified Location",NA,NA,NA,"1980-CO-0030"
"Alice's Alley","(Note: Both bars share the same entrance, which is downstairs, below the Aspen Mine Co. Restaurant; both are very mixed, hip, and interesting.)","426 E. Hyman","Aspen","CO","(M),(YC),(HIP)","Bars/Clubs",1975,NA,-106.8190014,39.1891013,"Google Verified Location",NA,NA,NA,"1975-CO-0031"
"Alice's Alley","(Both bars share the same entrance, downstairs below the Aspen Mine Co. (R). Both are very M, HIP, but interesting.)","426 E. Hyman","Aspen","CO","(M),(YC),(HIP)","Bars/Clubs",1976,NA,-106.8190014,39.1891013,"Google Verified Location",NA,NA,NA,"1976-CO-0032"
"Alice's Alley","(Note: both bars share the same entrance, which is downstairs, below the Aspen Mine Co. Restaurant; both are very mixed, hip, and interesting)","426 E. Hyman","Aspen","CO","(M),(YC),(HIP)","Bars/Clubs",1975,NA,-106.8190014,39.1891013,"Google Verified Location",NA,NA,NA,"1975-CO-0033"
"Alice's Alley & The Slope","(Both bars share the same entrance downstairs below the Aspen Mine Company) Both are very M, HIP but can be interesting","","Aspen","CO","(M),(YC),(R),(HIP)","Restaurant,Bars/Clubs",1977,NA,-106.817539,39.191098,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-CO-0034"
"Alice's Alley & The Slope ","(Both bars share the same entrance downstairs below the Aspen Mine Company) Both are very M, HIP but can be interesting ","","Aspen","CO","(M),(YC),(R),(HIP)","Restaurant,Bars/Clubs",1977,NA,-106.8175387,39.1910983,"Google Verified Location",NA,NA,NA,"1977-CO-0035"
"Alicia's","(Mexican)","278 S. Downing","Denver","CO","(M),(R)","Restaurant",1977,NA,-104.9732373,39.7115264,"Google Verified Location",NA,NA,NA,"1977-CO-0036"
"Alicia's","(Mexican R)","278 S. Downing ","Denver","CO","(R),(M),(*)","Restaurant",1979,NA,-104.9732373,39.7115264,"Google Verified Location",NA,NA,NA,"1979-CO-0037"
"Alicia's ","(Mexican R)","278 S. Downing ","Denver","CO","(R),(M)","Restaurant",1980,NA,-104.9732373,39.7115264,"Google Verified Location",NA,NA,NA,"1980-CO-0038"
"Alicia's ","(Mexican R)","","Denver","CO","(R),(M)","Restaurant",1978,NA,-104.990251,39.7392358,"Google Verified Location",NA,NA,NA,"1978-CO-0039"
"Alicia's ","(after hours)","1549 Broadway","Denver","CO","(M),(R),(C)","Restaurant",1970,NA,-104.9877972,39.6885489,"Google Verified Location",NA,NA,NA,"1970-CO-0040"
"Alicia's Mexican","","278 S. Downing ","Denver","CO","(R)","Restaurant",1975,NA,-104.9732373,39.7115264,"Google Verified Location",NA,NA,NA,"1975-CO-0041"
"Alley","(rear entrance)","1512 Broadway","Denver","CO","(W),(SM)","Bars/Clubs",1975,NA,-104.9871219,39.740535,"Google Verified Location",NA,NA,NA,"1975-CO-0042"
"Alley Cat","(behind Red Door - Enter through alley opposite Denver Theatre)","1540 Welton","Denver","CO","(D)","Bars/Clubs",1975,NA,-104.991869,39.7439771,"Google Verified Location",NA,NA,NA,"1975-CO-0043"
"Apartment","(Unisex - 'teenie boppers' - two floors - 3.2 beer only - closes 12 midnight)","1999 Lincoln","Denver","CO","(HIP),(YC),(D)","Bars/Clubs",1975,NA,-104.9861307,39.747516,"Google Verified Location",NA,NA,NA,"1975-CO-0044"
"Apartment","(Unisex - ""teenie-boppers"") (3.2 beer only - closes 12 midnight)","1999 Lincoln","Denver","CO","(HIP),(YC),(D)","Bars/Clubs",1977,NA,-104.9861307,39.747516,"Google Verified Location",NA,NA,NA,"1977-CO-0045"
"Apartment ","(two floors - Unisex - 'teenie boppers' - 3.2. beer only - closes 12 midnight)","1999 Lincoln","Denver","CO","(HIP),(D),(YC),(*)","Bars/Clubs",1974,NA,-104.9861307,39.747516,"Google Verified Location",NA,NA,NA,"1974-CO-0046"
"Apartment ","('Teenie-boppers' - 3.2 beer only - closes 12 midnight) ","1999 Lincoln","Denver","CO","(HIP),(YC),(D),(*)","Bars/Clubs",1978,NA,-104.9861307,39.747516,"Google Verified Location",NA,NA,NA,"1978-CO-0047"
"Apartment ","('Teenie-boppers) (3.2 beer only - closes 12 midnight)","1999 Lincoln","Denver","CO","(HIP),(*),(D)","Bars/Clubs",1979,NA,-104.9861307,39.747516,"Google Verified Location",NA,NA,NA,"1979-CO-0048"
"Apartment ","(Hip) ('Teenie-boppers) (3.2 beer only - closes 12 midnight) (May be closing)","1999 Lincoln","Denver","CO","(D)","Bars/Clubs",1980,NA,-104.9861307,39.747516,"Google Verified Location",NA,NA,NA,"1980-CO-0049"
"B.B.C.","(""Jazz"" - E)","1128 Grant","Denver","CO","(M),(R),(E)","Restaurant",1977,NA,-104.9832067,39.7344155,"Google Verified Location",NA,NA,NA,"1977-CO-0050"
"B.J.'s Carousel","(Cruisy) (Lunch & Dinner)","1380 S. Broadway","Denver","CO","(*),(R),(E),(PT)","Restaurant,Cruising Areas",1980,NA,-104.987101,39.6914491,"Google Verified Location",NA,NA,NA,"1980-CO-0051"
"Bachelor Flats","","201 N. Broadway","Denver","CO","","Bars/Clubs",1980,NA,-104.9879975,39.7196017,"Google Verified Location",NA,NA,NA,"1980-CO-0052"
"Bachelors Library","(books)","826 15th St.","Denver","CO","","Book Store",1975,NA,-104.99498,39.7452537,"Google Verified Location",NA,NA,NA,"1975-CO-0053"
"Bachelors Library ","(books)","826 15th St.","Denver","CO","","Book Store",1974,NA,-104.99498,39.7452537,"Google Verified Location",NA,NA,NA,"1974-CO-0054"
"Back Door","(use alley entrance behind front door at 1547 Broadway)","1547 Broadway","Denver","CO","(S)","Bars/Clubs",1969,NA,-104.9874105,39.7408351,"Google Verified Location",NA,NA,NA,"1969-CO-0055"
"Back Door","(alley behind of thru Front Door)","1547 Broadway","Denver","CO","(S),(*)","Bars/Clubs",1970,NA,-104.9874105,39.7408351,"Google Verified Location",NA,NA,NA,"1970-CO-0056"
