"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"'Rest Stop' on Rt. 6","nr. Stealy Tool Co.","","Bristol","CT","","Cruising Areas",1980,"",-72.94927,41.671765,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-CT-0001"
"'Rest Stop' on Rte. 15","","Wilbur Cross Pwky E.","Orange","CT","","Cruising Areas",1980,"",-73.047377,41.281021,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-CT-0002"
"'Rest Stops' on I-95","nr. Darien, Milford, & Fairfield","","Bridgeport","CT","","Cruising Areas",1979,"",-73.189438,41.179226,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-CT-0003"
"'Rest Stops' on I-95","nr. Darien, Milford, & Fairfield","","Bridgeport","CT","","Cruising Areas",1980,"",-73.189438,41.179226,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-CT-0004"
"'The Dikes'","East-West service road off I-91 No.","","Hartford","CT","","Cruising Areas",1978,NA,-72.6733723,41.7658043,"Google Verified Location",NA,NA,NA,"1978-CT-0005"
"'The Dikes'","East-West Service Rd. off I-91 N.","","Hartford","CT","","Cruising Areas",1980,"",-72.667475,41.763964,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-CT-0006"
"'The Glens'","'Rest Stop' on Rte. 15, 1 mi. S. of Jct. I-91","","Meriden","CT","(AYOR)","Cruising Areas",1980,"",-72.807043,41.538154,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-CT-0007"
"'Truck Stop' on I-95, exit 18","","","Westport","CT","","Cruising Areas",1979,"",-73.358639,41.164325,"Verified Location",NA,NA,NA,"1979-CT-0008"
"'Truck Stop' on I-95, exit 18","","","Westport","CT","","Cruising Areas",1978,"",-73.358639,41.164325,"Verified Location",NA,NA,NA,"1978-CT-0009"
"""The Dikes""","East-West Service Rd. off I-91 N.","","Hartford","CT","","Cruising Areas",1979,"",-72.667475,41.763964,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-CT-0010"
"""The Glens""","'Rest stop' on Rte. 15, 1 mi. S of Jct. I-91","","Meriden","CT","(AYOR)","Cruising Areas",1979,"",-72.807043,41.538154,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-CT-0011"
"After Dark ","(Disco)","20 Chestnut St. ","New Britain","CT","(YC),(D),(*)","Bars/Clubs",1979,NA,-72.7806001,41.6659901,"Google Verified Location",NA,NA,NA,"1979-CT-0012"
"Answer Cafe ","(Some L)( 4 mi. W. on US 7)","235 Dansbury Rd. ","New Milford","CT","(*),(R),(D),(L),(PT)","Restaurant",1980,NA,-73.4209278,41.5439632,"Google Verified Location",NA,NA,NA,"1980-CT-0013"
"Answer Cafe ","(4 mi. W. on US 7)","235 Danbury Rd. ","New Milford","CT","(R),(D),(G),(PT),(WE),(*)","Restaurant",1978,NA,-73.4209278,41.5439632,"Google Verified Location",NA,NA,NA,"1978-CT-0014"
"Answer Cafe ","(Some G)(4 mi. W. on US 7)","235 Dansbury Rd. ","New Milford","CT","(*),(R),(D),(G),(PT)","Restaurant",1979,NA,-73.4209278,41.5439632,"Google Verified Location",NA,NA,NA,"1979-CT-0015"
"Arthur's Place ","","334 Whalley Ave. ","New Haven","CT","(YC),(B),(D)","Bars/Clubs",1978,NA,-72.9441149,41.3169229,"Google Verified Location",NA,NA,NA,"1978-CT-0016"
"Asylum Ave.","","","Hartford","CT","","Cruising Areas",1974,"",-72.700655,41.772385,"Verified Location",NA,NA,NA,"1974-CT-0017"
"Asylum Ave.","","","Hartford","CT","","Cruising Areas",1975,"",-72.700655,41.772385,"Verified Location",NA,NA,NA,"1975-CT-0018"
"Asylum Avenue","","","Hartford","CT","","Cruising Areas",1976,"",-72.700655,41.772385,"Verified Location",NA,NA,NA,"1976-CT-0019"
"Asylum Avenue","","","Hartford","CT","","Cruising Areas",1977,"",-72.700655,41.772385,"Verified Location",NA,NA,NA,"1977-CT-0020"
"Asylum St.","","","Hartford","CT","","Cruising Areas",1972,"",-72.700655,41.772385,"Verified Location",NA,NA,NA,"1972-CT-0021"
"Asylum St.","","","Hartford","CT","","Cruising Areas",1973,"",-72.700655,41.772385,"Verified Location",NA,NA,NA,"1973-CT-0022"
"Attic ","(Unisex)(Upstairs)","495 1/2 Farmington","Hartford","CT","(D),(AH)","Bars/Clubs",1976,NA,-72.6876004,41.7680811,"Google Verified Location",NA,NA,NA,"1976-CT-0023"
"Banana Disco ","(Unisex) ","145 Service Rd. ","Hartford","CT","(*),(YC),(D)","Bars/Clubs",1980,NA,-72.6574036,41.7902321,"Google Verified Location",NA,NA,NA,"1980-CT-0024"
"Banana Disco ","(Unisex)","145 Service Rd. ","Hartford","CT","(*),(YC),(D)","Bars/Clubs",1979,NA,-72.6574036,41.7902321,"Google Verified Location",NA,NA,NA,"1979-CT-0025"
"Bell II","(Disco)","440 West Port Ave. ","Norwalk","CT","(YC),(D),(*)","Bars/Clubs",1978,NA,-73.3889004,41.1259581,"Google Verified Location",NA,NA,NA,"1978-CT-0026"
"Black Rock ","","2931 Fairfield Avenue ","Bridgeport","CT","(R),(OC),(G)","Restaurant",1977,NA,-73.2275664,41.156396,"Google Verified Location",NA,NA,NA,"1977-CT-0027"
"Black Rock ","","2931 Fairfield Ave. ","Bridgeport","CT","(R),(OC),(G)","Restaurant",1978,NA,-73.2275664,41.156396,"Google Verified Location",NA,NA,NA,"1978-CT-0028"
"Black Rock ","","2931 Fairfield Ave. ","Bridgeport","CT","(G),(OC),(R)","Restaurant",1979,NA,-73.2275664,41.156396,"Google Verified Location",NA,NA,NA,"1979-CT-0029"
"Black Rock ","","2931 Fairfield Ave. ","Bridgeport","CT","(R),(OC),(G)","Bars/Clubs,Restaurant",1976,NA,-73.2275664,41.156396,"Google Verified Location",NA,NA,NA,"1976-CT-0030"
"Black Rock ","","2931 Fairfield Ave.","Bridgeport","CT","(L),(OC),(R)","Restaurant",1980,NA,-73.2275664,41.156396,"Google Verified Location",NA,NA,NA,"1980-CT-0031"
"Brass Rail ","","141 Main St. ","Danbury","CT","(*)","Bars/Clubs",1975,NA,-73.449955,41.3926826,"Google Verified Location",NA,NA,NA,"1975-CT-0032"
"Brass Rail ","","141 Main St. ","Danbury","CT","(*)","Bars/Clubs",1976,NA,-73.449955,41.3926826,"Google Verified Location",NA,NA,NA,"1976-CT-0033"
"Burritt Hotel Bar & T-Room","","W. Main & Washington","New Britain","CT","","Cruising Areas",1980,"",-72.783418,41.667435,"Verified Location",NA,NA,NA,"1980-CT-0034"
"Bushnall Park","","","Hartford","CT","","Cruising Areas",1980,"",-72.679236,41.765134,"Verified Location",NA,NA,NA,"1980-CT-0035"
"Cafe Lib ","","132 New Park Ave. ","Hartford","CT","(G)","Bars/Clubs",1975,NA,-72.7084785,41.7529835,"Google Verified Location",NA,NA,NA,"1975-CT-0036"
"Cafe Lib ","","132 New Park Ave. ","Hartford","CT","(G)","Bars/Clubs",1978,NA,-72.7084785,41.7529835,"Google Verified Location",NA,NA,NA,"1978-CT-0037"
"Cafe Lib ","(Some G)","132 New Park Ave. ","Hartford","CT","(G)","Bars/Clubs",1976,NA,-72.7084785,41.7529835,"Google Verified Location",NA,NA,NA,"1976-CT-0038"
"Cafe Lib ","","132 New Park Aven","Hartford","CT","(G)","Bars/Clubs",1977,NA,-72.7084785,41.7529835,"Google Verified Location",NA,NA,NA,"1977-CT-0039"
"Casbah ","(Drags)","1277 No. Main St. ","Bridgeport","CT","(M),(RT),(B),(WE),(*)","Bars/Clubs",1978,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1978-CT-0040"
"Casbah ","('Drags')","1277 N. Main St. ","Bridgeport","CT","(M),(RT),(B)","Bars/Clubs",1980,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1980-CT-0041"
"Casbah ","('Drags')","1277 N. Main St. ","Bridgeport","CT","(M),(RT),(B)","Bars/Clubs",1979,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1979-CT-0042"
"Casbar","","1277 N. Main St. ","Bridgeport","CT","","Bars/Clubs",1970,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1970-CT-0043"
"Casbar","","1277 N. Main St. ","Bridgeport","CT","","Bars/Clubs",1966,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1966-CT-0044"
"Casbar","","1277 N. Main St. ","Bridgeport","CT","","Bars/Clubs",1969,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1969-CT-0045"
"Casbar","","1277 N. Main St. ","Bridgeport","CT","(M)","Bars/Clubs",1972,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1972-CT-0046"
"Casbar","","1277 N. Main St. ","Bridgeport","CT","(M)","Bars/Clubs",1971,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1971-CT-0047"
"Casbar","","1277 N. Main St. ","Bridgeport","CT","","Bars/Clubs",1968,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1968-CT-0048"
"Casbar","","1277 N. Main St. ","Bridgeport","CT","(M)","Bars/Clubs",1974,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1974-CT-0049"
"Casbar","","1277 N. Main St. ","Bridgeport","CT","(M)","Bars/Clubs",1973,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1973-CT-0050"
"Casbar","","1277 N. Main St. ","Bridgeport","CT","(M)","Bars/Clubs",1975,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1975-CT-0051"
"Casbar ","","1277 N. Main St. ","Bridgeport","CT","(*)","Bars/Clubs",1976,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1976-CT-0052"
"Casbar ","(Drags)","1277 North Main Street ","Bridgeport","CT","(M),(RT),(B),(WE),(*)","Bars/Clubs",1977,NA,-73.1808077,41.1920675,"Google Verified Location",NA,NA,NA,"1977-CT-0053"
"Cedarbrook Inn","","U.S. Hwy. 1","Westport","CT","","Bars/Clubs",1968,"Considered the oldest gay bar in the US when it closed in 2010",-73.333531,41.138583,"Verified Location",NA,NA,NA,"1968-CT-0054"
"Cedarbrook Inn","","U.S. Hwy. 1","Westport","CT","(G)","Bars/Clubs",1965,"Considered the oldest gay bar in the US when it closed in 2010",-73.333531,41.138583,"Verified Location",NA,NA,NA,"1965-CT-0055"
"Cedarbrook Inn","","U.S. Hwy. 1","Westport","CT","","Bars/Clubs",1966,"Considered the oldest gay bar in the US when it closed in 2010",-73.333531,41.138583,"Verified Location",NA,NA,NA,"1966-CT-0056"
"Cedarbrook Inn","","U.S. Hwy. 1","Westport","CT","","Bars/Clubs",1969,"Considered the oldest gay bar in the US when it closed in 2010",-73.333531,41.138583,"Verified Location",NA,NA,NA,"1969-CT-0057"
"Cedarbrook Inn ","","919 E. State St. ","Westport","CT","","Bars/Clubs",1972,NA,-73.3379802,41.1379196,"Google Verified Location",NA,NA,NA,"1972-CT-0058"
"Cedarbrook Inn ","","919 E. State St. ","Westport","CT","","Bars/Clubs",1971,NA,-73.3379802,41.1379196,"Google Verified Location",NA,NA,NA,"1971-CT-0059"
"Cedarbrook Inn ","","919 E. State St. ","Westport","CT","","Bars/Clubs",1973,NA,-73.3379802,41.1379196,"Google Verified Location",NA,NA,NA,"1973-CT-0060"
"Cedarbrook Inn ","","919 E. State St. ","Westport","CT","(G)","Bars/Clubs",1974,NA,-73.3379802,41.1379196,"Google Verified Location",NA,NA,NA,"1974-CT-0061"
"Cedarbrook Inn ","","919 E. State St. ","Westport","CT","","Bars/Clubs",1970,NA,-73.3379802,41.1379196,"Google Verified Location",NA,NA,NA,"1970-CT-0062"
"Cedarbrook Inn ","","919 E. State St. ","Westport","CT","(G)","Bars/Clubs",1975,NA,-73.3379802,41.1379196,"Google Verified Location",NA,NA,NA,"1975-CT-0063"
